term	arousal	dominance	valence
dogged	0.75	0.594	0.255
doggy	0.491	0.404	0.646
doghouse	0.417	0.34	0.438
dogma	0.46	0.719	0.53
dogmatic	0.52	0.654	0.448
dogsick	0.49	0.377	0.571
doings	0.491	0.705	0.604
doit	0.519	0.392	0.5
dojo	0.435	0.455	0.5
doldrums	0.425	0.266	0.229
dole	0.402	0.348	0.448
doll	0.321	0.33	0.729
dollar	0.632	0.694	0.755
dollhouse	0.245	0.363	0.643
dolor	0.635	0.375	0.167
dolphin	0.35	0.414	0.776
domain	0.549	0.828	0.573
dome	0.398	0.509	0.62
domestic	0.327	0.5	0.729
domesticated	0.36	0.294	0.635
domestication	0.39	0.435	0.594
domicile	0.292	0.529	0.604
domiciled	0.34	0.516	0.542
dominance	0.775	0.839	0.542
dominant	0.854	0.893	0.406
dominate	0.814	0.953	0.439
dominating	0.769	0.902	0.427
domination	0.786	0.959	0.505
dominatrix	0.727	0.709	0.39
dominion	0.704	0.89	0.542
domino	0.51	0.473	0.594
don	0.454	0.702	0.646
donate	0.462	0.577	0.774
donation	0.398	0.602	0.792
donkey	0.367	0.245	0.406
donor	0.49	0.653	0.714
dontlikeyou	0.5	0.282	0.055
dontmess	0.482	0.44	0.396
dontmesswithme	0.635	0.44	0.312
dontpanic	0.465	0.425	0.469
dontunderstand	0.357	0.271	0.219
doodle	0.402	0.376	0.604
doom	0.75	0.442	0.073
doomed	0.755	0.301	0.041
doomsday	0.861	0.67	0.125
door	0.189	0.421	0.549
doorbell	0.5	0.307	0.564
doorknob	0.553	0.462	0.406
doorman	0.371	0.491	0.57
doormat	0.269	0.267	0.458
doornail	0.37	0.423	0.459
doorstep	0.274	0.391	0.531
doorway	0.304	0.496	0.573
dopamine	0.469	0.426	0.548
dope	0.855	0.425	0.295
dopey	0.38	0.365	0.32
dork	0.519	0.361	0.272
dorky	0.48	0.39	0.302
dorm	0.194	0.327	0.719
dormant	0.245	0.245	0.385
dormitory	0.204	0.382	0.633
dorsal	0.36	0.445	0.449
dosage	0.45	0.49	0.344
dose	0.49	0.427	0.458
dossier	0.38	0.544	0.357
dot	0.29	0.391	0.434
doting	0.415	0.426	0.888
dotted	0.347	0.426	0.48
dotty	0.402	0.393	0.375
double	0.378	0.569	0.677
doubled	0.536	0.56	0.427
doublet	0.431	0.5	0.42
doubling	0.452	0.464	0.459
doubt	0.351	0.231	0.395
doubtful	0.465	0.241	0.25
doubting	0.56	0.189	0.224
doubtless	0.415	0.689	0.688
doubts	0.448	0.305	0.306
douche	0.413	0.397	0.49
douchebags	0.587	0.366	0.327
dough	0.229	0.391	0.588
doughboy	0.443	0.396	0.365
doughnut	0.38	0.279	0.663
dour	0.404	0.325	0.36
douse	0.453	0.412	0.365
dove	0.235	0.437	0.729
down	0.33	0.264	0.208
downcast	0.5	0.222	0.071
downer	0.594	0.226	0.12
downfall	0.717	0.182	0.2
downfield	0.33	0.38	0.521
downhearted	0.461	0.255	0.119
downhill	0.573	0.279	0.292
download	0.49	0.503	0.602
downpour	0.602	0.481	0.328
downright	0.454	0.679	0.625
downriver	0.469	0.279	0.542
downside	0.4	0.246	0.19
downtime	0.226	0.324	0.24
downward	0.347	0.255	0.188
downy	0.17	0.255	0.63
dowry	0.453	0.544	0.604
doze	0.2	0.405	0.592
dozen	0.343	0.425	0.583
drab	0.3	0.242	0.327
draft	0.36	0.351	0.438
drafty	0.5	0.518	0.458
drag	0.606	0.348	0.388
dragon	0.821	0.712	0.541
dragonfly	0.373	0.357	0.571
drain	0.47	0.222	0.277
drainage	0.354	0.307	0.219
drained	0.441	0.352	0.31
draining	0.396	0.304	0.337
drainpipe	0.413	0.277	0.417
drake	0.411	0.452	0.467
drama	0.755	0.481	0.43
dramaqueen	0.682	0.482	0.337
dramatic	0.78	0.443	0.367
drape	0.439	0.404	0.417
drapery	0.22	0.223	0.479
drastic	0.839	0.657	0.194
drat	0.516	0.409	0.302
draught	0.245	0.316	0.465
draw	0.449	0.481	0.704
drawback	0.422	0.148	0.302
drawbridge	0.557	0.438	0.551
drawer	0.196	0.292	0.429
drawers	0.26	0.236	0.539
drawing	0.216	0.333	0.698
dread	0.792	0.368	0.153
dreaded	0.706	0.46	0.122
dreadful	0.786	0.348	0.092
dreadfully	0.806	0.306	0.246
dreading	0.76	0.377	0.125
dream	0.157	0.328	0.844
dreamboat	0.491	0.458	0.776
dreamer	0.394	0.455	0.82
dreaming	0.32	0.336	0.854
dreamland	0.471	0.566	0.844
dreams	0.415	0.53	0.865
dreamt	0.38	0.518	0.812
dreamy	0.35	0.5	0.837
dreary	0.49	0.324	0.26
dredge	0.445	0.444	0.427
drenched	0.361	0.388	0.302
dress	0.3	0.345	0.76
dresser	0.398	0.473	0.604
dressmaker	0.46	0.483	0.698
dressy	0.57	0.696	0.8
dribble	0.551	0.465	0.417
dried	0.26	0.385	0.427
drier	0.347	0.392	0.306
drift	0.52	0.375	0.316
drifted	0.542	0.31	0.312
drifter	0.512	0.391	0.449
driftwood	0.283	0.439	0.321
drill	0.602	0.573	0.25
drink	0.552	0.474	0.65
drinker	0.735	0.441	0.365
drinking	0.459	0.317	0.562
drinks	0.656	0.412	0.729
drip	0.193	0.175	0.392
dripping	0.257	0.267	0.302
drive	0.689	0.713	0.625
drivel	0.469	0.463	0.398
driver	0.538	0.637	0.553
driveway	0.392	0.689	0.612
drizzle	0.353	0.319	0.521
droll	0.573	0.422	0.459
drone	0.686	0.596	0.429
drones	0.577	0.588	0.398
drool	0.398	0.204	0.385
drooping	0.558	0.353	0.245
droopy	0.35	0.297	0.438
drop	0.321	0.291	0.479
droplet	0.208	0.194	0.625
dropout	0.55	0.481	0.253
dropper	0.216	0.236	0.333
drought	0.353	0.267	0.133
drove	0.528	0.623	0.541
drown	0.86	0.27	0.071
drowsiness	0.194	0.303	0.26
drowsy	0.18	0.24	0.375
drudgery	0.522	0.241	0.094
drug	0.79	0.453	0.214
drug dealing	0.843	0.5	0.042
drugged	0.75	0.321	0.102
druggist	0.561	0.417	0.24
drugs	0.75	0.368	0.167
drugstore	0.343	0.518	0.49
druid	0.445	0.481	0.517
drum	0.679	0.339	0.615
drummer	0.7	0.564	0.646
drumming	0.75	0.426	0.594
drunk	0.8	0.25	0.194
drunk driving	0.9	0.306	0.073
drunkard	0.873	0.25	0.24
drunken	0.849	0.25	0.155
drunkenness	0.774	0.336	0.214
dry	0.169	0.311	0.363
dryer	0.343	0.277	0.479
dryness	0.296	0.263	0.292
dual	0.33	0.384	0.573
dualism	0.406	0.536	0.49
duality	0.52	0.503	0.438
dub	0.48	0.387	0.51
dubious	0.48	0.198	0.414
duchess	0.548	0.711	0.656
duck	0.337	0.236	0.594
ducking	0.573	0.294	0.344
duckling	0.353	0.263	0.602
ducky	0.43	0.368	0.52
duct	0.435	0.43	0.449
ductile	0.42	0.433	0.508
dud	0.455	0.246	0.167
dude	0.356	0.615	0.809
duds	0.311	0.339	0.347
due	0.34	0.467	0.562
duel	0.696	0.589	0.271
dues	0.461	0.288	0.367
duet	0.693	0.527	0.694
duffel	0.4	0.384	0.5
dugout	0.37	0.463	0.49
duh	0.461	0.364	0.357
duke	0.44	0.669	0.667
dull	0.12	0.185	0.194
dullard	0.48	0.365	0.45
dumb	0.33	0.151	0.188
dumbasses	0.59	0.363	0.316
dumbbell	0.469	0.364	0.302
dumbbitch	0.636	0.393	0.281
dumfound	0.551	0.295	0.271
dumfounder	0.481	0.4	0.406
dummy	0.144	0.25	0.44
dump	0.5	0.37	0.345
dumpling	0.321	0.36	0.58
dumps	0.583	0.365	0.302
dumpster	0.418	0.101	0.229
dun	0.431	0.339	0.458
dunce	0.327	0.146	0.188
dune	0.173	0.414	0.459
dung	0.549	0.149	0.104
dungeon	0.608	0.44	0.276
dunk	0.333	0.475	0.406
duo	0.5	0.447	0.51
dupe	0.76	0.327	0.184
duplex	0.452	0.467	0.592
duplicate	0.49	0.338	0.521
duplication	0.564	0.577	0.48
duplicity	0.5	0.578	0.406
durability	0.398	0.813	0.75
durable	0.294	0.688	0.74
duration	0.37	0.536	0.656
duress	0.569	0.612	0.302
dusk	0.276	0.519	0.532
dusky	0.528	0.324	0.229
dust	0.246	0.241	0.344
duster	0.265	0.296	0.408
dustpan	0.466	0.371	0.609
dusty	0.294	0.255	0.406
dutiful	0.245	0.585	0.724
duty	0.579	0.651	0.583
dwarf	0.34	0.288	0.37
dwarfed	0.265	0.293	0.365
dweeb	0.446	0.327	0.354
dwell	0.245	0.611	0.698
dweller	0.304	0.5	0.615
dwelling	0.33	0.481	0.765
dye	0.314	0.371	0.479
dying	0.664	0.422	0.04
dyke	0.396	0.566	0.438
dynamic	0.75	0.836	0.724
dynamical	0.73	0.827	0.786
dynamics	0.682	0.774	0.745
dynamite	0.86	0.783	0.344
dynamo	0.65	0.593	0.531
dynasty	0.588	0.936	0.725
dysentery	0.528	0.345	0.26
dysfunction	0.41	0.386	0.156
dysfunctional	0.558	0.307	0.125
dyspepsia	0.47	0.46	0.212
eager	0.812	0.306	0.521
eagerness	0.621	0.443	0.406
eagle	0.594	0.679	0.604
ear	0.216	0.231	0.469
earful	0.462	0.443	0.533
earl	0.461	0.794	0.582
earlier	0.352	0.339	0.562
early	0.373	0.426	0.633
earn	0.769	0.817	0.865
earnest	0.38	0.67	0.653
earnestly	0.49	0.717	0.847
earnestness	0.373	0.615	0.812
earnings	0.65	0.875	0.938
earpiece	0.286	0.452	0.583
earring	0.52	0.5	0.583
earrings	0.346	0.517	0.676
earshot	0.332	0.408	0.552
earth	0.225	0.614	0.75
earthenware	0.21	0.32	0.552
earthling	0.412	0.57	0.531
earthly	0.318	0.518	0.625
earthquake	0.93	0.812	0.073
earthy	0.413	0.404	0.375
ease	0.385	0.491	0.796
easel	0.34	0.527	0.694
easement	0.345	0.302	0.479
easily	0.279	0.453	0.885
east	0.25	0.317	0.51
eastbound	0.408	0.402	0.541
eastern	0.42	0.48	0.521
easy	0.194	0.373	0.865
easygoing	0.276	0.538	0.823
eat	0.5	0.464	0.731
eater	0.337	0.51	0.459
eating	0.491	0.615	0.847
eatingdisorders	0.608	0.508	0.365
eavesdrop	0.71	0.368	0.375
eavesdropping	0.38	0.441	0.49
ebb	0.451	0.404	0.354
ebony	0.317	0.4	0.49
ebullient	0.856	0.746	0.659
eccentric	0.806	0.721	0.531
eccentricity	0.735	0.745	0.408
ecclesiastical	0.27	0.66	0.673
echelon	0.404	0.425	0.49
echinacea	0.418	0.454	0.592
echo	0.373	0.345	0.573
eclectic	0.542	0.508	0.646
eclipse	0.469	0.616	0.541
ecliptic	0.52	0.556	0.531
ecological	0.29	0.607	0.885
economic	0.408	0.639	0.561
economical	0.564	0.673	0.667
economics	0.481	0.632	0.625
economy	0.434	0.771	0.583
ecosystem	0.259	0.633	0.729
ecstasy	0.922	0.655	0.796
ecstatic	0.769	0.742	0.875
ecumenical	0.45	0.547	0.561
eddy	0.394	0.35	0.5
edema	0.519	0.318	0.25
edge	0.47	0.468	0.439
edging	0.394	0.37	0.479
edgy	0.895	0.306	0.281
edible	0.425	0.497	0.75
edict	0.547	0.56	0.316
edification	0.481	0.697	0.625
edifice	0.403	0.61	0.551
edit	0.41	0.544	0.51
editing	0.404	0.493	0.604
edition	0.455	0.564	0.542
editor	0.431	0.673	0.772
editorial	0.33	0.57	0.583
educate	0.38	0.728	0.76
educated	0.297	0.625	0.816
education	0.275	0.84	0.896
educational	0.457	0.764	0.745
educator	0.317	0.845	0.827
eeeek	0.54	0.349	0.367
eeek	0.49	0.302	0.333
eek	0.529	0.343	0.292
eel	0.564	0.487	0.292
eerie	0.771	0.442	0.265
effect	0.518	0.608	0.57
effective	0.632	0.891	0.844
effectiveness	0.654	0.812	0.64
effects	0.578	0.379	0.47
effectual	0.559	0.82	0.776
effectually	0.5	0.594	0.724
effectuate	0.602	0.679	0.51
effeminate	0.619	0.291	0.337
efficacious	0.698	0.845	0.823
efficacy	0.49	0.906	0.802
efficiency	0.509	0.892	0.802
efficient	0.604	0.83	0.959
effigy	0.44	0.401	0.51
effort	0.778	0.858	0.698
effortless	0.09	0.352	0.626
effusion	0.73	0.472	0.344
effyou	0.529	0.49	0.354
egg	0.241	0.293	0.684
egghead	0.492	0.284	0.316
eggnog	0.36	0.259	0.635
eggplant	0.152	0.323	0.592
eggshell	0.269	0.212	0.408
ego	0.576	0.593	0.328
egomaniac	0.708	0.596	0.133
egotistical	0.667	0.363	0.156
egregious	0.716	0.442	0.15
egress	0.429	0.287	0.49
eight	0.199	0.315	0.54
eighteen	0.34	0.404	0.523
eighth	0.226	0.38	0.531
eighty	0.3	0.453	0.5
ejaculate	0.896	0.604	0.604
ejaculation	0.893	0.547	0.615
eject	0.656	0.559	0.434
ejection	0.836	0.554	0.188
elaborate	0.367	0.68	0.561
elaboration	0.5	0.598	0.708
elan	0.367	0.5	0.562
elapse	0.44	0.455	0.514
elapsed	0.451	0.493	0.583
elastic	0.518	0.385	0.656
elasticity	0.452	0.582	0.635
elated	0.96	0.725	0.792
elation	0.853	0.623	0.74
elbow	0.133	0.254	0.448
eld	0.292	0.451	0.471
elder	0.153	0.462	0.448
elderly	0.212	0.283	0.615
elders	0.26	0.441	0.602
eldest	0.471	0.741	0.625
elect	0.554	0.661	0.667
election	0.519	0.651	0.625
elective	0.38	0.623	0.612
elector	0.52	0.766	0.479
electoral	0.631	0.602	0.49
electorate	0.38	0.696	0.56
electric	0.708	0.512	0.458
electric slide	0.66	0.536	0.542
electrical	0.62	0.688	0.531
electrician	0.59	0.62	0.449
electricity	0.81	0.733	0.698
electrify	0.769	0.737	0.52
electrocute	0.731	0.555	0.271
electrocution	0.844	0.692	0.177
electromagnetic	0.632	0.683	0.531
electron	0.455	0.56	0.52
electronic	0.49	0.704	0.571
electronics	0.545	0.574	0.708
elegance	0.396	0.824	0.918
elegant	0.5	0.685	0.865
element	0.259	0.481	0.531
elemental	0.306	0.711	0.627
elementary	0.286	0.686	0.594
elements	0.312	0.462	0.51
elephant	0.51	0.615	0.531
elevate	0.5	0.804	0.812
elevated	0.594	0.62	0.704
elevation	0.759	0.711	0.76
elevator	0.604	0.676	0.562
eleven	0.25	0.43	0.449
eleventh	0.329	0.357	0.594
elf	0.457	0.315	0.46
elicit	0.594	0.658	0.406
eligible	0.4	0.518	0.75
eliminate	0.67	0.324	0.265
elimination	0.667	0.431	0.052
elite	0.704	0.737	0.688
elitist	0.606	0.656	0.5
elixir	0.587	0.604	0.708
elk	0.337	0.34	0.439
ell	0.418	0.373	0.469
ellipse	0.41	0.479	0.531
ellipsis	0.358	0.314	0.653
ellipsoid	0.44	0.419	0.5
elliptic	0.431	0.528	0.5
elliptical	0.385	0.49	0.338
elm	0.345	0.321	0.51
elongate	0.385	0.54	0.583
elongation	0.5	0.5	0.561
elope	0.694	0.528	0.396
eloquence	0.49	0.804	0.729
eloquent	0.68	0.741	0.87
elucidate	0.509	0.518	0.583
elucidation	0.574	0.586	0.65
elude	0.521	0.464	0.438
elusive	0.615	0.466	0.229
emaciated	0.541	0.151	0.103
email	0.23	0.456	0.698
emanate	0.464	0.554	0.653
emancipation	0.684	0.763	0.704
embankment	0.438	0.436	0.677
embargo	0.564	0.443	0.229
embark	0.55	0.619	0.541
embarrass	0.667	0.364	0.082
embarrassed	0.56	0.246	0.184
embarrassing	0.809	0.225	0.226
embarrassment	0.685	0.226	0.143
embassy	0.333	0.758	0.622
embattled	0.724	0.421	0.235
embed	0.554	0.67	0.417
embellish	0.5	0.769	0.842
embellishment	0.449	0.405	0.673
embers	0.481	0.508	0.49
embezzlement	0.827	0.435	0.143
embezzler	0.823	0.491	0.146
emblem	0.33	0.754	0.64
emblematic	0.459	0.798	0.771
embodiment	0.69	0.663	0.562
embolism	0.66	0.302	0.104
embossed	0.481	0.5	0.531
embrace	0.49	0.452	0.949
embroidered	0.279	0.407	0.677
embroidery	0.358	0.28	0.781
embroiled	0.721	0.42	0.337
embryo	0.469	0.453	0.673
embryonic	0.453	0.598	0.573
emcee	0.577	0.691	0.694
emerald	0.363	0.726	0.74
emerge	0.594	0.731	0.602
emergence	0.857	0.676	0.276
emergency	0.9	0.571	0.2
emeritus	0.402	0.735	0.633
emery	0.583	0.472	0.469
emetophobia	0.62	0.403	0.243
emigrate	0.812	0.508	0.356
emigration	0.664	0.432	0.564
eminence	0.644	0.837	0.816
eminent	0.62	0.83	0.74
eminently	0.607	0.773	0.694
emir	0.396	0.621	0.51
emissary	0.462	0.636	0.562
emission	0.453	0.591	0.51
emit	0.445	0.51	0.638
emo	0.314	0.226	0.354
emotion	0.873	0.696	0.693
emotional	0.714	0.526	0.779
emotive	0.741	0.525	0.917
empathic	0.57	0.558	0.76
empathize	0.591	0.66	0.802
empathy	0.349	0.545	0.729
emperor	0.704	0.962	0.651
emphasis	0.745	0.816	0.653
emphasize	0.605	0.769	0.51
emphatic	0.707	0.732	0.615
emphysema	0.556	0.336	0.156
empire	0.73	0.944	0.688
empirical	0.51	0.574	0.5
empiricism	0.46	0.547	0.583
employ	0.481	0.702	0.729
employee	0.361	0.481	0.582
employer	0.518	0.767	0.663
employment	0.594	0.611	0.75
emporium	0.556	0.724	0.622
empower	0.779	0.891	0.694
empress	0.669	0.855	0.716
emptiness	0.173	0.184	0.177
emption	0.406	0.458	0.57
empty	0.183	0.081	0.188
emu	0.358	0.33	0.42
emulate	0.34	0.549	0.438
emulsion	0.431	0.453	0.562
enable	0.491	0.782	0.76
enablement	0.451	0.75	0.6
enact	0.564	0.598	0.68
enactment	0.612	0.769	0.667
enamel	0.28	0.306	0.594
encampment	0.573	0.605	0.677
enchant	0.65	0.643	0.873
enchanted	0.633	0.687	0.917
enchanting	0.681	0.708	0.917
enchantment	0.775	0.647	0.816
enchantress	0.663	0.479	0.398
enchilada	0.553	0.371	0.542
encircle	0.5	0.519	0.46
encircling	0.368	0.557	0.51
enclave	0.333	0.58	0.531
enclose	0.477	0.473	0.531
enclosure	0.375	0.49	0.417
encode	0.5	0.734	0.49
encomiastic	0.5	0.67	0.541
encomium	0.451	0.519	0.541
encompass	0.298	0.661	0.52
encore	0.423	0.5	0.51
encounter	0.702	0.689	0.865
encourage	0.58	0.704	0.896
encouraged	0.702	0.657	0.953
encouragement	0.7	0.759	0.865
encouraging	0.583	0.755	0.823
encroach	0.742	0.702	0.302
encroachment	0.736	0.62	0.255
encrypt	0.387	0.5	0.5
encryption	0.415	0.474	0.547
encumbrance	0.521	0.48	0.3
encyclopedia	0.32	0.645	0.679
end	0.349	0.298	0.198
end table	0.48	0.482	0.541
endanger	0.885	0.404	0.115
endangered	0.885	0.43	0.083
endangerment	0.873	0.519	0.167
endearing	0.434	0.604	0.663
endeavor	0.755	0.765	0.677
ended	0.5	0.5	0.302
endemic	0.48	0.483	0.406
endgame	0.538	0.526	0.449
ending	0.365	0.492	0.344
endless	0.462	0.472	0.347
endocarditis	0.587	0.412	0.235
endorse	0.392	0.472	0.592
endorsement	0.36	0.611	0.834
endow	0.398	0.609	0.684
endowed	0.51	0.769	0.755
endowment	0.578	0.647	0.685
endpapers	0.4	0.339	0.542
endpoint	0.41	0.448	0.311
endurance	0.745	0.76	0.592
endure	0.61	0.574	0.32
enduring	0.459	0.768	0.633
enema	0.673	0.268	0.281
enemy	0.794	0.591	0.135
energetic	0.868	0.902	0.847
energize	0.81	0.875	0.792
energy	0.725	0.868	0.944
enforce	0.644	0.836	0.583
enforcement	0.571	0.736	0.594
enforcer	0.612	0.639	0.398
engage	0.796	0.713	0.771
engaged	0.596	0.849	0.837
engagement	0.587	0.807	0.906
engaging	0.612	0.862	0.948
engender	0.741	0.688	0.561
engine	0.644	0.676	0.615
engineer	0.5	0.875	0.719
engineering	0.471	0.836	0.735
engrave	0.442	0.517	0.486
engraved	0.375	0.473	0.542
engraver	0.417	0.5	0.552
engraving	0.43	0.442	0.604
engrossed	0.471	0.304	0.541
engrossing	0.702	0.75	0.698
engulf	0.573	0.5	0.398
enhance	0.578	0.814	0.802
enhancement	0.49	0.741	0.877
enigma	0.7	0.5	0.513
enigmatic	0.589	0.679	0.469
enjoin	0.454	0.732	0.594
enjoy	0.725	0.75	0.959
enjoyable	0.481	0.605	1
enjoying	0.759	0.759	0.908
enjoyment	0.612	0.716	0.93
enlarge	0.606	0.688	0.735
enlarged	0.49	0.518	0.673
enlargement	0.577	0.616	0.677
enlighten	0.549	0.667	0.729
enlightened	0.566	0.7	0.956
enlightening	0.729	0.727	0.825
enlightenment	0.549	0.619	0.837
enlist	0.37	0.483	0.51
enliven	0.683	0.702	0.833
enmity	0.706	0.382	0.094
ennui	0.461	0.316	0.406
enormity	0.648	0.848	0.594
enormous	0.665	0.886	0.677
enormously	0.694	0.872	0.76
enraged	0.962	0.636	0.083
enrich	0.731	0.705	0.896
enroll	0.53	0.611	0.696
enrollment	0.391	0.698	0.667
ensemble	0.418	0.586	0.697
ensign	0.27	0.545	0.663
enslave	0.8	0.481	0.073
enslaved	0.72	0.321	0.104
enslavement	0.635	0.302	0.086
ensue	0.363	0.332	0.698
ensure	0.406	0.759	0.737
entail	0.63	0.645	0.484
entangled	0.578	0.357	0.319
entanglement	0.765	0.248	0.302
enter	0.47	0.5	0.708
enterprise	0.392	0.754	0.76
enterprising	0.784	0.875	0.865
entertain	0.684	0.598	0.918
entertained	0.644	0.712	0.902
entertainer	0.709	0.759	0.888
entertaining	0.658	0.66	0.833
entertainment	0.75	0.569	0.847
enthralled	0.602	0.615	0.745
enthusiasm	0.816	0.798	0.938
enthusiast	0.81	0.875	0.867
enthusiastic	0.868	0.848	0.885
entice	0.887	0.518	0.521
entire	0.462	0.698	0.689
entirety	0.46	0.804	0.854
entitle	0.333	0.827	0.729
entity	0.402	0.67	0.542
entomology	0.396	0.545	0.438
entourage	0.567	0.467	0.491
entrails	0.538	0.387	0.365
entrance	0.393	0.526	0.698
entrapment	0.604	0.441	0.177
entreat	0.56	0.462	0.304
entree	0.477	0.624	0.615
entrepreneur	0.704	0.92	0.885
entrust	0.31	0.63	0.693
entry	0.353	0.602	0.552
enumerate	0.39	0.491	0.521
enumeration	0.327	0.534	0.548
envelope	0.275	0.377	0.604
envious	0.754	0.341	0.11
environ	0.221	0.433	0.724
environment	0.194	0.528	0.646
environmental	0.313	0.664	0.633
environs	0.288	0.345	0.561
envision	0.449	0.483	0.625
envoy	0.375	0.586	0.531
envy	0.704	0.427	0.24
enzyme	0.277	0.481	0.562
ephemeral	0.312	0.377	0.5
ephemeris	0.38	0.528	0.64
epic	0.713	0.83	0.857
epidemic	0.83	0.611	0.092
epidermis	0.49	0.426	0.418
epidural	0.452	0.525	0.347
epilepsy	0.854	0.25	0.061
epileptic	0.794	0.34	0.146
epilogue	0.353	0.466	0.582
epiphany	0.596	0.526	0.625
episcopal	0.314	0.75	0.542
episode	0.367	0.509	0.719
episodic	0.542	0.462	0.531
epistle	0.417	0.535	0.604
epitaph	0.323	0.442	0.276
epithet	0.394	0.524	0.53
epitome	0.5	0.667	0.51
epoch	0.343	0.797	0.553
equal	0.178	0.407	0.781
equality	0.305	0.716	0.898
equalization	0.422	0.423	0.625
equalize	0.281	0.574	0.738
equalizer	0.451	0.586	0.604
equally	0.264	0.436	0.625
equate	0.382	0.624	0.724
equation	0.384	0.608	0.479
equator	0.302	0.462	0.55
equatorial	0.271	0.593	0.55
equestrian	0.519	0.417	0.633
equidistant	0.406	0.509	0.375
equilibration	0.317	0.593	0.724
equilibrium	0.235	0.62	0.676
equip	0.519	0.713	0.65
equipment	0.495	0.7	0.745
equitable	0.286	0.75	0.714
equity	0.304	0.614	0.792
equivalence	0.25	0.582	0.663
equivalent	0.347	0.5	0.646
equivocal	0.482	0.257	0.327
era	0.407	0.449	0.615
eradicate	0.69	0.686	0.26
eradication	0.788	0.685	0.208
erase	0.26	0.321	0.24
eraser	0.209	0.311	0.458
erasure	0.36	0.265	0.281
ere	0.312	0.377	0.479
erect	0.885	0.627	0.643
erectile	0.796	0.625	0.542
erection	0.856	0.695	0.64
ergo	0.4	0.385	0.385
erode	0.643	0.58	0.208
erosion	0.77	0.465	0.312
erotic	0.946	0.683	0.625
erotica	0.87	0.579	0.781
err	0.66	0.236	0.146
errand	0.519	0.482	0.385
errant	0.602	0.375	0.205
erratic	0.503	0.217	0.271
erratum	0.528	0.436	0.327
erroneous	0.561	0.245	0.057
error	0.559	0.198	0.094
erst	0.422	0.357	0.277
erudite	0.434	0.774	0.719
erupt	0.82	0.818	0.188
eruption	0.913	0.733	0.156
escalade	0.724	0.442	0.48
escalate	0.714	0.728	0.653
escalating	0.724	0.518	0.646
escalation	0.807	0.582	0.571
escalator	0.53	0.518	0.5
escape	0.765	0.448	0.367
escaped	0.755	0.518	0.365
escarpment	0.553	0.47	0.406
eschew	0.438	0.37	0.184
escort	0.48	0.608	0.729
escrow	0.52	0.613	0.449
esophagus	0.454	0.464	0.429
esoteric	0.676	0.545	0.5
especial	0.419	0.794	0.827
espionage	0.75	0.62	0.312
espouse	0.529	0.598	0.802
espresso	0.62	0.508	0.677
esprit	0.431	0.407	0.552
esquire	0.542	0.518	0.604
essay	0.411	0.53	0.559
essayist	0.46	0.462	0.656
essence	0.369	0.575	0.663
essential	0.405	0.759	0.812
essentially	0.373	0.802	0.75
establish	0.5	0.688	0.708
established	0.394	0.694	0.796
establishment	0.398	0.631	0.69
estate	0.385	0.647	0.653
esteem	0.38	0.679	0.745
esteemed	0.418	0.531	0.694
esthetic	0.36	0.558	0.635
estimable	0.408	0.63	0.796
estimate	0.469	0.517	0.719
estimation	0.48	0.589	0.74
estoppel	0.459	0.482	0.354
estranged	0.382	0.377	0.156
estrogen	0.5	0.425	0.58
estuary	0.278	0.482	0.469
etch	0.367	0.598	0.51
etching	0.491	0.575	0.567
eternal	0.409	0.843	0.854
eternity	0.52	0.911	0.765
ethanol	0.41	0.534	0.333
ether	0.306	0.412	0.49
ethereal	0.419	0.518	0.52
ethic	0.26	0.791	0.786
ethical	0.324	0.634	0.854
ethics	0.296	0.731	0.658
ethnic	0.373	0.555	0.583
ethnography	0.373	0.549	0.571
etiology	0.385	0.639	0.5
etiquette	0.35	0.421	0.604
etymology	0.37	0.529	0.531
eucalyptus	0.308	0.418	0.602
euchre	0.459	0.442	0.47
eugenics	0.53	0.518	0.448
eulogistic	0.623	0.694	0.74
eulogium	0.482	0.655	0.542
eulogize	0.518	0.679	0.85
eulogy	0.443	0.667	0.625
euphemism	0.453	0.491	0.418
euphoria	0.955	0.648	0.769
euphoric	0.904	0.588	0.745
euro	0.441	0.521	0.68
euthanasia	0.716	0.325	0.229
evacuate	0.792	0.314	0.354
evacuation	0.755	0.582	0.16
evade	0.49	0.342	0.304
evaluate	0.64	0.649	0.663
evaluation	0.667	0.764	0.542
evanescence	0.519	0.458	0.527
evangelical	0.389	0.602	0.602
evangelist	0.464	0.702	0.582
evangelistic	0.375	0.612	0.66
evaporate	0.469	0.402	0.357
evaporation	0.346	0.388	0.556
evasion	0.51	0.418	0.229
evasive	0.596	0.425	0.117
eve	0.378	0.44	0.612
evening	0.185	0.318	0.458
evens	0.43	0.457	0.592
event	0.673	0.664	0.745
eventful	0.837	0.51	0.543
eventual	0.459	0.413	0.633
eventuality	0.627	0.527	0.469
evergreen	0.471	0.546	0.729
everlasting	0.413	0.809	0.74
evermore	0.45	0.403	0.677
everyday	0.392	0.472	0.74
everyman	0.333	0.535	0.522
evict	0.632	0.377	0.042
eviction	0.731	0.455	0.185
evidence	0.5	0.778	0.5
evident	0.444	0.664	0.633
evidentiary	0.541	0.717	0.448
evil	0.827	0.545	0.04
evoke	0.341	0.5	0.438
evolution	0.657	0.854	0.781
evolutionary	0.673	0.825	0.796
evolve	0.692	0.896	0.655
ewe	0.216	0.277	0.429
ex	0.52	0.306	0.25
