****Dialogues from script :10_things_i_hate_about_you.txt****

rider		Hey -- sorry.
oleg		Hello, Tamina.
milos		Take your eyes off her, Oleg!  It's his fault.  Trying to get the bank clerk's phone number?!  I wasn't going to wait!!!
emil		Milos.  Get my money!
milos		 We spent it!
emil		Ha. Ha.
milos		Look at the way we live.  I'm a plumber. You think I'd be working if I had money?!
emil		A job?
milos		Yes, the money is good.
emil		As a plumber?!
milos		It's easy to learn.
emil		A job??  As a plumber???  You think I come to America to work!
milos		We started over, you can too.
emil		 You spent all the money while I was in prison?  Now you tell me to get a job fixing toilets?!?
oleg		What are you looking for?
emil		I'm going to make a bohemian barbecue.
mugger		Got any spare change?  How 'bout a spare twenty?
jordy		Look, I don't have time for you, get out of my way!!
mugger		Alright, how 'bout all your fuckin' money?
jordy		Okay, you're under arrest!  Now you happy?
mugger		Fire Department?  Firemen don't carry guns.
jordy		Oh yeah?  Guess again.
mugger		Hey.  C'mon, you can't leave me like this.  Some freak'll come by and stab me!
louie		Lieutenant - take up your line and relieve Ladder Company 60 on the top floor.
jordy		Hey, Louie, were you first due?
louie		Yeah, I radioed you guys right away 'cause you got two roasts on the top floor but you don't hafta investigate cause homicide is up there.
jordy		Homicide?  Who let them up?  I didn't make it a crime scene yet.
louie		Hey, it's Eddie Flemming.
jordy		I heard.  Who the hell let them up there?
korfin		I don't know, you think Eddie will give me his autograph?
jordy		You see anything in the crowd?  Anybody suspicious?
korfin		Naw - I'm sure the suspect's not here.
jordy		Oh yeah, why?
korfin		'Cause Eddie woulda locked him up by now!
leon		So, it looks to me - from the sixty-nine position - that they were doin' each other but were so whacked out of their heads they set the pipe on the mattress, lit it up, and they got fried.  What do you think, Eddie?
eddie		I don't know.  We got the experts here. Show them what you found - I hope you don't mind, we came over to see if we could help.
korfin		Nah, not at all.  Detective Flemming - Bobby Korfin.  My Uncle Tony worked with you at 2-1 back when you were a rookie.
jordy		Could you put out the cigar?  Part of the job is picking up scents.
eddie		Oh, sure.
leon		Well, I found - check it out - crack pipe.  Looks like they got careless.
korfin		Sorry, bro.
jordy		Hey, that's great you guys got it all wrapped up, but you don't mind if we go through the routine?  It gives us somethin' to do.
eddie		No, we don't mind.  You mind Leon?
leon		No.  Go ahead.
jordy		Thanks.  Appreciate it.
korfin		Okay, Jordy - it was a fast fire, we got good patterns - about thirty minutes old.
jordy		Mouth's clean, too.
korfin		Clean?
jordy		Don't blow your nose!
korfin		But you knew that, right?
jordy		So the way you see it, two crack heads burned themselves up?
leon		That's what it looks like to me.
jordy		And while they're burning up, they're still goin' down on each other?  You got to hand it to them.
leon		 Yeah, well, some people got their priorities straight.
jordy		Evidence.  Of a homicide.
eddie		No, what is it?
jordy		Why don't you explain it, Bobby.  Hey Camello!  You mind punching a hole in the floor?
camello		No problem.  Excuse me, gentlemen.  You might wanna back up a little more.  Don't wanna get your pants wet.
korfin		They have not soot in their mouths, which means they weren't breathin' before the fire and that usually means they were deceased - and this piece of cloth that my partner found means they were wrapped up in something, probably doused with a flammable liquid and positioned like this on the bed.  To the untrained eye, it looks like an accident.
leon		What's he looking for?
eddie		A timer.
korfin		Here you go.  A big double homicide.
korfin		You see Eddie's face when I gave him the timer?  Wish I had a picture of it.
jordy		He knew all along.
korfin		What??
jordy		That's why he was so quiet.  He was testing us.
nicolette		Detective, does it look like a murder?
eddie		We don't know that yet.  It's much too early.  There's a lot to be done.
nicolette		How many victims are up there?
eddie		There are two bodies found at this point.
nicolette		Can we go up to the crime scene?
eddie		You know you can't do that.  C'mon.
nicolette		Is it drug related?
eddie		We don't know.  When I have more I'll let you know.
nicolette		Detective...what's that you're holding in your hand?  Evidence?
korfin		What?
jordy		There was a woman - I think she wanted to talk to us.  She looked scared.  Oh shit!  Oh no!
mugger		You motherfuckin' bastard!  She stripped me!  It was a bag lady!  She touched me all over, it was disgusting.
jordy		I'm sorry.  I'm really sorry.
mugger		A dog pissed on me!!  I'm gonna sue you for this!  You violated my civil rights!
jordy		Your civil rights?!  You tried to rob me!  I could arrest you right now! You're lucky you're walking away from this.  Now get outta here.
emil		 Self-esteem?  Self-esteem??
emil		 Turn that fucking thing off!
oleg		 I'm not filming.  I'm watching Milos die.  It's just like a move but realer.
emil		Speak English!
oleg		 You said speak Czech!
emil		How you erase this?
oleg		I'll do it.  Don't hurt my camera!
emil		Stupid, Milos.  I didn't want to kill him.  What's this?
sexy voice		Hi?
emil		Hello?
sexy voice		Are you looking for companionship?
oleg		Whore?
emil		I'm homesick.  You have Eastern European girl?  A Czech girl?
sexy voice		Matter of fact, I have a lovely Czech girl.
emil		I take her.  Send her!
jordy		Now that you know him, maybe you can get extra work in the next movie they make about him.
korfin		Yeah?
jordy		Maybe you can be his stand-in.
duffy		 Who did cause and origin?
jordy		Who do you think, Chief?!
duffy		Then why didn't you talk to the reporter?
jordy		'Cause we got more important things to do, like finding out who did it.
duffy		Don't you guys understand?  It's all about image.  The better we look the more money I get to pay you guys overtime.
korfin		Yeah, right.
duffy		What was that, Korfin?
korfin		I said, yeah, you're right, Chief.  As soon as we get somethin' we'll let you alert the media.
duffy		You do that, wiseguy.  Now let's solve this thing before Eddie Flemming does.
garcia		Hey guys, I got your torch.  He just gave a full confession.
max		It's my fire!  Screw homicide.  I'll tell you guys everything!
jordy		What's that on your forehead, Max? That's a nice attention getter.
max		Yeah, I'm religious.  I'm not an Atheist like you!  Now, are you guys gonna arrest me, or not?
jordy		How did you start the fire this time?
max		I used an accelerant.
jordy		Yeah?  What kind?
max		 Hey, by the way, I'm really sorry about your wife leavin' you.
korfin		Max.
max		 ...Yeah, and with your old man dying last year you - what's it?  Just you and the dog now?
korfin		Max!
max		Does it feel bad - I mean the new guy your ex-wife's seeing - I hear he's a big shot downtown.
jordy		That's it!  You're outta here.
max		That's it.  I'm suing.
korfin		Get in line.
jordy		What's so funny.  How does he know so much about me?  Who tells him my life story?
garcia		He hangs around downstairs.  The guys talk to him.  He's a joke...
jordy		He's no joke!  One day he's gonna graduate from trash can fires and do something big.
garcia		Okay.  Okay.  We'll ban him from the station.
robert hawkins		Good evening, I'm Robert Hawkins and this is Top Story.  Tonight we bring you an exclusive interview with Stephen Geller - who horrified the nation two years ago when he went berserk and murdered three clerks in a Manhattan shoe store.  But now, Mr. Geller's claim, spoken softly and articulately, is that he is the victim.  According to Mr. Geller, the events of that fateful day were not his fault but were the fault of his psychiatrist.  Hard to believe...watch.
stephen geller		This had nothing to do with shoes that didn't fit or my relationship with my father who, as you know, made a fortune selling penny loafers in the fifties. These people died because of the criminal actions of my doctor.
robert hawkins		Your doctor?
stephen geller		Yes.  My psychiatrist didn't insist that I stay on my medication.
robert hawkins		...so you feel absolutely no responsibility for killing these people?
stephen geller		It was my finger that pulled the trigger, but I'm not morally responsible.  My psychiatrist knew what I was capable of.  How could I know. I'm not a doctor.
robert hawkins		You seem very savvy for a man who's been found mentally incompetent to stand trial.
stephen geller		Look, I'm a victim here, too.  I was a year away from getting my masters in Art, now I'll never graduate.  My life has been permanently disrupted.
robert hawkins		Permanently disrupted?  Aren't you selling paintings now for quite a lot of money?  Hasn't this 'incident' as you call it, jump started your career as an artist?
stephen geller		Look, I'm in here.  You call this a career move?
robert hawkins		And isn't there a movie in the works about you?
stephen geller		We're in negotiations, that's correct.
robert hawkins		But doesn't the Son of Sam Law prevent criminals from profiting from their crimes?
stephen geller		That doesn't apply to me because I'm not a criminal.  I'm not a criminal!  I wasn't convicted.
emil		I love America.  No one is responsible for what they do.
emil		Oleg, get in bathroom, stay there and shut up!
honey		Hi, I'm Honey.
emil		Where's Czech girl?
honey		Baby, I'm anybody you want me to be. I'm a little schoolgirl, I'm mommy, I'm a Czech girl.
emil		I ordered a Czech girl.  Daphne, you know her?
honey		It's an outcall service run out of an apartment.  I don't meet the other girls.  Aren't you gonna get undressed?
emil		Where is escort service?
honey		That's confidential.  Could you put the money on the dresser?
emil		I like to talk to the person who runs the service.  Can you give me address?
honey		Look.  Do we have a problem here? There's no reason to have a problem. I'm gonna make you feel real good.  You wanna Czech girl? After I'm done with you, you won't miss her.  Now why don't you pay me?
emil		 Listen to me.  I don't want sex.  Just give me the address and then you go.
honey		 Look, man, I don't give a shit if you want sex or not, but you're payin' for my time.
emil		Give me the address!!
honey		Alright, alright - don't hurt me! Please, it's in my book, in my purse!
composite artist		What about her cheek bones?
jordy		Her cheek bones are prominent and her eyes were huge.  Big, blue eyes and when I saw her, she looked scared.  Like she was looking to get away.  But she was absolutely beautiful.
korfin		-- From Czechoslovakia?  And how long have they been livin' in your building?  Milos and Tamina Karlova.  They were quiet and kept to themselves.  Landlord don't know who your girl is.
jordy		How long they been livin' here?
korfin		You hear that question, Garcia?
garcia		Yeah, I got Immigration on the phone - they've been here illegally.
korfin		Well, they're definitely permanent residents now.
garcia		I got the owner of the plumbing company Milos worked for.
korfin		Why don't we get some sleep and we'll go see him in the morning.
jordy		You go home.  I'm takin' your car and goin' back to the crime scene.
korfin		Aren't you tired?
jordy		If I go home I won't be able to fall asleep anyway.
korfin		 She keepin' you up?  Like to meet her, huh?  She'd make you forget your ex wife.  Cure your insomnia.
eddie		Okay to smoke?
jordy		It's your crime scene now.  You can do what you want.
eddie		Watch the news?
jordy		Nah, I musta missed it.
eddie		Well, just so you know.  I gave you guys the credit.
jordy		Well, just so you know, I don't care about that stuff.
eddie		Nah, why should you?
jordy		I don't even watch TV.
eddie		Good.  Good.  Commendable.
jordy		Did you get a report from the M.E.?
eddie		Sure.  But I would like to ask you something.  You got a problem with me?
jordy		If you found me steppin' on your crime scene - it might piss you off, too.  What about the report?
eddie		You were right, they were both dead before the fire.  The male was stabbed so hard the killer broke off the tip of the knife in his spine.  That's usually an indicator of something personal.
jordy		The Super said he'd seen her before but she didn't live here.
eddie		Pretty.
jordy		 Hmmmm.
eddie		Maybe you don't care about that either.  Prettiest suspect I've had in awhile.
jordy		Who says she's a suspect?
eddie		What would you call her?
jordy		Look, I'm not even sure she has anything to do with this.  I saw her outside after the fire - thought it was a lead. Maybe she saw something.  Maybe she was visiting somebody here.  Who knows?
eddie		Obviously they weren't having sex.  As you pointed out.  So why go through all the trouble of putting 'em like that?
jordy		Maybe it's a ritual thing or someone trying to send a message.  Burial rites are taken very seriously in Eastern Europe.  It could be to humiliate them. Just burning them up, no proper funeral, it's like condemning them to hell.
eddie		Eastern Europe.  Like what?  Romania? Hungary?
jordy		Or Czechoslovakia.  The Slavs have been fighting the Germans and the Russians for a thousand years.  These are very intense people and they take things personally.
eddie		Yeah?  Where?  You sure it was a knife? Uh-huh.  Really?  Okay.  We've got another murder - in a hotel on Eighth Avenue.  A stabbing.  Clerk said the room was rented by a Russian...
jordy		I'll come with you.
eddie		There wasn't a fire.  There'll be nothing for you to do.
jordy		I can watch you, Eddie.  Maybe I'll learn something.
eddie		This isn't homicide school.
jordy		My parents are from Poland.  I can help with the Eastern European angle.
eddie		You're Polish?
jordy		My folks are.
eddie		Stay here.
oleg		This is second day in America.  First day was very exciting.  Full of thrills and chills.  Over there, is co-star of my new movie, Emil!
emil		 Who is he?
vendor		New York's finest.  This is his case.
emil		Do you know how much killer gets for movie rights?
vendor		 In here, says he wants a million.
emil		Million?!  The killer gets one million dollars for a television interview?
vendor		Hey, tabloids paid Ted Bundy - famous serial killer - half a million for his interview.  And how much you think Monica got for writing book about the President coming on to her?  It pays to be a killer or a whore in this country. Look, you want magazine or not?
emil		Yes.  Both.
oleg		And these.
emil		 Get a taxi.
blind woman		Thank you, son.
eddie		Where is she?
leon		Takin' a bath.
eddie		Any I.D.?
leon		Still unknown but we're running prints. Kid over there caught the case.
eddie		It's okay.
tommy		Tommy Cullen.  Heard a lot about you. Nice to meet you.  Here's what we got. A girl in there, figure her to be a prostitute, looks like she was fighting for her life.  She's got defense wounds on her hands.  Right this way - in the bathroom.
eddie		After you.
tommy		Room was registered to a Francis Capra.
jordy		Capra?  That's not Czech or Russian. Who said he sounded Russian?
tommy		The clerk?
eddie		Check the switchboard, see what phone calls were made from this room.
tommy		I'll do it.
murphy		Clothes were off in the other room.  Tub is dry except for the blood.
eddie		Any of you guys take a piss lately?
leon		Yeah.
eddie		C'mere.  You wanna go to homicide school?  Here - make yourself useful.
murphy		If you look here where he missed and hit the wall you see that the marks aren't deep but they're kinda wide... not your everyday kitchen or pocket knife.
eddie		What if the tip was broken off?
murphy		Could be.  Then we should find it here somewhere.
eddie		I think we've already found it.
tommy		There was only one call from this room last night.  I dialed it.  It's an escort service.
leon		Did you identify yourself?
tommy		Hey, I'm new but I'm not stupid.
eddie		Call communications and get an address on that number.
jordy		You goin' to the escort service?
eddie		You got any better ideas?
jordy		Mind if I ride along with you?
eddie		This has nothing to do with your fire.
jordy		But what if it does?  You might need my help.
man		Hey, Eddie, can I get your autograph for my son?
eddie		I'll let you know what happens.
jordy		This is ridiculous.  I'm not gonna be in your way - we can talk the case over.
eddie		Tell you what - I'll flip you a coin. If you win you can come with me.  If you don't win, you don't come.
jordy		I'll call it... tails.
eddie		Okay.  I'll call it.  Heads.
eddie		Oh here.  A souvenir.
jordy		Two heads.
eddie		Better than one.
eddie		Police.  We'd like to ask you a few questions.
eddie		 Homicide, Miss Hearn.  It's Detective Eddie Flemming.  Open up.
rose		You!  I've seen you on TV!
rose		Just a minute.  Shit.  And I don't have a camera.  Hold on a second.
eddie		We don't have her I.D. yet, but one of your girls was killed last night at the King Edward Hotel.
rose		Oh my G-d.  Honey!  Honey's dead?
jordy		Do you remember the man who called?
rose		Yeah.  He wanted a girl from Czechoslovakia, but I sent him Honey 'cause once they get there, you know, it doesn't really matter - Honey was killed...?  Poor girl...
eddie		Do you have any Czech girls working for you?
rose		No.
eddie		Did you tell him you did?
rose		 Boy, she's so popular all the sudden.
eddie		What are you saying?
rose		Daphne.  Another guy came in asking me about her, too.
jordy		This her?
rose		Yeah.  Sort of.  I tried to recruit her, gave her my card.  She said she'd think about it but I never heard from her.
butch girl		 Beautiful eyes.
eddie		Who came by looking for her?
rose		He said he was her cousin.  I told him where she works.  They were just here.
eddie		Describe him.
rose		Tall, short-haired, scary eyes.  Second guy with him was...shorter, with a wrestler's build.  And he wouldn't turn his videocamera off me.
eddie		He had a videocamera?  Where is she? Quickly!
rose		She washes hair up at Ludwig's - a salon on 63rd and Madison.
eddie		Leon - meet us at 63rd and Madison. Hair salon.  Ludwig's.
jordy		 I'm on my way with Eddie.  Ludwig's. 63rd and Madison.  The suspects might be there already.
eddie		You thirsty?
jordy		I'm on duty.
eddie		 So am I.  Alright, I'll go inside and you cover the back.
jordy		Of course.
eddie		Hey!  I always wanted to be a cop when I was a kid.  I dreamed of running up to a door, kicking it in, pulling my gun and yelling 'Freeze!' at the bad guy! What'd you dream about?
jordy		I wanted to run up to a building on fire, kick in the door, rush into the smoke and save a kid.
eddie		Then I guess we're doin' this the right way, aren't we?  If we pull up to a burning building I'll gladly let you go first.
receptionist		Daphne?  In the back.  Probably shampooing a customer's hair.
ludwig		Why are you messing with your hair color again?  You're going to kill your hair. You won't look good with black hair.
daphne		I want to do it, alright?
ludwig		Well, then do it after work.  A customer's waiting.
emil		I...I have a temper.
ludwig		Daphne, will you be coming back to work?
daphne		In a minute, Ludwig.
emil		Smart girl.  I'm glad you're not a whore.  But washing hair?  This is no job for a woman as beautiful as you. They should be washing your hair.
jordy		...Daphne?
eddie		You don't have to be afraid.  We're here to protect you.  Come with me.  We want to talk to you.  You speak English alright?
eddie		Did he give you these?  Was he just here?
leon		 Stay with her.
emil		 Put the fuckin' camera down!  Let's go!
eddie		Split up!
oleg		Emil, look!
eddie		Are you hit?
leon		No.  I'm okay.
jordy		 Bobby, Bobby!  Where're you hit?!
korfin		It hurts.  Aw, Jesus!
jordy		Lay down.  Stay down, Bobby.
leon		He got my gun!  Motherfucker was filming the whole time!
eddie		I know.  Relax.  Take it easy.  Don't worry, we'll get those fuckers.
nicolette		Detective - can you tell us what happened here?
eddie		I can't talk right now.  We have some things to take care of.
nicolette		I understand, but I noticed that the Fire Marshall is here with you.  Is this somehow related to the fire department?
eddie		I really can't give out any information right now at this point.
nicolette		Okay.  But I do understand that your partner, Leon Jackson's been injured. Is that correct?
eddie		He was hurt, but not seriously.  He'll be fine.
nicolette		Do you have the suspect in custody?
eddie		Um...now is not a good time, okay. Detective Jackson's hurt.  He's fine. I've got a Fire Marshall shot, Detective Jackson is hurt but not seriously.
nicolette		 Alright, cut, cut, cut.
eddie		Yeah.  Now's not a good time.
nicolette		Alright.
eddie		Alright?
nicolette		Alright.
eddie		Alright.
nicolette		Okay.
daphne		I told your partner, I can't help.  I didn't see anything.
eddie		C'mon, start at the beginning.  You know these people?
daphne		Tamina was a friend of mine.  My shower was broken, she let me use theirs.
eddie		Go on.
daphne		If I tell you, will you arrest me?
eddie		Arrest you for what?  Why would we arrest you?
jordy		She just saw two of her friends killed! They probably threatened her.
eddie		Is that all there is?
daphne		No, no, don't talk to Immigration!
jordy		Why not?
eddie		Something back home?
daphne		...my little sister and I shared a flat - I came home one night and a man was raping her.  His gun was on the chair... He came at me and I shot him.
jordy		 Alright.  That's a justifiable homicide.
daphne		Yes, but he was a cop.
eddie		A cop?
daphne		 I'm from a small town in Slovakia.  Like the South here.  The Police is right, a civilian is wrong.  So I fled.
eddie		Look, we can help you but right now we have to deal with what's happening here. Tell us the truth...is that the truth?
daphne		You're a cop - you'll never believe me.
jordy		 Can I talk to you?
eddie		She's fucked.  Even if that story is true.
jordy		Raw deal.
eddie		You wanna talk to her alone?
jordy		Yeah.
eddie		What would your girlfriend think of that?
jordy		I don't have a girlfriend.
eddie		My point exactly.
jordy		I'm serious here.
eddie		So am I.
jordy		C'mon.  You intimidate her 'cause you're a celebrity.  She sees me differently.
eddie		You're her Savior?  Is she the kid you're gonna save from the burning building?
jordy		You know what I'm saying here.
eddie		Okay, tell you what, I'll give you a head start.  You take her to the station house.  Don't let her out of your sight. She's the only warm body we got left.
jordy		Hey.  I'm a professional.
eddie		Women like that have a way of turning professionals into amateurs.
oleg		Gotta light the scene better.  Now it's more moody... like a scene from THE THIRD MAN.
emil		Shut up.
oleg		Does it hurt?
emil		This is nothing.
oleg		Oh, shit.  I hate looking at that!
emil		Don't want to film this?
daphne		Now I become custody of police department?
jordy		If you cooperate with the DA - maybe they'll help you with your situation.
daphne		I will if they don't send me back.
jordy		They won't until this is over.
daphne		Are you married?
jordy		Divorced.
daphne		Do you live alone?  I've been in these clothes since...the killings.  Could we stop at your place? I could take a shower...before I go into custody?
jordy		I can't take you to my place.
daphne		Somewhere else?
eddie		I want to talk to you about something serious.
paulie		She's here.
nicolette		Hey, honey.
eddie		Hey.
nicolette		What is your problem?  Why'd you snap at me?  I just wanted a statement.
eddie		I can't...I can't answer you just because you want me to answer you!
nicolette		You didn't have to embarrass me in front of my colleagues.  You could give me something.
eddie		Oh, I'm sorry.  Did I embarrass you, sweetheart?  Oh...
nicolette		Stop it.
eddie		Maybe I should just, ya know...turn to the cameras and say, do you mind if we just work something out?
nicolette		Alright, alright, Eddie.  Don't patronize me.
eddie		I'm not.
nicolette		Yes you are.  I'm not just some reporter.  I don't just stick a microphone in your face.  You could give me something.
eddie		Yeah, well you took the camera and put it right down on the evidence.  That was...
nicolette		That was good.  You were holding the evidence.
eddie		You were merciless.  You didn't give a shit if you got me or not.
nicolette		Well, who was it that taught me how to do that?  Huh?
eddie		You're ruthless.
nicolette		You're not so bad yourself.
eddie		Could be Leon's.
nicolette		Jesus.  And last week you came over with blood on your shoes.  What am I going to do with you?
eddie		You know, I been thinkin'...these shoes might look nice with another pair of shoes next to them in the closet.
nicolette		What are you doing?  What are you saying?
eddie		Answer the phone.
nicolette		No.  Tell me what you want to say.
eddie		Answer it.
nicolette		Okay.  Okay.  Hold that thought just for a second.  They only call me when it's an emergency.  Just hold that thought.  Can you call back?
nicolette		What're you talking about?
nicolette		What?  Oh.  Okay.  Yeah.
eddie		That's good.
nicolette		Yeah.
eddie		Well, that's great.
nicolette		Okay.  That is great.  But I can't go now, we're in the middle of something here.
eddie		No.  Go ahead.  You're gonna be great.
nicolette		No.  No, listen to me here.  I want to know what you're talking about.  You know, the shoe thing and the marriages and...
eddie		I'll tell you tonight.  Let's do it tonight.  As soon as you get back we'll talk.  We'll talk.
nicolette		Promise?
eddie		I promise.  We'll talk.  You'll be great.  You'll be fine.  Go ahead, just imagine that, uh... Just look into the lens and imagine you're talking to me.
nicolette		Yeah.  I'll do that.  As long as you're not patronizing me.
eddie		Patronizing you... Nay, I love you.
nicolette		I love you.
eddie		Tonight.
nicolette		You promise?
eddie		Yeah.  I promise.
nicolette		Okay.  And you know what, I'll swing by my place, grab a couple pairs of shoes and maybe just test them out next to yours...How's that... Would that be a good thing.
eddie		Yeah, yeah.  Good thing.
nicolette		Okay.
eddie		See you later.  Good luck.
nicolette		Thank you.
eddie		Don't be late.
jordy		The men are out of quarters - practicing putting out fires.
daphne		So...the station is empty?
jordy		Yeah.  This way.
jordy		You considered becoming a prostitute?
daphne		Yes, I considered it.
jordy		Did you ever turn tricks before?
daphne		No.
jordy		What about back home?
daphne		No.
jordy		So you were never a prostitute?
daphne		What are you asking me?
jordy		I'm just trying to find out who you are.
daphne		Can you let me go?
jordy		Showers are this way.
daphne		You could shower with me.
jordy		I'll uh, I'll get you a towel.
daphne		I'm not a whore.  I'm not a whore.
jordy		I know.
daphne		You don't know.  I'm sorry.  I was desperate.  That's not me.  I shot a cop.  Can you imagine what they'll do to me when I got to prison?
jordy		They're not gonna send you right back.
daphne		I'm sorry.  I didn't mean to...I'm glad. Actually I'm glad it's over.  All this time.  Hiding.  Never being able to look anyone in the eyes. Always afraid that someone would find out who I was.  Never trusting anyone...
jordy		You can trust me.
oleg		What is it?
emil		The video of Milos and Tamina - I told you to erase it.
oleg		I did.
emil		And the whore's murder?  You didn't erase that either, did you?  Don't lie, I won't be angry.
oleg		Why not?
emil		Put the camera down, Oleg.
oleg		What is that?
emil		What does it look like?  It's an address book!
oleg		Let me get a shot of it.
emil		Sit down!
oleg		This way.  Hold it this way.  Good.
duffy		Hey.  Warsaw.
jordy		Hey, Chief, what are you doing here?
duffy		I came to see how the investigation was going.  I called and you're not here.  I wait up at the station and you don't even show up!!!  I beep you - you don't return my call.  Where the hell have you been?!
jordy		Ladder 20 was on the Rock for training. We stopped there... so she could get cleaned up.
duffy		What do you mean, 'cleaned up?'
jordy		I let her take a shower.
duffy		A shower!?  Did you take one, too?
jordy		No!  Nothing happened.
duffy		Oh really.  That's nice.  You took a homicide witness to take a shower after your partner was shot?  Are you out of your fucking mind??  Are you having that much trouble gettin' dates?!
tommy		This way, ma'am.
eddie		There was too much press hangin' around there.  I didn't want her face on the news.  So I told him to take her to a quiet area until things settled down.
duffy		Oh.
eddie		It was my decision, not his.
duffy		Well, I'm the Deputy Chief Fire Marshall and every now and then I'd like to be included in decisions.
eddie		Look, after Jordy briefs me, you can do the press conference.  How about that? The case is all yours.
duffy		Oh yeah...?  Alright.
eddie		 Excuse us.
duffy		 Beep me when you're ready for the press conference.
jordy		Will do, Chief.
eddie		Wait.
eddie		Guys...give me a few minutes?
jordy		Look, Eddie, I'm tellin' you - I didn't touch her.
eddie		Well, you shoulda because nobody's gonna believe you didn't...including me.
jordy		I took her there for a shower and that's it.
eddie		Just a shower?
jordy		Yeah, just her in the shower.  Nothing happened.  Look, I'm sure you probably think I'm a fool and I fucked up, but...
eddie		No, I don't think you were a fool, I just think you were stupid about it.  I mean, to say the least, you outta know better.  You don't know her well enough. She's got the potential to fucking hang you even if she suggests that you made a pass at her, it's fuckin' over.  You can deny it all you want, but it will not make one fucking bit of difference. You're dead.
jordy		I told you, you know, I thought I was doing the right thing, you know, I think she's innocent.
eddie		Well, it's not up to you to decide whether she's innocent or not.  Don't you understand, that's why you're a professional.
jordy		But, I mean, didn't you ever go out on a limb for somebody?  I mean, you shoulda heard her there.  Tellin' her whole story...I believed her.
eddie		How you go out on a limb for somebody is by giving her a number of an Immigration lawyer.  Here, here's a number of an Immigration lawyer.  That's how you help her. But you can't get involved in her like that.  You're gonna jeopardize your career, your life and you're gonna jeopardize my case.  And lemme give you another piece of advice.  Maybe you don't watch TV but I'll let you in on a little secret - the whole fuckin' world watches television.  And when you get out there, they know your face.  And the little fame, the little fuckin' itty bitty fame that I get in this city makes it a lot easier for my job.  And I get more done because of it.
jordy		Why'd you help me back there with the Chief?  Why'd you stand up for me like that?
eddie		You know, I don't know.  I like you. You remind me of a puppy I used to have. He pissed on the rug all the time, but I still kept him.
eddie		It's Flemming...anything turn up?  Did they check the hospitals?  Airports? Yeah, I hit him!  I fuckin' hit him!  We should be all over everywhere - with dogs, choppers, everything!  These guys are from fuckin' Czechoslovakia...
emil		So...who's Nicky?
eddie		What do you want?
emil		Your opinion.  You see, they going to make a movie about me, too, Eddie.  And write books.
eddie		 What's your accomplishment.
emil		I kill someone famous.
eddie		Then do it, asshole.
emil		Good - be tough to the end.  Actor who plays you will want to die like hero.
eddie		If you kill me and film it you're putting a noose around your neck.
emil		Turn it off.
oleg		Good idea!
eddie		You really think you'll be able to fool a jury with this bullshit?  How fuckin' stupid are you?
emil		Smarter than Americans.  You're fed cry baby talk shows all day long.  Not only will Americans believe me, they'll cry for me.  So...Detective Eddie Flemming, would you like to say goodbye to your Nicolette? Maybe you can propose to her now?
oleg		Cut!
emil		Bad last moment - I cut that out.
hawkins		Awful...what an awful day.  He was New York City.
tommy		I never got to tell him how much I admired him.
hawkins		I know, son, I know.  We all loved him.
nicolette		You know...you know he was gonna propose to me.  The crime guys found a card he'd written out to me.  And a ring box...these fuckers that killed him - have my ring.  They have my diamond engagement ring...
hawkins		I know.
nicolette		What do you mean you know?  He told you he was gonna propose to me?
hawkins		Well, he...
nicolette		 I want to hear everything he said.
hawkins		I'm trying to tell you.
nicolette		Alright.  Go ahead.
hawkins		That morning.  He was talking to me and Leon about marriage.
nicolette		Oh my G-d.  We were having lunch here. He started making overtures - talking about little shoes next to his in his closet but I got a call to anchor - and I walked out on him.  I walked out on him when he was trying to ask me to marry him!!
maggie		Robert...?
hawkins		What are you doing here?
maggie		 You've got a call.
hawkins		I can't talk to anybody right now, can't you see I'm busy!  I can't talk business.  Hang up.  Have a drink.  Get her a whiskey.
maggie		Trust me, you'll want to take this call.
hawkins		Hello?  Who is this?  How do I know this is you?
emil		Come to 45 Broadway.  Don't bring the Police.  Come alone or you'll be in my next film.
hawkins		 Look asshole.  I've been threatened by better than you.
emil		No.  I'm the best that's ever threatened you.
hawkins		I'll meet you on one condition - I get exclusivity and you surrender to me.
emil		We'll talk about that.  Four o'clock gives you time to go to bank.  Three hundred thousand dollars.
hawkins		What?  It doesn't work that way.
emil		 If you don't want my film - I'll call another show.  And they will show it.
hawkins		Wait a minute.  Wait a minute.
emil		Come alone.  Bring cash.  And we'll talk about surrendering.
korfin		How was it?
jordy		 Not good.
duffy		 Did the D.A. videotape her deposition?
korfin		Yeah.  He finished awhile ago.
duffy		 Alright.  Swing by her apartment.  Let her pick up her clothes and take her straight to Hoover Street.  You got that?
korfin		Yeah.
jordy		Chief - mind if I take her?
duffy		Okay.  But not water sports.
man		Excuse me - Jordan Warsaw?
jordy		Yeah.
man		 Consider yourself served.
korfin		Zwangendaba??? Is suing you, the department and the city of New York for 10 million?  Who is Zwangendaba?
jordy		The mugger.
daphne		Are you alright?
jordy		I still can't believe Eddie's gone.
daphne		I'm sorry.
jordy		What's this?
daphne		Ludwig?  He's gay - are you jealous?
jordy		If I was your boyfriend, I might be.
daphne		If you were my boyfriend, I'd suggest you find another girlfriend that isn't going to jail ten-thousand miles away.
jordy		A good Immigration lawyer could stall the process.  Eddie recommended one.
daphne		No matter what happens...I'm glad I met you.
jordy		I'm glad I met you.
jordy		You better get packed.
daphne		Right.
jordy		Do you have coffee?
