****Dialogues from script :Pianist.txt****

the pianist		 by Ronald Harwood  based on the published memoir by Wladyslaw Szpilman
daggett		I had never asked anything of the voice. Not when the neighborhood kids made fun of me, not when my father looked down at me like some knock-kneed faggot. I never questioned a damn thing. But on the morning I spent looking down at three parallel graves, I asked it one question. Why. Why were these people taken from me? And the voice, that same voice that would wrench me out of my sleep some nights with its jabbering, it was suddenly stone silent. It was the only question I ever asked of it and it just left me hanging in the fucking wind...
daggett		So after that I traded in priest school for homicide school. Because if God wouldn't talk to me the devil sure as hell would, and his ways were a lot easier to understand.
katherine		We've never seen God, have we? Not in any of this.
daggett		Yeah, He's certainly a shy son of a bitch, I'll give Him that.
katherine		Maybe we're not supposed to. Maybe that's faith.
daggett		Do you still have faith in anything, Katherine?
katherine		I have faith in Mary. And that I'm going to save that little girl from those creeping things out there. From all of them.
daggett		Maybe you were called to something after all.
katherine		Maybe we both were.
gabriel		Heavy sleeper, John.
john		Don't -- Don't hurt me, man. My wallet's in the dresser.
gabriel		Don't be such a materialist, John.  No end to your bad habits.
john		What do you want?
gabriel		A moment of your time.
john		You ought to have that nose looked at, man.
gabriel		Where are they, John? Katherine and Mary? Where would they go?
john		What? Mary? I don't know.
gabriel		Sure you do. Think hard.
john		No, really. I don't know. The school maybe.
gabriel		Now you're not even trying, John. You're Katherine's best friend. She tells you everything.
john		I'm just the driver, y'know?
gabriel		I can help you remember, John...
nurse		Can I help you?
gabriel		Someone's going to die here soon. I'll just be a minute.
nurse		There's no visitors allowed in ICU.
gabriel		The timing's important. I can smell these things, you know.
gabriel		Go to sleep.
gabriel		Recovering... Recovering... Stable...  Deteriorating critical.
gabriel		Whoa, not just yet. Come on back. That's it...
gabriel		Hi.
woman		No, no...
gabriel		Hey, c'mon, don't start...  Promise.
mary		Hi, Miss Henley.
katherine		Hi, pumpkin. Good morning.
katherine		How's the head?
daggett		Shitty. Coffee?
katherine		What are we going to do if he comes?
daggett		You mean when, right?
katherine		When he comes.
daggett		There's no phone here? Radio?  If we were smart we'd leave. Get to a town. A sheriff station.
katherine		Mary's ceremony isn't over yet. The Enemy Ghost Way. The alien spirit hasn't been driven out.
daggett		Do you really believe in the ceremony?
katherine		Would you have believed in any of this three days ago?
daggett		 So we stay and dump the General's soul.
katherine		You have the gun?
daggett		With one shot left. The spares --  We're going to have to come up with something.
katherine		We could always ask him.
lucifer		I always forget how cold it gets in the desert.
lucifer		Mr. Daggett, I presume. How's the faith?
lucifer		Come come, must you be so wishy-washy about everything? With the absent- minded eagle scout, I can see that. But you're looking at the devil man, say something.
daggett		Fuck you.
lucifer		Much better. Can I have some coffee?
daggett		Keep it.
lucifer		I have come to remind you that the winged party boys are just that: spoiled boys. You are armed, however pathetically, with the one thing they never really understood: theology. It's not much, but that's life.
daggett		Is this supposed to be our "win one for The Ripper" speech?
lucifer		Don't press your luck, Mr. Daggett.
lucifer		Go and get ready, Thomas.
lucifer		Have you ever considered Katherine, that the great absentee landlord, the soft-eyed eagle scout your childhood prayers are for, is just using you? That you're only the exterminator to get rid of his pests?
lucifer		God's junkies are coming, Katherine. And when they do, all hell is going to break loose...
gabriel		Say, Ma'am, any idea where I can find Old Woman Butte?
madge		It's on the reservation.
gabriel		I don't suppose you could be just a tad more specific. Madge.
madge		Isn't your friend hungry?
gabriel		Not for a while, I'm afraid. Funniest thing.
madge		Take 522 to the Sonsela Wash cut- off. First dirt road go left. Twenty, twenty-five miles you'll see it. Big, black and all alone.
gabriel		I doubt we'll meet again.
madge		Suits me.
daggett		You could always lend a hand.
katherine		He's coming.
daggett		Is there any way to speed this up?
villager		No.
daggett		Lock the door.
daggett		Stay inside. It's only one round, so make it count.
gabriel		You'll like this, Rachael.
gabriel		 Nice move.
gabriel		You ought to come work for us. Upstairs. We sneak the odd civilian in now and then, you know. You'd like it. Nobody tells you when to go to bed, can eat all the ice cream you want. And you get to kill. All day and all night. Just like an angel.
gabriel		Save yourself, friend. Why go to the wall with the bitch and her rug rat? It'll all turn out the same anyway. Here or in heaven, we're still gonna tear the kid apart.
daggett		I'm not an angel, heaven or hell. I'm a man you eyeless puke, which means I have one thing you never will. A soul. And though I may, somewhere inside, believe in a God, I will never, never, believe in you.
gabriel		A little speechy today, aren't we?  Okay pal, have it your way.
gabriel		This is going to really, really hurt.
daggett		...You -- your war...
gabriel		C'mon, son, out with it. Make this one count.
daggett		Your war's a lie!
gabriel		 What?
daggett		Running around acting like this is really about whether Christ is just the son of God or if he is God. Bullshit! That's not what this is about at all, is it?
gabriel		You're wrong.
daggett		Then prove it to me, Gabriel. I studied three fucking years of theology before I picked up a gun. C'mon, you're chief goddamn angel, I'm just a little man. Prove to me Christ is just a son and less than God. Prove it!
gabriel		I don't have to.
daggett		Because you can't! Because this war isn't about some obscure medieval hangup. You're just jealous.
gabriel		You're wrong!
daggett		Try me, Gabriel. Go on. Prove to me the temporal nature of the Trinity. Show me through logic how the Son of the Word can be separated from the Father. Fight me with philosophy, Gabriel!
gabriel		No!
daggett		Because you and your army are wrong! And you know it. You knew it sixteen centuries ago.
gabriel		We don't have to listen to him! He's just a son!
daggett		That's it. You're jealous. Jealous He could love something more than you...
gabriel		 Shut up...
daggett		If you wanted to know so badly, Gabriel, why didn't you just ask Him? Why didn't you just ask God?
gabriel		Because He doesn't talk to us anymore!
gabriel		Relax folks, it's just a soul.
gabriel		I'm getting real tired of you.
katherine		Go to hell.
gabriel		Heaven, darling. Heaven. At least get the zip code right.
katherine		It's all the same, isn't it?
gabriel		No. In heaven we believe in love.
katherine		And what do you love, Gabriel?
gabriel		-- Cracking your skull.
katherine		That's all it is for you anymore, Gabriel, isn't it? Just the killing and the burning. You don't work for God anymore. You don't fight for love.
gabriel		Shut up!
gabriel		God loves you, Mary!
katherine		Finish it.
katherine		Finish it!
katherine		Go home.
lucifer		No.
lucifer		Please. Go on.
gabriel		Oh man, this just isn't my day.
lucifer		Long time.
gabriel		The world's young, man.
lucifer		And full of ambition.
gabriel		This isn't your war.
lucifer		But I remember the last one. Michael's war.
gabriel		You lost.
lucifer		But lots of angels were with me. every one followed their leader out of heaven.
gabriel		Yeah yeah, I was there, remember?
lucifer		Except one. Oh, he was with me all right. He hated the Eagle Scout. Envied the power He gave to His Son. But this angel never came out front during the war. And when it ended he thought maybe, maybe the Eagle Scout didn't notice. So he laid low and towed the company line till he could start his own war. It was all just jealousy.
gabriel		You're dreaming.
lucifer		But maybe He did notice. Maybe that's why I'm here.
gabriel		-- Stay away from me.
lucifer		You've always been a part of me, Gabriel. And now it's time to come home.
gabriel		Fuck you!
grey horse		The enemy spirit is gone.
daggett		 Where?
daggett		More will come... To look for the soul...
katherine		And they won't find it. Not in Mary.
katherine		Can you help him?
villager		We have some bandages.
katherine		Are you all right, pumpkin?
mary		I'm okay.
katherine		It's going to be okay... We're all going to be okay...
katherine		I can't quite bring myself to say thank you.
lucifer		I understand.
katherine		Then this is done.
lucifer		Not necessarily. Maybe I like you. Maybe I want you to come with me.
lucifer		You owe me, Katherine. And you're going to ask me to take you home.
katherine		 No.
lucifer		You will. You will because any other way is going to be more awful than you can imagine.
katherine		Are you threatening me?
katherine		Then you've picked the wrong person this time. I've just about had it up to here with ghosts. So you can put away the horror movie sneer and the K-Mart halloween eyes, because we know you now. We know you all. And if you want to force the issue then go ahead because you're just another angel to me. Take a look at your buddy Gabriel. Then ask yourself, do you really, really want to fuck with us?
lucifer		Perhaps another time.
katherine		I'm holding my breath.
lucifer		Goodbye, Katherine. For now.
mary		Is he coming back?
katherine		I don't think so, honey... I don't think so...
sheriff		 Is he going to live?
deputy		With any luck.
sheriff		 I thought I told you to give me a call if anything snarled.
daggett		There wasn't a phone.
sheriff		Hmmm.
sheriff		This fella, Gabriel...
daggett		Yeah.
sheriff		Gabriel what?
daggett		Just Gabriel.
sheriff		Pretty violent guy, Gabriel. Even for out here.
daggett		Yeah.
sheriff		Caught up with him at the village?
daggett		He caught up with me.
sheriff		What were you doing way up here?
daggett		Enemy Ghost Way for Mary Tsosie.
sheriff		Indian stuff.
daggett		Yeah. Indian stuff.
sheriff		Did you kill this Gabriel?
daggett		Maybe. I think so.
sheriff		Don't have any idea where the body is I suppose.
daggett		No.
sheriff		Well, if he's alive he won't get far out there. Us or the coyotes, it'll be the same.  I rang your office in LA. They don't have a warrant out for a Gabriel. Or anybody else in Arizona.
daggett		I hadn't gotten around to it.
sheriff		Sort of an out of pocket thing.
daggett		Yes.
sheriff		That woman lying at the bottom of the arroyo, the one still in her hospital gown, know anything about that?
daggett		No.
sheriff		Really.
daggett		Really.
sheriff		This Gabriel was sure one busy dude.
daggett		Yes, he was.
sheriff		You'll be going back to Los Angeles now?
daggett		Yeah.
sheriff		Don't hurry back.
deputy		Don't do much but breathe the next few days. And get to a hospital. You're going to need some serious stitches.
daggett		Thanks.
deputy		Say hi to Hollywood for me.
mary		You look bad.
daggett		Thank you. I feel worse.  They lean on you much?
katherine		Not really. I think they might have even understood. One of them's related to this clan. He'll give us a ride back if we want.
daggett		Good. I think I've about run out of hospitality with the sheriff's department.
katherine		Do you think it's really over?
daggett		Till we die.
katherine		When I die, I want you with me.
daggett		I want that too.
****Dialogues from script :Proposal.txt****

richard		Where are my clothes? A blob beneath the sheets next to him answers.   SIMONE is the model on the walls and is really, really hot.
simone		In the kitchen.   I think.   Can I make you some coffee?
richard		Sorry, I gotta go.   I'm late. Richard hurries to the kitchen.   Socks are on the butcher block next to an empty champagne bottle.   Shoes in the sink.   He finds his pants on the floor and puts them on. RICHARD  Have you seen my belt? Simone looks around and sees it tied to her headboard.
simone		In here. She unties the complicated knot.   Richard comes back half dressed.   He swallows a little throwup.
richard		Baby, I just can't do this anymore.
richard		You're just too much for me.   And I'm just another guy too wrapped up in his job.
simone		Fine.   Whatever.   Just go. Richard sits down on the bed and locks eyes with Simone.
richard		Let's not end it like that. It's been an amazing three and a half weeks.   Thank you. And you should know that you have the nicest ass I've ever been with.
richard		I do.   It's magnificent.
simone		I work really hard on it.
richard		I know you do. Simone smiles and begins to seductively pull the sheets off her naked body.   Richard shakes his head "no" and smiles. RICHARD  I really gotta go.
margaret		 I knew you would call!   Now come on, tell me what I want to hear.   Give it to me.
doorman		You have to put it by your mouth so people can hear you.
margaret		You should get paid extra for being so darn funny. Margaret straightens her jacket, answers the phone, and walks out the door. MARGARET  This is Margaret.
jillian		You're running late today.
richard		Jillian, you are the best.
jillian		If you think I'm good at this, you should use that coffee cup sometime. As he runs out the door, Richard glances at his cup and smiles at Jillian's name and phone number written in Sharpie.
richard		See ya tomorrow.
richard		She doesn't exactly consult with me on these things.
richard		Welcome to my nightmare. The doors close as...
margaret		You've been thinking about our talk because I'm right.   Everyone does publicity.   Roth, McCourt, Russo.   Hell, Chabon practically whores himself.   Know what they have in common?   A Pulitzer.  Yes, I know you haven't done it in twenty years, but that's how long it's been since you've written a book this good.
margaret		I'm not pushing so you'll sell more books, I'm pushing because it'll be a crime if the world doesn't hear that you wrote a genius piece of literature.   Do the publicity. Margaret waits for an answer and smiles when she hears "yes." MARGARET  You're making the right decision!   Great news.   Going into an elevator, think I'm going to lose you... Margaret hangs up.   Never give them a chance to change their mind.
receptionist		Good morning! Margaret quickly walks by and gives only the slightest nod.
richard		You've got a conference call in thirty, a staff meeting at nine, and your immigration lawyer sent some papers for you to sign.
margaret		Cancel the call, move the meeting to eight,
richard		Nice job.
margaret		When I want your praise, I'll ask for it. Is Bob here?
richard		I'm sure.   You want him on the phone?
margaret		We're going to his office.   Grab your pad. Richard calmly backs out of the office...
margaret		That's cute.   You gonna call her today?
richard		What? Richard doesn't know what Margaret is talking about, until she nods at the cup.   He's embarrassed.
margaret		Are you bored here?   Do you need little distractions like that to get you through the day?
richard		Uh...
margaret		You have another late night out?
margaret		I'm firing on all cylinders and you've got hearts on your coffee cup, wicked bed head, and a wrinkled suit that you wore yesterday.
richard		Oh.   Well, it won't be wrinkled for long.
margaret		You'll magically unwrinkle?
richard		Yes.
margaret		You have magic pants?
richard		No.   I've sprayed them with stuff that will take care of the wrinkles.
margaret		Does this work on more than just your pants?
richard		Anything that's wrinkled.
margaret		Buy me some.
richard		Will do. Richard makes a note.   Margaret stops to make her point.
margaret		I don't care what or who you do on your own time, but when you walk through that door you represent me, and I will not have your personal life affect you at work.   If you want me to think of promoting you to editor, I need you sharp, focused and professional. Got it?
richard		Got it.
margaret		Great.   Now you're just a prop in here, so don't say a word.
margaret		Hey, Bob.
bob		Ah.   Our fearless leader and her liege. Margaret smiles.
margaret		I'm lettin' you go, Bob.
bob		Pardon?
margaret		You're fired.
bob		What?   What are you talking about?
margaret		This isn't working out.
bob		You can't...
margaret		I asked you repeatedly to get Frank to do publicity.   You said it was impossible.
bob		It is.   He doesn't do publicity.
margaret		I just talked to him.   He's in.
bob		But...
margaret		No more buts, Bob.   I've been chief for a month and a half, and this is the third time you've dropped the ball.   You didn't even call to ask him.
margaret		All you had to do to was pick up the phone. That's it.   Now I'll give you two months to find a new job, and then you can say you resigned.   I won't tell a soul, my lips are sealed. Margaret nods at Richard and he opens the door.
margaret		What's he doing? Richard turns around and takes a peek.   Bob gets out of his chair and comes to his door.
richard		He's up and about to pop.
margaret		Oh Bob, don't do it...
margaret		What are you doing?   I gave you a civilized way out of this.
bob		This is because I'm your competition. Because I threaten you!
margaret		Oh, Bob.   You could never threaten me.   I'm firing you because you're lazy, entitled and incompetent.   I'm firing you because you don't work hard.   So if you know what's good for you, you'll shut up, take off that ridiculous bow tie, find a bar and get drunk.   Because if you say one more word, Richard here is going to call security and have you thrown out on your ass.   Are we perfectly clear? Bob nods. MARGARET  Good.   Now I've got work to do, so if you'll
richard		No problem.   I'll just cancel my trip this weekend.
margaret		I gave you the weekend off?
richard		It was my Grandma's ninetieth birthday. But no big deal.   You were right before, I need to stay focused.   Professional.
richard		Well tell gammy that I'm sorry.  Sorry about that.   Damage control.
margaret		She tell you to quit?
richard		No.   No.  Um.   Yes?   But as I've explained to them, after three years together, you're the only person on the planet who can make me editor, so that's the way it is. Richard's phone rings and he picks it up.
margaret		Who is this guy?
richard		He said you knew each other.   You weren't sure so you told me to set a meeting.   We rescheduled on him four times.
margaret		Go get him.   But he's out of here in five minutes, we've got work to do. Margaret leaves and goes into her office.
richard		 I'll charge up the cattle prod.
margaret		Yeah.   Well, those announcements are silly, aren't they?   Like everyone who needs to know doesn't know already. Margaret has been trying to figure out how she knows this man, but now gives up. MARGARET  Have to admit, I can't place where we know each other from. Gilbertson smiles.   He didn't expect her to remember.
margaret		Don't have it...
margaret		Oh my God, you read that manuscript with me? That book is legend.   Without a doubt the worst ever written.
margaret		It was a fever dream!                                         900 offensive and pointless pages, with like 30 characters, who all had some weird disability.   The paraplegic pornographer, and the stuttering scientist?   Oh!   And there was the asthmatic alien chapter -- written entirely in his alien language.
margaret		Did you see the pass letter I wrote him?
margaret		You wrote the book.
margaret		You're Dante Dickens?
margaret		I'm sorry if I hurt your feelings.   You obviously were spending a lot of time writing, I just thought you should channel all that passion into something else. Gilbertson smiles as he pulls a BADGE from his coat pocket.
margaret		Excuse me?   What?   This is a mistake.   I've lived here since 1981.   I'm applying for citizenship.
margaret		Yes.   And all the papers are in. Gilbertson pulls out a stack of papers and throws them down.
margaret		I'm a threat to the sovereignty of the United States?
margaret		"Affect me at work?"   I'll lose my job!
margaret		Oh, no.   No, no, no.   I won't do it.
margaret		Well then, get it published at another house.
margaret		All?
margaret		I'll be fired and laughed out of the industry if I publish that book.
margaret		I will never publish your book.   Ever.
margaret		This is blackmail.   I'll go to your boss.
richard		Excuse me, Ms. Mills, risk management needs you right away. The sight of Richard inspires Margaret.   She turns to Gilbertson with a wicked grin on her face.
margaret		Know what, Dante?   I'm not going anywhere! We're getting married! Richard has no idea what Margaret is talking about.
richard		Who's getting married?
margaret		We are!
richard		You and him?
margaret		Stop playing around, honey. Margaret is all smiles.   Richard is very confused. MARGARET  Mr. Gilbertson is from the INS.   I told him about us.   About us getting married.
richard		Assistant.
margaret		 We're in love.   We tried to fight it.   When it's right, it's right.
margaret		Nope.   True love.   Got it bad.
margaret		Of course we are.
richard		Uh-huh. Margaret smiles and snuggles up to Richard so he can put his arm around her.   Richard is truly afraid. RICHARD  I'm, uh, marrying my boss? Margaret turns and puckers her lips to let Richard know that she's ready for a kiss.   The two slowly begin to come together. Just as their dry lips are about to touch, Richard chickens out and kisses the hair on the top of her head.
margaret		What?
margaret		C'mon.   Answer.   You don't have a choice. Richard doesn't want to do this, but relents.
richard		Plum.
richard		No.   Plum is "smokier" than purple.
richard		Tulips.   But only when they're in season.
richard		Miss Mittens.
margaret		Are we done here?
margaret		No one.   With us working together we decided it would be too much of a scandal if anyone knew.
richard		Nope. Gilbertson smiles and puts down his pad.
margaret		We're telling his family this weekend.
richard		We are?
margaret		Yes.   We are.   We're surprising them...  ...at his Grandma's 90th birthday party.
margaret		 At Richard's parent's house.
margaret		 In his hometown.
richard		Sitka.
margaret		Why don't you tell him?
richard		Alaska.
margaret		 Yes.   Of course we're going to Alaska. That's where Richard is from. Gilbertson begins to walk around.   He's getting worked up.
richard		Assistant.
margaret		I'm sorry, Dante.   Did you not prepare for that? Margaret puts her arm around Richard and waits in silence.
margaret		There are no "T's" or "I's" in "Love" Mr. Gilbertson. Gilbertson leaves and shuts the door hard.   Margaret goes back to her desk like this is all in a days work. MARGARET  Hello?   Richard?   Richard! Richard says his first words since Gilbertson left.
richard		I quit. Richard leaves Margaret's office.   She still has her coffee cup outstretched in her hand.
margaret		Richard, come back here. Margaret tries not to make a scene. MARGARET  Come back to the office! Richard can't take it.   He gets up in Margaret's face.
richard		You shut up.   You just lost your "I get to tell Richard what to do" privileges.
margaret		Well, we need to talk.
richard		You want to talk with me?   Fine.   Grab your broom and let's go. Margaret is dumbstruck.   The receptionist is shocked.   The elevator arrives and Richard gets in.   Margaret follows. As the doors close, Richard shouts out to the receptionist. RICHARD  Watch my phones!
richard		Your plan is psychotic.
margaret		Well I'd rather poke my eyes out than play pretend girlfriend, but this is the big time.   Sometimes you need to sack up.
richard		Aren't Canadians supposed to be nice?
margaret		You wanna be an editor?   You need to make
richard		OK.   Fine.   Then if we "make this happen"? You're promoting me to editor.
margaret		I'm doing what?
richard		We go to Alaska and lie to my family?   I risk going to jail?   Well, you're making me editor for that.   I mean, did you think I'd do this out of the kindness of my heart?
margaret		You work for me!
richard		You know, during my employee orientation, the HR rep didn't mention anything about me marrying you.
margaret		Look, I came to this town alone and with nothing.   I've worked my ass off for fifteen years and this guy wants to ruin me because he wrote the shittiest book of all time?   No way.
richard		Nice story Little Orphan Annie, but that sounds like your problem.   Not mine. Margaret is stuck.   Richard really does have the upper hand.
margaret		Fine.   You take me to Alaska this weekend, and I'll make you editor.   Deal? Margaret puts out her hand to shake, Richard takes it. MARGARET  And I'm not sleeping on your parent's hide-a- bed, we're staying in a hotel.   Do they even have hotels in Alaska?
richard		No.   But they have huts.   Teepees really. And you have to poop in a bucket.   But otherwise, just like the Four Seasons.   But with bears.
richard		Um.   Shouldn't we talk about what we're going to say to my parents? Margaret doesn't look up, annoyed with the question.
margaret		Are you done with the press release?
richard		Almost.
margaret		So what do I need to know up there?   Bullet points.
richard		I told em we've been dating for six months. We've kept it a secret from everyone...  ...and that you're a naughty minx in the sack. Richard and Margaret make it to the attendant at the gate. Margaret is not amused by Richard's attempt at humor.
richard		Bringing her home to meet my folks.   She's
gate attendant		 I don't care, sir. Richard finds his boarding pass and hands it over.
richard		OK then.   You're a sweet lady.   Thanks. Richard hustles to the plane as they shut the doors.
margaret		I'm sorry, I hate it when people stare at what I'm reading.   It's just... I worked on that book.
handsome man		You wrote it?
margaret		Edited it.   It was one of my favorites.
handsome man		Well you did a good job.   It's great.
margaret		You don't see many guys with that book. You, uh, read a lot of love stories about Roman concubines?
handsome man		My ex-girlfriend gave it to me.   I travel a lot for work.   I'll read anything...
handsome man		 OK, you got me.   I'm a closet romantic.   But let's keep that between us. Margaret smiles and makes the "my lips are sealed" motion.   Just then, Richard lumbers onto the plane with the bags.
margaret		There you are.   Give me my lap top. Richard untangles the bags and gives Margaret her computer bag.
richard		 Hey, he's reading...
margaret		I know, Richard. Richard turns around and puts the bags in the overhead compartment.   The Handsome Man turns to Margaret.
handsome man		Did you two want to sit together?
margaret		Sit together with who? The Handsome man nods at Richard.
handsome man		Your boyfriend? Margaret points to Richard indignantly.
margaret		You mean him? The Handsome man nods.   Margaret tries to set the record straight. MARGARET  No.   No.   No.   He's my assistant.
handsome man		You're bringing your assistant all the way to Alaska? Richard smiles, happy that Margaret has to answer.
richard		Oh, you can tell him the truth.
margaret		Well, he's... indispensable.
richard		That's me. Richard turns to close the overhead compartment.
handsome man		You're awfully nice to fly him first class. Margaret nods her head and agrees.   It sucks to be Richard.
all		There he is!!!   Where's Margaret? Richard blanches white.   Margaret looks back with eyes that say "What the hell is going on?"
handsome man		 That's sweet. Richard goes over to the group.   Margaret keeps walking.
richard		What are you guys doing here?   What's with the sign?
debbie		So you're "just dating," huh?   I can't believe you didn't tell us!
richard		Didn't tell you what?
annie		We're not saying anything until you let us meet Margaret.   Now, where's our girl? Richard looks around.   Margaret keeps her head down and tries to avoid eye contact.
richard		Uh.   Margaret?   You need to come over here. Like now.   Honey. The Handsome Man sees Richard with the banner people, calling for Margaret to come over.   Margaret winces.
margaret		I have to go now.
handsome man		 What kind of sick shit is this? Margaret nods.   This would be a tough one to explain.
margaret		Have a great life. Margaret walks toward the group.   Richard puts out his hand and silently pleads for Margaret to hold it.   At the last second, she takes it.
richard		Everyone, this is Margaret.
grandma annie		It's nice to meet you.   Now, do you prefer being called Margaret, or the Dragon Lady? We've heard it both ways. Everyone laughs.
debbie		Annnie!
grandma annie		It's not like he hasn't told her that he used to call her the Dragon Lady.   They're getting married.
richard		 Now, ah, where did you hear that?   The whole "getting married" thing?
debbie		Oh, that man from the government.   Gilber- something.   Said he was checking up on you two.   Said it was technicality, because Margaret was from Canada.
richard		What, ah, did you tell him?
debbie		Well for one thing, that you were in a lot of trouble for not telling us that you two were getting married!
richard		No.   Really.   What did you say?
debbie		Just that you were coming up here this weekend.   That we hadn't seen you in a while, and that we'd heard about Margaret for years, but that we'd never met her. Debbie turns to Margaret and takes both of her hands. DEBBIE  The way that Richard talked about you?   I'll admit, I didn't see this coming.
margaret		Me neither. Debbie picks up some of the bags and starts walking toward the exit.   Everyone else follows her lead.
debbie		So why all the silly secrecy?
richard		It wasn't a secret.   We didn't tell anyone.
debbie		Well, is your family just anyone?
richard		No, I didn't mean...
debbie		I should be mad at you two.   But, but... I'm just so excited!
margaret		 Uh, is everyone coming to our hotel?
grandma annie		Oh, we cancelled your reservation.   You're part of the family now.     Family doesn't stay at a hotel.   Also, we've got another little surprise for you two.
margaret		Surprise?   Another surprise?
richard		She's not good with surprises.
margaret		I'm really not good with surprises.
debbie		Well you two...
grandma annie		...you're getting married this weekend!
debbie		When Gilber-something told us you were getting married...
debbie		...God rest their souls...
grandma annie		...or friends...
debbie		...we decided to give you a wedding.
grandma annie		Engagement party tonight...
debbie		...and the wedding tomorrow at midnight. Debbie and Annie wait to see what Margaret thinks.
margaret		Are you witches?
grandma annie		Just quaint.   During the solstice it's good luck.   It's an Alaskan thing.
debbie		We've planned everything. Margaret isn't sold, so Grandma Annie goes for the clincher.
grandma annie		I'm old, Margaret.   I don't have much time left.   Richard lives so far away, and I never see him.   Now I find out he's getting married, and I have a chance to see my one grandchild's wedding day.   It's a dream come true for me.   A dream come true.   Please let me see Richard get married before I die. Please. Long beat.   Richard doesn't know what Margaret is going to say. Margaret doesn't know what Margaret is going to say.   Finally, she goes to speak, but can only get out... two big thumbs up. The crowd cheers.
grandma annie		To tell you the truth, we had a lot of the plans made already for my birthday.   Just a few changes here and there, and we made this weekend a wedding. Margaret stares at Richard.
margaret		I'm a lucky woman. Margaret does her best to smile.
margaret		I'm not getting out of this car until you tell me where we're going.
richard		Come on, it'll be OK.   I promise. Richard points to a small island about a mile away.
margaret		Who are you people? Richard lets Margaret wonder.
geoffrey		So you must be Margaret.   We've heard a lot about you.   All of it bad. Margaret tentatively walks off the yacht in her none to practical sling backs. GEOFFREY  I mean, I almost shit myself when I heard he was marrying the devil woman.
margaret		I thought it was the dragon lady?
geoffrey		Either way.
richard		Hey dad. Richard shakes his father's hand.   It's a little stiff.
geoffrey		Welcome home.   Good to see ya.
richard		You too.
geoffrey		Been a while.
richard		Yeah.   You'd think you could make it to the airport to mark the occasion. Grandma Annie interrupts.
grandma annie		Help him with the bags Geoffrey.  Let's get you two settled. As Richard and Margaret move towards the house, Annie shoots Geoffrey a look that says "be nice".
debbie		We'll show you around later.
margaret		Uh huh.
debbie		Balzac!   Down!   No! Debbie pulls the dog off of Margaret and pushes him toward the kitchen.   Margaret tries to take it in stride and make small talk.
margaret		What a great name.   Balzac's "Lost Illusions" is one of my favorite novels.
debbie		Oh.   Well, this Balzac's got epididymitis. Debbie makes two big circles with her pointer fingers to illustrate how Balzac really got his name. Not understanding, Margaret looks over at Balzac as he walks away.   Off her shocked reaction, we understand right away that this puppy Husky is an anatomic marvel. DEBBIE  No one on the island wanted him when he was born.   We figured he deserved a home.
geoffrey		And don't let him outside, or the eagles will snatch him.
richard		C'mon dad...
geoffrey		I mean it.   They come out of that rehabilitation center mean.   And hungry.
richard		Don't listen to him, Margaret.
debbie		You'll be sleeping here.
debbie		Bathroom is there, all the towels are in the armoire by the bed.   Just let me know if you
margaret		Thank you.   Where's Richard's room?
debbie		Oh, we took down his "shrine" years ago. And don't worry, I'm under no illusion that you two haven't slept in the same bed before.   Richard can sleep here too.
margaret		Oh, let's not upset Grandma Annie.
debbie		It was her idea.   Anything to help get her a great grandchild. Richard shrugs his shoulders behind his mother.
margaret		Great.   You know, I've gotten used to his breathing at night.
debbie		I thought so dear. Debbie leaves and shuts the door.   Margaret reverts back to her old self.
margaret		I'm about 15 seconds from bitch.
richard		Calm down.
margaret		What is going on here?
richard		Hell if I know.
margaret		You had no idea they knew about us getting married?
richard		You think I'd bring you here if I did?
margaret		Well, we just gotta tell em.
richard		Tell em what?
margaret		Tell em the truth.   About us.
richard		Wrong answer.   No way.
margaret		What do you mean no way?   This is crazy.
richard		No, crazy was lying to the federal officer.
margaret		Well I don't like this.
richard		Well I'm not making my Gammy an accomplice to a Class C felony!   For one second could you not be so selfish?
margaret		Selfish?
richard		Yeah, you know, that thing you do where you only worry about yourself every second of every day?
margaret		How is it selfish to tell the truth?
richard		Look.   We're awful, awful people.   In the last forty eight hours, we've lied to... everyone.   We need to protect the people downstairs.   We can't ask these good, decent, not awful people to lie for us. Let's keep the darkside to ourselves. Margaret takes a second to make up her mind.
margaret		Fine.   But if we do this, you need to stop lying to me.
richard		What've I lied to you about?
margaret		Why did you tell me that you were poor?
richard		I never said that.
margaret		Well, you never told me you were rich.
richard		When does that come up?
margaret		I don't know, how about, "Hi, my name is Richard, I'm an Alaskan titan of industry."
richard		Well, maybe I didn't tell you because you would have fired me if you knew.
margaret		No I wouldn't.
richard		Come on!   You're always yammering on about your scrappy childhood, and how you fought for those soccer scholarships, and how the rich kids made fun of you in prep school for working in the kitchen.   You're totally anti- rich.
margaret		I'm not anti-rich.
richard		Oh yes you are!   And you know what makes it worse?   You have money!
margaret		I earned...
richard		...every penny I have.   Blah, blah, blah. You need new material.
margaret		Hey.   Watch it.   You're still my assistant.
richard		You were going to promote me anyway.
margaret		Sure of that?
richard		Nope.   Not at all. Margaret takes a look at herself in the mirror.
margaret		Well, come on.   If we're going to do this, we might as well put on a show.
margaret		I went to Union college in upstate New York. It's a small liberal arts school that no one has ever heard of. Richard comes to the group and hands Margaret a drink. MARGARET  Lime?
richard		Be right back. Richard leaves to fetch lime wedges.   Geoffrey elbows Debbie in the side, "What was that?"
