****Dialogues from script :Miami_Vice.txt****

first draft		9/22/04 WGAw
julianne		Let me rephrase that...
kimmy		But nothing ever could, ever did, give me a moment's pause about this marriage...
julianne		Do you get hysterical in small confined spa...
kimmy		... except one.
julianne		Oh, yeah?
kimmy		You.
kimmy		You'll always be there.  In his mind.  The perfect creature he loved for all those y...
julianne		Well, perfection can get wearing after whi...
kimmy		I'm not joking.  I had to face up to all my competitive drives, and believe me, I've got 'em.
julianne		No.
kimmy		And the answer was so simple.
julianne		I was gonna predict that.
kimmy		You win.
kimmy		You're enshrined in his heart and memory.  Unassailable. Which works out great.
julianne		I've missed a step.
kimmy		He has you on a pedestal.  And me in his arms.
julianne		Jesus, we're trapped!
kimmy		Ju...
julianne		No, this happened to me once, almost, it was excruciating!
julianne		There's a panel up there, you could boost me...
julianne		You know how little air is in these things? I've seen statistics! Once you're trapped between floors...
julianne		God! Then the door is jammed!
mandy		Mah Gawd, it's the bride, and the woman she'll nevah live up to!
sammy		Did she say th' wrong thang agin? It is so in character!
julianne		 I'm Julianne Potter, and...
sammy		... we'd be the vengeful sluts. We came in complementary colors.
mandy		Have you sized up the groomsmen, Jules?  As M. of H., you get first fuck.  Don't pick the short, hairy, rich one.
julianne		... unless he has a hump.
isabelle		I'm Isabelle Wallace, and my handsome new son scarcely did you justice, girl.
isabelle		Now, my husband says to scoot you over to the ballpark, so you can hang with Michael.  But first, you have to meet a lot of really old women.
isabelle		That is, if you've absorbed enough profanity.
julianne		Desperate measures! Do you hear me?  Digger, are you the...
julianne		I don't know, hit men, whoopee cushions, saltpeter, something! The girl is impossibly impregnable. Even I want her to get the guy!!
julianne		Tell him the what? The truth...??
julianne		That desperate.  May I never get.
julianne		Which of you gents ordered two beers?
michael		Wow!  Lemme give you a ha...
michael		Think of that.  And as well as I know you.
bodyguard		Sorry, ma'am, I'm on duty.
michael		Julianne Potter, this is Hank and Gerry from SI, and you know Daniel...
michael		Oh.  This is my father-in-law, Walter.
michael		How are you doing this? You're on drugs.
walter		If he gives you grief, I'll have him skillfully beaten, where the wounds won't show.
julianne		I guess getting him whacked would be politically out of the question.
walter		Under the circumstances.  Charmed to know you, Jules.
julianne		Nice meeting you, too, Walt.
michael		And, this guy, you know...
julianne		Papa Joe.
joe		You gonna be my boy's best man?
julianne		Best everything, Joe.  But I'm going to dance with you.
michael		Dance?  You don't dance!  You learn to dance??
julianne		Moves.  You've never seen.
michael		You're an impostor! What have you done with my best friend?
michael		And how was the hot dog?
michael		Cheap and unnecessary.  We were looking anyway.
julianne		I just admire your maturity, that's all.  I mean, there are people who would find that kind of perfection boring.  Day after day, year after year...
michael		... see, that's what I thought at first.  How can you like someone that perfect? No potential for long-range livability.
michael		Luckily.  The closer I watched, the more the fault came into focus.  Each imperfection its own adorable slice of vulnerability.
julianne		Such as.
michael		She's too genuine.
julianne		Hate that.
michael		How can you trust someone you can never mistrust?
julianne		What's next?
michael		No matter how many times I leave the toilet seat up, she forgets and puts it down.
julianne		Endearingly absent-minded.
michael		My very point.  Here's another one...
michael		Every day.  She makes the bed.
julianne		Quite the little eccentric.
michael		At first, I thought it was a gag, but she's always done it!
julianne		Is there a coup de grace in here, somewh...
michael		She admires.  Tommy Lasorda.
julianne		Waiter! Check, please!
michael		She finds him "personable."
julianne		Can that kind of defect be passed on genetically?
michael		Then again.  She has a few good traits.
julianne		Gimme like, eight and nine off the top ten list...
michael		First girl I ever knew.  Who lets me give her a bath.
michael		And when I hug her, even in public.  I don't have to let go right away.  She lets me hold her as long as I want.
michael		Nice kid, don't you think?
julianne		Looks like, from here.
julianne		How'd you find this pl...
kimmy		Lived here my whole life, never heard of it.  Until our first date.
kimmy		He finds all these spots, everywhere he goes, it's a mystical gift.
kimmy		It's not just clubs.  This guy always knows the best everything. The best guitar store, the best beef ribs, the best Horowitz record, was he always like the...
julianne		... always.  The best dim sum, the best camping stuff...
kimmy		Stop, we're embarrassing h...
julianne		... best valley in New Zealand, best... women's shoes...
michael		I tried those on.  When you weren't looking.
julianne		Where was that, Florence, huh?
michael		Firenze.
julianne		The Vespa? Me hanging on behind in the rain all night?
michael		Till the gas ran out.
kimmy		I love Florence.
julianne		Take her there.
julianne		I mean, now.  She's perky, she deserves a honeymoon.
julianne		I heard.  If San Antone sweeps Sacramento.  What is this shit? You gotta get off the road by September anyway, when does Fall Quarter start?
kimmy		Uh.  I'm not coming back.  For senior year.
julianne		Don't architects find a degree, sort of... an asset?
kimmy		Well, the school will be here. Architecture will still be around. Right now...
michael		I travel every week.  College ball, motor sports, training camps...
kimmy		The most important thing. Is being together.
kimmy		I'm just a baby.  I've got all... the time... in the world.
michael		Because I could come...
kimmy		To the twins' soiree?  So they can paw you and drool...?
julianne		Should I whistle down a cab?
michael		Hey, cabs are expensive.  I'm cheap, remember?
julianne		Sometimes.  About the dumbest things.
michael		The El's right down the street. Unless you're afraid of the neighborhood.
julianne		No.  I'm always safe with you.
julianne		Pretty amazing girl, you've got. Make that kind of sacrifice.
michael		What, leaving school...
julianne		... all of it.  She's leaving her family, her friends, everything she knows.  She's putting her career on hold, and she seems a pretty ambitious, driven, kind of pers...
julianne		All to follow you in this dumb job, where you travel 52 weeks a year to College Station, Texas, and such.  It's not a job for a grown man, Michael, Peter Pan never married.
julianne		I mean Walter owns the Sox, cable sports... most girls in her spot would be angling to get Daddy to offer you some juicy gig right here in t...
michael		She would never.  Never.  Even think of that.
julianne		I guess you're right.  That would be deceitful... manipulative... controlling... emascula...
michael		I got the point.
julianne		Still.  All's fair in love and w...
michael		That would be a girl.  I don't even know.
julianne		Dig, of course.  Of course, of course, of course, of course I have a plan.  Certainment!
julianne		How? I ask myself, what would Lucy Ricardo do in this situa...
julianne		Well, one worked, once.
julianne		Ricky wouldn't let her in the show.
julianne		I recall it differently, but we digress.
julianne		So in the version, you're Ethel, with better fashion instincts.
julianne		This puts you in charge of Plan B, the unprincipled and insanely dangerous back-up plan...
julianne		In case simple lying doesn't work.
julianne		Question.  What happens if you brush your teeth with shampoo?
julianne		HOLD ON.  I'M COMING IN FOR YOU!
julianne		You okay? This is one of those problem phones.
julianne		Right.  Your role.  You know guys from Sports Illustrated, yes? I mean, you can walk right in there...
julianne		You could get access to letterhead, for example.
julianne		It's an homage thing.
julianne		Awkward girls grow up on Audrey Hepburn movies.  You wouldn't understand.
kimmy		Anyway, I think you're wrong.
kimmy		What you were saying before.
kimmy		About Michael's job.
julianne		Oh, that.  I forgot I even said th...
kimmy		I just think you're wrong, is all.
julianne		Probably am.  Forget I brought it up.
kimmy		I mean, he loves his job.
julianne		Bad games, bad towns, bad pay, bad flights, bad hotels, real bad food. Homeless, rootless, lonely, maybe your copy gets into one issue out of four...
julianne		What's not to love?
kimmy		But he always says...
julianne		... whatever is manly and independent.
julianne		Why would he trade that for running, say, a big piece of the PR at a powerful, complex, challenging conglomerate like your dad's?
kimmy		That's just the sort of thing my father and I discussed.
julianne		I'm not stupid.  Say, how about this?
kimmy		For the twins? What in the world is th...
julianne		Gold nose hair clippers.
kimmy		So you don't think Michael's as happy with his job as...
kimmy		Gold dog collars? They don't have dogs.
julianne		Hello.
kimmy		You think he'd accept?
kimmy		Michael.  A job like that.
julianne		By any yardstick that involves sanity, it would be the greatest thing that ever happened to him. Present company excepted.
julianne		On the other hand, he's proud. Last thing a man wants to admit, is being trapped in a dispiriting dead-end job that can never support a family.
julianne		Throw a man a life preserver. He'll say, "Thanks, anyway, I'd rather drown."
kimmy		So... one almost has to...
julianne		Exactly.
kimmy		Exactly what?
julianne		What you said.  Make it appear that he's doing you the favor.
julianne		I couldn't really... do that. After, you know...
julianne		Oh, darling, my pitiful desires and ambitions are dirt beneath the manly boots of your priorities!
kimmy		The very words I've used.
julianne		We make Dad your co-conspirator. Michael does a favor for Walter.
julianne		Walter's reorganizing his public relations, needs a brilliant guy who's close to him, who he can completely trust.
julianne		So you beg.  Michael, please do this for Daddy, please, please, please, blah, blah, blah... it's only for six months...  it would mean so much to me to help him out...
kimmy		He'll see right through it.
julianne		Only.  If he wants to.
julianne		In six months, he'll be happy, settled, successful...
kimmy		He won't get mad, huh?
julianne		Bridesmaid gifts for two, well, assertive, outspoken, Tennessee debutantes.
julianne		Could you do this...
julianne		In 24 carat?
kimmy		You don't think he'll be mad.
julianne		Your call.  You can live a lie. In a fabulous selection of Red Roof Inns.  Or you can make one desperate stab at hap...
kimmy		I just don't want to freak him out.
julianne		How mad could he get?
julianne		Great.  I've got this girlfriend at the Justice Department?  With all this time on her hands?
guy		Know what you're looking for, little lady?
julianne		Yeah.  Do you?
guy		I asked first.
julianne		I like 'em long and hard.  Kind of... big around.
julianne		Smell is important, I'm a believer in that.
julianne		But you never know what you've got.  Till you run your tongue over it.
guy		I meant.  What you're looking for in a man.
julianne		Actually, I'm partial to married gentlemen.
guy		Why is that?
julianne		It's so much time.  When I phone the wives.
walter		 Your idea?
walter		You're a woman of insight.
walter		My wife and I love this marriage, and deplore its circumstances.
walter		As you guessed, my daughter is unhappy about giving up her life. And, in my opinion, cowardly in avoiding the necessary confrontation.
walter		Mike has a world of ability. I'd do anything to have him in my company.
walter		Except ask him.
walter		He'd resent it.  And me.  And, most important, Kim.
walter		He's a great kid, but he's still a kid.  Instead of recognizing that his resistance comes from insecurity, he'd turn it to anger. To protect himself...
walter		... from realizing that he's ignoring my daughter's needs, despite how very much he loves her.
walter		They both have some growing up to do.  But they're good people, they're starting with love. They've got time.
julianne		 I think you're making a mistake, sir.
walter		And that interests me.  How someone who knows him so well could be so wrong.
julianne		See, I love him, too, as much as anyone here.  And for a whole lot longer.
julianne		I think I know best what would make him happy.
julianne		Okay, okay, okay, okay, I hear you, all right?
julianne		It is stupid, dishonest, desperate beyond belief, and can't possibly ever work.  It can only end in humiliation and disgrace.  Now can I say two words?
julianne		Do it! Do it! Do it! Do it! Do it! Do it!
julianne		All right, twelve words.
teenager		 You do it, girl.
michael		Wow.  What was going on in there?
julianne		Some crazy person.
michael		You're not eating.
julianne		I never eat when I'm serene.
michael		You never eat when you're despondent.
julianne		I switched that around when you weren't looking.
michael		Last zoo we were in was... Beijing, yeah?  Sure.  The rhinos were fucking.
julianne		Boy, those were the days.
michael		 Yeah, they were.
julianne		That was nice.  The way you said that.
michael		It's weird being the groom.  All these things Kimmy has to take care of...
julianne		You need a baby-sitter.  That's what I'm here for.
julianne		Say it.
michael		Now, there's my girl.
julianne		See, I can only do it with beer.
michael		 See, better already.
michael		We'll go back to the bathroom, you'll put this on...
julianne		Bet you're glad I'm here to take care of you.
michael		Bet I am.
michael		Hope that crazy person's not still there.
julianne		 Is anybody watching?
walter		I hope so.  This is all too mysterious to waste on just me.
julianne		I picked up Michael's messages for him, at our hotel.  I stole one...
walter		Julianne, reading my son-in-law's mail, is not something...
julianne		Sir, this is important! Haven't you ever in your life cut one corner, to make something important turn out right?
walter		Matter of fact, that's how I got married.
julianne		It's a fax from Sports Illustrated from Ben Isaacson, Michael's boss.
walter		 I know Ben.
julianne		"Mike.  We still have no answer to our E-mail of Wednesday.  Which option do you select? I don't mean to rush you, but Personnel needs to tie up the loose ends."
julianne		I think he's been fired.
walter		It doesn't say th...
julianne		He's said some things over the past few weeks.  Look, this is why I came up with the idea of you offering him a job.
julianne		And why I couldn't say anything before in front of Kim.
julianne		I just think of how... desperate he must be feeling.  He's marrying a rich man's daughter, and he's about to become destitute.  You know the kind of job market he'll be facing?
walter		And you think he's kept this to himself.
julianne		He's too proud to beg for help. And if you wait till this comes out, your offer will be like charity. Completely humiliating.
julianne		If you do it now, it's like he's helping you.  He can accept with dignity.
walter		This fax could mean... any number of things...
walter		 Maybe.  I should call Ben.
julianne		Then it could all come out, sooner or later.  Nobody should be in on this.  Just you and me.  Or, more correctly, I.
julianne		What if, what if I could find that E-mail?
julianne		I never noticed.  Kimmy has your eyes.
julianne		Hello, again.
julianne		You still haven't straightened that tie.
julianne		You know, my friend, the one whose message I picked up...  ?
julianne		Well, he's still with the wedding party.  And he asked me to get something he needs real badly from his room...  ?
julianne		He's in 1526.  If you could just let me ha...
boy		See that woman?
boy		She said, if I ever pull a stunt like that again...
julianne		You'll lose your job...
boy		... tear my pecker off.  Is what she said.
julianne		Help me!
julianne		I locked myself out, 1526, please hurry!!
julianne		Uno-cinco-does-ses.
julianne		 You wouldn't change your password, would you?  You never change anything.
julianne		 Shoeless... Joe.
julianne		 Mike.  I hate this downsizing shit as much as you do.  But I know this can't become as a complete surprise...
walter		 Mike.  I hate this downsizing...
walter		 And Kimmy doesn't know.
walter		 I'll tell her I've reconsidered.
walter		You're a smart girl, Jules.
walter		Wish my daughter.  Bad your guts.
michael		Sure you're okay?
michael		It's not just a gag, huh?
kimmy		No, it's, uh... a real big favor.
michael		I wish you'd just... come out with it.  I mean why are we waiting for Jules?
kimmy		Moral support.
kimmy		What's good of having a big sister, if she...
michael		 Wow and wow.  You have a date, after this?
julianne		Never can tell.
michael		You make me think of that song, we used to...
michael		 Someday.  When I'm awfully low...
michael		Okay, kid.  You're on.
kimmy		It's really my father.  Who needs the favor.
kimmy		He's... he's reorganizing some of the divisions of the company...
michael		 He never mentioned that.  Neither did y...
kimmy		 ... and public relations is a big problem area for him.
kimmy		He needs someone incredible, someone really close, who he can trust...
michael		Like family, huh?
kimmy		It would only be, maybe, six months? Or three or four? It would mean so much to him...
michael		To him.
kimmy		And to m...
michael		 ... and you knew about this.
julianne		I think you ought to listen to her, Michael.  This is her life, too.
michael		Well, which is it?
michael		You gonna tell me Daddy thought this one up? All of a sudden, I'm the only jerk alive who can help him deal with the press?
michael		Why don't you start being honest for one fucking sec...
julianne		Michael!!
kimmy		 I am honest!
kimmy		All of a sudden, I'm supposed to drop out of school, forget my family, forget my career, forget all the plans I had for my life...
michael		Well, forgive me for screwing up your plans!
michael		I'm sure glad I'm hearing all this now, before it's too late!
kimmy		What is that sup...
michael		And what am I supposed to do with my life, huh? I am 28 years old! I work in a low-paying, low-status, zero-respect job which, unfortunately, I happen to fucking love.  How inconvenient.
michael		No problem.  A little bullshit about Daddy's "needs," and presto, I'm a lap dog in high society.
julianne		 Michael, it sounds like a wonderful opportun...
michael		 Does it, really? How come you never took some sell-out establishment job? You had plenty of chances!
michael		I'll tell you why.  Because that isn't you.  And it isn't me, either!  We're the same person!
michael		What a sweet little picture.  Mommy and Daddy aren't losing a daughter, they're gaining a eunuch!
kimmy		Well, if that's the way you f...
michael		Damn straight, it's how I feel! What's their wedding gift, a little gold collar that says "Mikey-poo"? Or do I have to change my name to "Binky"?
michael		Great!  Tears!  The big equalizer. You wait till two days before the wedding to drop this on me, and I'm just supposed to roll over and drool!
michael		Fine.  I'm an insensitive, chauvinist asshole, and you're well rid of m...
kimmy		MICHAEL!!
kimmy		Michael, you are so...
kimmy		... so right.  And I am so very wrong.
kimmy		We can't go down two roads.  And still be together.
julianne		Uh, Kimmy...?
kimmy		 We settled this.  And I reneged. That wasn't fair.
kimmy		You have to forgive me, and forget this ever happened...
kimmy		... or I'll die.
julianne		... see that's what I never counted on! I never heard of a brilliant moron before!
julianne		I mean, the little twerp GROVELED!!
julianne		SHE IS SO WRONG FOR HIM!
julianne		Michael and I are the same person! Self-absorbed and imperfect and vaguely loveable! We deserve each other!
julianne		I'm out of hope, I'm out of sneaky ideas, I'm at the end of my rapidly-fraying hysterical little rope!  Help m...
digger		You stole my line.
julianne		Oh, shit!
digger		Chill.  We don't want your face coming off with it.
julianne		Chill?  Since when do you say ch...
digger		When I'm talking to children.
julianne		You flew all the way h...
digger		I noticed.  I'm on the noon back. We have this thing with George's family in the Hamptons.
julianne		 You're butting in.
julianne		 I really resent this.
julianne		What I mean, when I say annoyingly perfect, is that there is nothing annoying about her perfection. It is vulnerable and endearing. And that is annoying as shit.
digger		You like her.
julianne		If I didn't have to hate her, I'd adore her.
julianne		Last night, she was crying, these big, real tears, when she thought she'd lost him.  It was like there was a knife in her heart...
julianne		... and I put it there.  I hated myself, I grieved for her, I couldn't enjoy one second of it! And then, when it didn't work...
julianne		I was devastated.
digger		 Go figure you.
julianne		Because I realized.  When I see him say "I do," that knife will be in my heart.  And it will be there every...
julianne		... every time I think of him, forever, which could be a lot.
julianne		You watch a guy caress his girlfriend's butt.  You see an Old Spice commercial.  Sentimental moments are everywhere, when you're in the right frame of mind.
julianne		There are 18,250 nights in the next 50 years...
digger		You've been working on this, huh?
julianne		... and having "done the right thing" will only really be comforting, oh, maybe, five, six times.
julianne		This is my whole life's happiness. I have to be ruthless.
digger		 And you believe that.
julianne		 Sure.
julianne		He was in love with me every day for nine years.  I can make him happier than she can.
digger		It's not his happiness you're feeling guilty about...
julianne		 I don't know the meaning of the word guilt!
digger		Impressive.
julianne		I am breaking her heart in the short run, but doing her a gigantic favor! She would be miserable tagging along after this insensitive doofus!
digger		The man you love.
julianne		Beyond reason.  The feminist warrior will rise up in this kid, and she'll be standing over his sleeping form with a butcher knife, selecting from a short list of body parts!
digger		Someday she'll thank you.
julianne		Let's not get carried away.
julianne		I'd settle for.  Someday, I'll forgive myself.
julianne		For doing this terrible thing.
julianne		Which, by the way, I can't figure out how to do.
digger		Jesus.  You're supposed to take your make-up off before you apply the m...
julianne		I KNOW THAT!  I WAS DISTRACTED BY GRIEF!
julianne		Guess what I brushed my teeth with last night?
digger		Zit cream?
julianne		I wish.
digger		Neosporin?
julianne		Try less appropriate.
digger		Ben Gay.
julianne		That was Thursday.
digger		Elmer's Glue?
julianne		DON'T BE RIDICULOUS, WE'RE HAVING A SERIOUS CONVERSATION!
digger		I give.
julianne		I can't even say it.
julianne		A hint.  The first word is "Preparation." Then comes a letter of the alphabet, perilously close to G.
digger		Considering the circumstances, I'm not wholly against suicide...
digger		Just not by electrocution in front of me!
digger		I've got this noon flight.
julianne		How do you know you can touch that plug? Are you a licensed contractor?
digger		What do you suggest?
julianne		Maybe they just seal off this room.  They have others.
digger		I didn't mean about that.
julianne		If I hear the words "tell the truth," or any paraphrase thereof, I dive into the sink and pull you with me.
digger		Let's go meet Michael.  I'll wait downstairs.
digger		I suppose it's too late to start over.
julianne		It's too late to start over.
michael		You guys are heartless, my bride picked this out.
julianne		Like I said, dazzling.
digger		Is she going to dress you every day?
michael		Yeah, it's in the contract.
digger		 Well, then, I'll take it up with her.
digger		The cut here, here... this line...
digger		... trouser width, this is all classic.  Which means safe, something I'd wear.
michael		I should look different.
digger		You should look like you dressed yourself.
michael		And I'm supposed to respect your fashion tips, because you're what, a New Yorker?
digger		 Something like that.
michael		 Long trip.  Pretty nice of you to come.
digger		Well, I'm close to her.  I wanted to meet the one that got away.
digger		What?
michael		I'm just glad someone finally put this thing in its proper perspective.
michael		 Stay, huh?
digger		I honestly wish I could...
michael		I'll call George's parents. Tell them I need a best man who actually looks after me.
julianne		 They'd say that's my job.
julianne		I'll take it home from here.
digger		Two words.
julianne		Major.  Dish.
digger		Manicure...
digger		Fly.
michael		 You don't miss much.
digger		Part of being a New Yorker.
julianne		Bye, handsome.
julianne		You're going to say it, aren't you?
digger		Tell him you love him.  With all your heart.
julianne		I'm taking my next book to Viking.
digger		Tell him you've loved him for nine years, but you were afraid to realize it.
julianne		I'm moving this book to Viking.
digger		Tell him you're afraid of love. Afraid of needing.
julianne		Needing.
digger		To belong to someone.
digger		We all do, beautiful.  I'm sorry about that.
digger		Tell him you know this is the worst, dumbest, cruelest moment to do this to him.  But there it is, and he has to choose.
julianne		And what will he do?
digger		He'll choose Kim.  You'll stand by her at her wedding.  You'll kiss him good-bye.  And you'll go home.
digger		This is what you've come to do. Now do it.
julianne		Getting your bed made.  Every day.
julianne		You miss her, huh?
michael		No.  I've got you.
michael		Don't you throw up on boat?
julianne		If you like.
michael		I've been thinking a lot the last couple days.  About us, actually.
julianne		 Have you.
julianne		Well.  There's a lot of memories to choose from...
michael		It's more than that.
michael		I mean, it's embarrassing to say it this way, but...
michael		You've sort of been... y'know, the woman in my life.
julianne		 You've been the man in mine.
michael		And I was thinking this could be our last time.  Alone.  Together. You know?
julianne		Except for the hot affairs we'll have twice a year.
michael		Except for that.
michael		I can hardly wait for your wedding.
julianne		Me either.
michael		Boy, I never thought I'd hear you say that.  Can I come?
julianne		I couldn't have it without you.
michael		It's normal to have... second thoughts, huh? To be scared.
julianne		I wouldn't know.  I never had that many first thoughts.
michael		I mean, you commit to a wedding. And then it seems like... this... momentum, you know?  You forget you... chose it.
michael		You and I.  I mean, in all our relationships with other people... We didn't use the word "love" a lot, did we?
michael		Kimmy says.  When you love someone. You say it, you say it out loud. Right now.  Or the moment...
michael		... passes you by, yeah.  She's a smart girl.
michael		We don't have a song.
michael		Kimmy and I.  We don't have a song. Is that a bad sign?
michael		 Someday, when I'm awfully low... And the world is cold...
michael		 I will feel a glow just Thinking of you... And the way you look.  Tonight.
michael		Dance card filled?
julianne		I'll check.  I have it on powerbook, these days.
michael		 With each word, your tenderness grows, Tearing my fears apart...
michael		 And that laugh That wrinkles your nose, Touches my foolish heart.
michael		Where did we first hear th...
julianne		 The night we met.
julianne		The night we fell in love.
michael		So we heard it... like, right that... that first...
julianne		We danced to it.  Just like this.
michael		I won't lose you, will I?
julianne		No.  Because I won't let you.
walter		I thought Michael was picking me up.
julianne		I told him, get the important stuff, Kim's ring.  I'll collect the inconsequentials.
walter		Kim said, when he turned down the job, there was no friction.
julianne		Friction.  No.
walter		I haven't caused... a problem, have I?
julianne		Nobody has.  So far.
walter		Well, you're a little early...
julianne		I need to make some calls. Could I use... your office?
julianne		 You can do this.
julianne		 E-mail address.  To Ben Isaacson, Senior Editor, Sports Illustrated, from... Walter Wallace.
julianne		See, you can do it.  It's easy.
julianne		You do it fast, it's over.  Like it never happened.
julianne		Ben.  I need a favor.
julianne		My daughter's every happiness. And my wife's.  And, least of all, my own, are in your hands.
julianne		Knowing you value our friendship, and the... cooperative relationship between our companies... I am hopeful of your help.
julianne		I have offered Mike O'Neal, my new son-in-law, a great opportunity in my company.  This would also enable my daughter to settle in Chicago, near us, and pursue her dreams and plans.
julianne		To his own detriment, as well as ours, Michael will not accept our offer.  While he works for you.
julianne		My daughter joins me in this plea for your cooperation and discretion.
julianne		With gratitude.  For your understanding.  Walter.
julianne		Are you crazy?  Get him fired?
julianne		Just till tonight when I bring him back.  To look for...
walter		 Off to rehearsal.  Send out this, and this, not this, this, and... that's it.
walter		I'm holding four or five E-mails I wrote over lunch...
walter		Send 'em out.
mandy		Reverend Dyer, this is Kimberly's somewhat butch maid of honor...
sammy		... Mr. Julianne Potter, prominent New York drag queen.
minister		Billy Dyer, Julianne.  And I love the suit.
michael		 Takes me back.
julianne		Well.
julianne		You sang the song.  Least I could do was wear the outfit.
michael		Except now you're better- looking.
michael		I got the ring.
julianne		No accents today.
michael		Yeah, Kim told me they were giving you their Dueling Scarlet's act.  Actually, they're sophomores at Juilliard.
michael		Will she like it?
julianne		 Yes.
joe		Like to welcome ever'body to our little rehearsal supper...
joe		Okay, everyone stand up!
joe		To the bride, uh, goes the honor... of cracking the first crab!
kimmy		But first, a toast!
julianne		 I'm right-handed.
kimmy		To our host, my cuddly Papa Joe.
kimmy		Who taught me to play "Blue Hawaii." On my nose.
mandy		I know why you're scared of our party.  It's too hip.
sammy		Kimberly wanted to tickle the grandmas, so we figured, give 'em a cheap thrill.  Walter supplied the decorative touches...
sammy		 Nose tackle from the Bears... power forward from the Bulls... defenseman from the Black Hawks... my personal favorite, the designated hitter...
mandy		... I'm partial to the tight end.
sammy		This is USDA Prime, largely available, beef.  With no notice- able competition, present company excepted...
sammy		And yet here you are.  All celibate and reclusive.
mandy		With those big, dark, haunted eyes. As if you were harborin' some... unspeakably... guilty... secret.
julianne		Well, I'm worried about something.
julianne		Oh.  I left this really important file in Walter's office.  I have to send my editor some...
julianne		... figures.  On territorial sales. To close my book deal.
julianne		So Kim gave me the key.  And Michael's on his way, to drive me down to Wal...
sammy		Oh.  We thought it was the ring.
mandy		The one you better get the fuck off your third finger left hand.
julianne		Well.  See.  That was a... reflex to see if it would...
mandy		 ... look good on Kimberly.
julianne		Right.  And then it didn't want to come off.  Exactly.
sammy		Maybe it's happy there.
mandy		Oh the way out of the crab house? We asked Michael if we could see the ring?
sammy		He said you told him.  It'd be safer with you.
mandy		An so it is.
mandy		Shut up, sugar, he's on his way. Let's get to work.
eight people		TWIST IT!  TWIST IT!
janitor		It's mental, lady, you ain't trying!
sammy		There is nothing so tight, this can't help it...
mandy		I saw this on Hard Copy.  People cut off body parts and the hospital sew 'em back o...
julianne		 I saw the show.
mandy		... well, maybe it works on fingers, too.
flower girl		Mr.  Michael's here.
mandy		Don't worry, baby.  You could pick your nose with that finger and Michael would never notice. He's a man.
julianne		I can't believe this!
michael		It's no big deal, she just gave you the wrong keys that's s...
julianne		ISN'T THERE A GUARD?  A JANITOR? A FUCKING CLEANING WOMAN? I'LL TAKE A BURGLAR!  SOMEBODY'S GOTTA BE IN TH...
julianne		WHERE'S A BRICK?  FIND ME A GODDAMN BRICK!!
michael		What is the big deal about getting this file tonight?
julianne		I promised Digger I'd E-mail him those figures.
julianne		They are very important figures.
julianne		I'm up against a deadline.
michael		Me, too.  I'm getting married tomorrow.
julianne		That's my point!!
julianne		I mean, tomorrow... we'll all be busy with more important things. So...
julianne		... tonight's my last chance.
michael		I forgot how cute you look.  When you get impossible.
julianne		It's just... up there... right in front of Walter's... y'know, computer. If memory serves.
julianne		We could use... his computer, to... just E-mail those suckers right ou...
michael		Tomorrow is Sunday.  Nobody's doing business.  Crack of dawn, Monday, Walter'll take you up there...
michael		 Give it up, kid.
michael		You can't win 'em all.
michael		 Listen up, huh? Even if you blow this deal, how big could it be?
julianne		 You're right.  Easy come, easy go.
michael		 Jules?
michael		This thing means that much to y...
julianne		It means a lot.
michael		I'll call the house, Walter's probably not even asleep...
michael		I'll drive you out there, we'll get the key, we'll go back to the office...
michael		Come on, we'll call from your room.
michael		If I fall asleep on the altar tomorrow...
michael		... you better be there to... funny, these are all from Ben.
michael		The fax is from Ben, too.  Man, it's my wedding, and my boss can't leave me alone...
julianne		 ... maybe it's congratulations.
julianne		 Michael? What ha...
michael		 Mike.  I can't believe I'm doing this to you on the night before your wedding.  But I think you need and deserve to know...
michael		... what you're marrying into.
julianne		 I received the following E-mail this afternoon... "Ben, I need a favor.  My daughter's every happiness...  "
julianne		 "Mike, the funny thing is, he's offering you a gig you'd be stupid to turn down..."
julianne		 "Maybe you should take the job. And dump the girl."
michael		Jules.  Could you give me a minute?
michael		Please?
bellman		Miss, are you locked out, or something?
julianne		No, I just stepped out, because... it's a non-smoking room.
bellman		 Well, it's non-smoking floor, too.  Maybe you could go to the...
julianne		 Why don't you have me arrested?
julianne		I mean that.  Arrested, convicted, put in solitary.
julianne		See, I'm a dangerous, criminal person.  I do bad things to honest people.  This, see, this smoking?  Tip of the iceberg.
julianne		Make a citizen's arrest, I won't struggle.  It'll be like getting Al Capone on tax evasion.
bellman		Can I... Can I help you, miss?
julianne		Do you smoke, Richard?
bellman		Yes, ma'am, I do, but it's...
julianne		... a non-smoking floor, yeah. Well, you know what?
bellman		My grandmother always said, "This, too, shall pass."
julianne		Thanks, Richard.  If you weren't on duty, I'd buy you a drink.
julianne		What happened?
michael		 It's over.
michael		I want you to quit this shit, it'll kill you.
michael		She denied it.  Said I was crazy and paranoid.
julianne		A bad combination.
michael		There's this big brunch tomorrow morning?  At her place.
michael		She said "How can I call everything off, what do I tell everybody?"
julianne		Michael...
michael		No, it's for the best, it really is.  We were so wrong for each other.
julianne		Maybe tomorrow, you'll feel dif...
michael		The job thing would have broken us up, eventually, anyway.  She couldn't have lived with it.  I know that now.
michael		And she's right, I'm crazy to fall for someone.  I hardly knew.
michael		Hey.  You still got that ring?
julianne		I tried it on.  But it won't come off.
julianne		It's mental, you know.
julianne		Should we take a walk?  Or maybe some food sent up, or something...
