****Dialogues from script :10_Things_I_Hate_About_You.txt****

rider		Hey -- sorry.
kaffee		She was pointing at a doorknob.
sam		That's right. Pointing, as if to say, "Pa, look, a doorknob".
kaffee		Jack Ross came to see me today. He offered me twelve years.
sam		That's what you wanted.
kaffee		I know, and I'll... I guess, I mean --  I'll take it.
sam		So?
kaffee		It took albout 45 seconds. He barely put up a fight.
sam		 Danny, take the twelve years, it's a gift.
kaffee		You don't believe their story, do you? You think they ought to go to jail for the rest of their lives.
sam		I believe every word they said. And I think they ought to go to jail for the rest of their lives.
kaffee		I'll see you tomorrow.
sam		Remember to wear your whites, it's hot down there.
kaffee		I don't like the whites.
sam		Nobody likes the whites, but we're going to Cuba in August. You got Dramamine?
kaffee		Dramamine keeps you cool?
sam		Dramamine keeps you from throwing up, you get sick when you fly.
kaffee		I get sick when I fly because I'm afraid of crashing into a large mountain, I don't think Dramamine'll help.
sam		I've got some oregano, I hear that works pretty good.
kaffee		Yeah, right.
kaffee		 You know, Ross said the strangest thing to me right before I left. He said the platoon commander Lieutenant Jonathan Kendrick had a meeting with the men and specifically told them not to touch Santiago.
sam		So?
kaffee		I never mentioned Kendrick. I don't even know who he is.  I'll see you tomorrow.
howard		Lieutenants Kaffee and Weinberg?
kaffee		 Yeah.
jo		Commander Galloway.
howard		I'm Corporal Howard, ma'am, I'm to escort you to the Windward side of the base.
jo		Thank you.
howard		I've got some camouflage jackets in the back of the jeep, sirs, I'll have to ask you both to put them on.
kaffee		Camouflage jackets?
howard		Regulations, sir. We'll be riding pretty close to the fenceline. The Cubans see an officer wearing white, they think it's someone they might wanna take a shot at.
kaffee		Good call, Sam.
howard		 We'll just hop on the ferry and be over there in no time.
kaffee		 Whoa! Hold it! We gotta take a boat?!
howard		Yes sir, to get to the other side of the bay.
kaffee		Nobody said anything about a boat.
howard		 Is there a problem, sir?
kaffee		 No. No problem. I'm just not that crazy about boats, that's all.
jo		 Jesus Christ, Kaffee, you're in the Navy for cryin' out loud!
kaffee		 Nobody likes her very much.
howard		 Yes sir.
jessep		Nathan Jessep, come on in and siddown.
kaffee		Thank you. I'm Daniel Kaffee, I'm the attorney for Dawson and Downey. This is Joanne Galloway, she's observing and evaluating --
jo		 Colonel.
jessep		Pleased to meet you, Commander.
kaffee		Sam Weinberg. He has no responsibility here whatsoever.
jessep		I've asked Captain Markinson and Lt. Kendrick to join us.
markinson		Lt. Kaffee, I had the pleasure of seeing your father once. I was a teenager and he spoke at my high school.
jessep		Lionel Kaffee?
kaffee		Yes sir.
jessep		Well what do you know. Son, this man's dad once made a lot of enemies down in your neck of the woods. Jefferson vs. Madison County School District. The folks down there said a little black girl couldn't go to an all white school, Lionel Kaffee said we'll just see about that. How the hell is your dad?
kaffee		He passed away seven years ago, colonel.
jessep		 Well... don't I feel like the fuckin, asshole.
kaffee		Not at all, sir.
jessep		Well, what can we do for you, Danny.
kaffee		Not much at all, sir, I'm afraid. This is really a formality more than anything else. The JAG Corps insists that I interview all the relevant witnesses.
jo		The JAG Corps can be demanding that way.
jessep		Jonanthan'll take you out and show you what you wanna see, then we can all hook up for lunch, how does that sound?
kaffee		Fine, sir.
kaffee		I understand you had a meeting with your men that afternoon.
kendrick		Yes.
kaffee		What'd you guys talk about?
kendrick		I told the men that there was an informer among us. And that despite any desire they might have to seek retribution, Private Santiago was not to be harmed in any way.
kaffee		What time was that meeting?
kendrick		Sixteen-hundred.
sam		 Four o'clock.
kaffee		Sam, somebody should see about getting this stuff to his parents. We don't need it anymore.
kendrick		Actually, the uniforms belong to the marine corps.
kaffee		Lt. Kendrick -- can I call you Jon?
kendrick		No, you may not.
kaffee		 Have I done something to offend you?
kendrick		No, I like all you Navy boys. Every time we've gotta go someplace and fight, you fellas always give us a ride.
jo		Lt. Kendrick, do you think Santiago was murdered?
kendrick		Commander, I believe in God, and in his son Jesus Christ, and because I do, I can say this: Private Santiago is dead and that's a tragedy. But he's dead because he had no code. He's dead because he had no honor. And God was watching.
sam		How do you feel about that theory?
kaffee		 Sounds good. Let's move on.
jo		You planning on doing any investigating or are you just gonna take the guided tour?
kaffee		 I'm pacing myself.
jessep		...And they spent the next three hours running around, looking for Americans to surrender to.
jessep		 That was delicious, men, thank you.
steward		Our pleasure, sir.
kaffee		Colonel just need to ask you a couple of questions about August 6th.
jessep		Shoot.
kaffee		On the morning of the sixth, you were contacted by an NIS angent who said that Santiago had tipped him off to an illegal fenceline shooting.
jessep		Yes.
kaffee		Santiago was gonna reveal the person's name in exchange for a transfer. An I getting this right?
jessep		Yes.
kaffee		If you feel there are any details that I'm missing, you should free to speak up.
jessep		Thank you.
kaffee		Now it was at this point that you called Captain Markinson and Lt. Kendrick into your office?
jessep		Yes.
kaffee		And what happened then?
jessep		We agreed that for his own safety, Santiago should be transferred off the base.
kaffee		Santiago was set to be transferred?
jessep		On the first available flight to the states. Six the next morning. Three hours too late as it turned out.
kaffee		Yeah.
kaffee		 Alright, that's all I have. Thanks very much for your time.
kendrick		The corporal's got the jeep outside, he'll take you back to the airstrip.
kaffee		 Thank you.
jo		Wait a minute, I've got some questions.
kaffee		No you don't.
jo		Yes I do.
kaffee		No you don't.
jo		Colonel, on the morning that Santiago died, did you meet with Doctor Stone between three and five?
kaffee		Jo --
jessep		Of course I met with the doctor. One of my men was dead.
kaffee		 See? The man was dead. Let's go.
jo		 I was wondering if you've ever heard the term Code Red.
kaffee		Jo --
jessep		I've heard the term, yes.
jo		Colonel, this past February, you received a cautionary memo from the Naval Investigative Service, warning that the practice of enlisted men disciplining their own wasn't to be condoned by officers.
jessep		I submit to you that whoever wrote that memo has never served on the working end of a Soviet-made Cuban Ml-Al6 Assault Rifle. However, the directive having come from the NIS, I gave it its due attention. What's your point, Jo?
kaffee		She has no point. She often has no point. It's part of her charm. We're outta here. Thank you.
jo		My point is that I think code reds still go on down here. Do Code Reds still happen on this base, colonel?
kaffee		Jo, the colonel doesn't need to answer that.
jo		Yes he does.
kaffee		No, he really doesn't.
jo		Yeah, he really does. Colonel?
jessep		You know it just hit me. She outranks you, Danny.
kaffee		Yes sir.
jessep		I want to tell you something Danny and listen up 'cause I mean this: You're the luckiest man in the world. There is, believe me gentlemen, nothing sexier on earth than a woman you have to salute in the morning. Promote 'em all I say.
jo		Colonel, the practice of code Reds is still condoned by officers on this base, isn't it?
jessep		You see my problem is, of course, that I'm a Colonel. I'll just have to keep taking cold showers 'til they elect some gal President.
jo		I need an answer to my question, sir.
jessep		Take caution in your tone, Commander. I'm a fair guy, but this fuckin' heat's making me absolutely crazy. You want to know about code reds? On the record I tell you that I discourage the practice in accordance with the NIS directive. Off the record I tell you that it's an invaluable part of close infantry training, and if it happens to go on without my knowledge, so be it. I run my base how I run my base. You want to investigate me, roll the dice and take your chances. I eat breakfast 80 yards away from 4000 Cubans who are trained to kill me. So don't for one second think you're gonna come down here, flash a badge, and make me nervous.
kaffee		Let's go. Colonel, I'll just need a copy of Santiago's transfer order.
jessep		What's that?
kaffee		Santiago's transfer order. You guys have paper work on that kind of thing, I just need it for the file.
jessep		For the file.
kaffee		Yeah.
jessep		 Of course you can have a copy of the transfer order. For the file. I'm here to help anyway I can.
kaffee		Thank you.
jessep		You believe that, don't you? Danny? That I'm here to help anyway I can?
kaffee		Of course.
jessep		The corporal'll run you by Ordinance on your way out to the airstrip. You can have all the transfer orders you want.
kaffee		 Let's go.
jessep		But you have to ask me nicely.
kaffee		I beg your pardon?
jessep		You have to ask me nicely. You see, Danny, I can deal with the bullets and the bombs and the blood. I can deal with the heat and the stress and the fear. I don't want money and I don't want medals. What I want is for you to stand there in that faggoty white uniform, and with your Harvard mouth, extend me some fuckin' courtesy. You gotta ask me nicely.
kaffee		Colonel Jessep... if it's not too much trouble, I'd like a copy of the transfer order. Sir.
jessep		No problem.
jessep		 I hate casualties, Matthew. There are casualties even in victory. A marine smothers a grenade and saves his platoon, that marine's a hero. The foundation of the unit, the fabric of this base, the spirit of the Corps, they are things worth fighting for.
jessep		 Dawson and Downey, they don't know it, but they're smothering a grenade.
kaffee		Who is it?
kaffee		I've really missed you, Jo. I was just saying to myself, "It's been almost three hours since I last saw -- "
jo		Markinson resigned his commission.
kaffee		 When?
jo		This afternoon. Sometime after we left.
kaffee		I'll talk to him in the morning.
jo		I already tried, I can't find him.
kaffee		You tried? Joanne, you're coming dangerously close to the textbook definition of interfering with a government investigation.
jo		I'm Louden Downey's attorney.
jo		 Aunt Ginny. She said she feels like she's known me for years. I suggested that she might feel more comfortable if I were directly involved with the case. She had Louden sign the papers about an hour ago.
kaffee		I suppose it's way too much to hope that you're just making this up to bother me.
jo		Don't worry, I'm not gonna make a motion for separation, you're still lead counsel.
kaffee		Splendid.
jo		I think Kendrick ordered the Code Red.  So do you.
dawson		Officer on deck, ten hut.
kaffee		Did Kendrick order the code red?
dawson		Sir?
kaffee		Don't say sir like I just asked you if you cleaned the latrine. You heard what I said. Did Lt. Kendrick order you guys to give Santiago a code red?
dawson		Yes sir.
kaffee		 Did he?
downey		Yes sir.
kaffee		You mind telling me why the hell you never mentioned this before?
dawson		You didn't ask us, sir.
kaffee		Cutie-pie shit's not gonna win you a place in my heart, corporal, I get paid no matter how much time you spend in jail.
dawson		Yes sir. I know you do, sir.
kaffee		Fuck you, Harold.
jo		Alright. Let's sort this out. There was a platoon meeting on August 6th at four in the afternoon. And Lt. Kendrick, he gave strict instructions that nothing was to happen to Santiago. Now is that true? I want you to speak freely.
dawson		Ma'am, that's correct. But then he dismissed the platoon and we all went to our rooms.
jo		And what happened then?
dawson		Lt. Kendrick came to our room, ma'am.
kaffee		When?
dawson		About five minutes after the meeting
kaffee		 And what happened then?
dawson		Lt. Kendrick ordered us to give Santiago a Code Red.
kaffee		Jack!
kaffee		 Jack!!
ross		 Hang on...
kaffee		They were given an order.
jo		How long have you known about the order?
ross		I didn't --  Who is this?
kaffee		This is Jo Galloway she's Downey's lawyer. She's very pleased to meet you.
ross		What exactly are you accusing me of, commander?
jo		I'm accusing you of --
kaffee		Jack didn't know about the order. Because if he did and he hadn't told us, Jack knows he'd be violating about 14 articles of the code of ethics. As it is, he's got enough to worry about. God forbid our clients decide to plead not guilty and testify for the record that they were given an order.
ross		Kendrick specifically told the men not to touch Santiago.
kaffee		That's right. And then he went into Dawson and Downey's room and specifically told them to give him a code red.
ross		That's not what Kendrick said.
kaffee		Kendrick's lying.
ross		You have proof?
kaffee		I have the defendants.
ross		And I have 23 marines who aren't accused of murder and a lieutenant with four letters of commendation.
kaffee		Why did Markinson resign his commission?
ross		We'll never know.
kaffee		You don't think I can subpoena Markinson.
ross		You can try, but you won't find him. You know what Markinson did for the first 17 of his 21 years in the corps? Counter Intelligence. Markinson's gone. There is no Markinson.
ross		 Jessep's star is on the rise. Division'll give me a lot of room to spare Jessep and the corps any embarrassment.
kaffee		How much room?
ross		I'll knock it all down to assault. Two years. They're home in six months.
jo		No deal, we're going to a jury.
kaffee		Jo --
ross		No you're not.
jo		Why not?
ross		'Cause you'll lose, and Danny knows it. And he knows that if we go to court, I'll have to go all the way, they'll be charged with the whole truckload. Murder, Conspiracy, Conduct Unbecoming, and even though he's got me by the balls out here, Dan knows that in a courtroom, he loses this case. Danny's an awfully talented lawyer, and he's not about to send his clients go to jail for life when he knows they could be home in six months.
ross		 That's the end of this negotiation. From this moment, we're on the record. I'll see tomorrow morning at the arraignment.
kaffee		Here's the story: The Goverment's offering Assault and Conduct Unbecoming. Two years. You'll be home in six months.
kaffee		 "Wow, Kaffee, you're the greatest lawyer in the world. How can we ever thank you?" Fellas, you hear what I just said, you're going home in six months.
dawson		I'm afraid we can't do that, sir.
kaffee		Do what?
dawson		Make a deal, sir.
kaffee		What are you talking about?
dawson		We did nothing wrong, sir. We did our job. If that has consequences, then I accept them. But'I won't say I'm guilty, sir.
kaffee		Did you --  Did she put you up to this?
jo		No.
dawson		We have a code, sir.
kaffee		Well zippity-doo-dah. You and your code plead not guilty and you'll be in jail for the rest of your life. Do what I'm telling you and you'll be home in six months.
kaffee		 Do it, Harold. Six months. It's nothing. It's a hockey season.
dawson		Permission to --
kaffee		Speak!
dawson		What do we do then, sir?
kaffee		When?
dawson		After six months. We'd be dishonorably discharged, right sir?
kaffee		Yes.
dawson		What do we do then, sir? We joined the corps 'cause we wanted to live our lives by a certain code. And we found it in the corps. And now you're asking us to sign a piece of paper that says we have no honor. You're asking us to say we're not marines. If a judge and jury decide that what we did was wrong, I'll accept whatever punishment they give. But I believe I was riqht, sir. I believe I did my job. And I won't dishonor myself, my unit, or the Corps, so that I can qo home in six months.  Sir.
kaffee		Commander, I want to talk to corporal Dawson alone for a minute.
jo		 Let's go in another room. Louden, everything's gonna be alright.
jo		 We're gonna go into a holding room.
kaffee		You don't like me that much, do you?  Forget it, don't answer that, it doesn't matter.
kaffee		 You know, Downey worships you. He's gonna do whatever you do. Are you really gonna let this happen to him because of a code? Harold?
dawson		Do you think we were right?
kaffee		It doesn't matter what I --
dawson		Do you think we were right?
kaffee		 I think you'd lose.
dawson		 You're such a coward, I can't believe they let you wear a uniform.
kaffee		I'm not gonna feel responsible for this, Harold. I did everything I could. You're going to Levenworth for the better part of your life, and you know what? I don't give a shit.
kaffee		 M.P.!
kaffee		 What happened to saluting an officer when he leaves the room?
kaffee		Dawson's gonna go to jail just to spite me. Fine. If he wants to jump off a cliff, that's his business. I'm not gonna hold his hand on the way down.  I want to get him a new lawyer. How do I do it?
sam		You just make a motion tomorrow morning at the arraignment. The judge'll ask you if you want to enter a plea. You tell him you want new counsel assigned.
kaffee		 Then that's that.
jo		 Yeah. One thing, though. When you ask the judge for new counsel, Danny, be sure and ask nicely.
kaffee		What do you want from me?
jo		I want you to let 'em be judged! I want you to stand up and make an argument!
sam		An argument that didn't work for Calley at My Lai, an argument that didn't work for the Nazis at Nuremberg.
kaffee		For Christ sake, Sam, do you really think that's the same as two teenage marines executing a routine order that they never believed would result in harm? These guys aren't the Nazis.
jo		Don't look now, Danny, but you're making an argument.
kaffee		 Tomorrow morning I'll get them a new attorney.
jo		Why are you so afraid to be a lawyer? Were daddy's expectations really that high?
kaffee		Please, spare me the psycho-babble father bullshit. Dawson and Downey'll have their day in court, but they'll have it with another lawyer.
jo		Another lawyer won't be good enough. They need you. You know how to win.  You know they have a case. And you know how to win. You walk away from this now, and you have sealed their fate.
kaffee		Their fate was sealed the moment Santiago died.
jo		Do you believe they have a defense?
kaffee		You and Dawson both live in the same dreamland. It doesn't matter what I believe, it only matters what I can prove. So please don't tell me what I know and don't know. I know the law.
jo		You know nothing about the law. You're a used car salesman, Daniel. You're an ambulance chaser with a rank. You're nothing.  Live with that.
yuppie lawyer		...So I told duncan if we leverage the acquisition of Biotech, the interrogatories would be there on demand. All I have to do is not pick up the phone and it'll run Flaherty ten thousand a day in court costs.
randolph		Where are we?
randolph		Does defense wish to enter a plea?
kaffee		Yeah.  They're not guilty.
randolph		Enter a plea of not guilty for the defendants. We'll adjourn until ten- hundred, three weeks from today, at which time this Court will reconvene as a General Court-Martial.
kaffee		Why does a junior grade with six months experience and a track record for plea bargaining get assigned a murder case?  Would it be so that it never sees the inside of a courtroom?
kaffee		 We'll work out of my apartment. Every night, seven o'clock. Jo, before you come over tonight, pick up a carton of legal pads, a half-dozen boxes of red pens, a half-dozen boxes of black pens. Sam get a couple of desk lamps. I need you to start on a preliminary medical profile and Jo, we need all the fitness reports on Dawson, Downey and Santiago. The only thing I have to eat is Yoo-Hoo and SugarSnacks, so if you want anything else, bring it with you. Okay?
jo		Yeah.
kaffee		So this is what a courtroom looks like.
kaffee		Were you able to speak to your friend at NIS?
sam		She said if Markinson doesn't want to be found, we're not gonna find him. She said I could be Markinson and you wouldn't know it.
kaffee		Are you Markinson?
sam		No.
kaffee		Well, I'm not Markinson, that's two down.
kaffee		 What.
sam		 I was wondering, now that Joanne's working on this... I was wondering if you still need me.
kaffee		 They were following an order, Sam.
sam		An illegal order.
kaffee		You think Dawson and Downey know it was an illegal order?
sam		It doesn't matter if they know, any decent human being would've refused to --
kaffee		They're not permitted to question orders.
sam		Then what's the secret? What are the magic words? I give orders every day, and nobody follows them.
kaffee		We have softball games and marching bands. They work at a place where you have to wear camouflage or you might get shot.
kaffee		 I need you. You're better at research than I am and you know how to prepare a witness.
jo		I've got medical reports and Chinese food. I say we eat first.
sam		Did you get any dumplings?
kaffee		This is our defense. Intent: No one can prove there was poison on the raq. Code Red: They're common and accepted in Guantanamo Bay. The Order:  That's it.
sam		What about motive?
kaffee		We're a little weak on motive. They had one.
jo		Just because a person has a motive doesn't mean --
kaffee		Relax. We'll deal with the fenceline shooting when it comes up. For now we start here --  I don't know what made Santiago die, I don't want to know. I just want to be able to show it could've been something other than poison. Jo, talk to doctors. Find out everything there is to know about lactic acidosis. Let's start prepping for Stone.
jo		As long as we're on the subject of the doctor --
kaffee		Here we go.
jo		Listen to me, three o'clock he doesn't know what killed Santiago, then he meets with Jessep, and at five o'clock he says it was poison? The doctor's covering up the truth.
kaffee		Oh, that's a relief. I was afraid I wouldn't be able to use the "Liar, Liar, Pants on Fire" defense. We can't prove coercion!! Alright, fitness reports and biographical information.
kaffee		No Cliff-Notes on these things?
jo		 Captain Hill, this is Lt. Commander Galloway, I'm an internal affairs officer with the JAG Corps in Washington, D.C. I'm trying to track down a Captain Matthew Andrew Markinson, USMC...
kaffee		Doctor, other than the rope marks, was there any other sign of external damage?
sam		No.
kaffee		No scrapes?
sam		No.
kaffee		No cuts?
jo		 He resigned his commission a week ago Thursday.
kaffee		Bruises? Broken bones?
sam		No.
jo		 No, please don't put me on hold --
kaffee		Doctor, was there any sign of violence?
sam		 You mean other than the dead body?
kaffee		Fuck!! I walk into that every goddam time!
sam		Don't ask the last question.
kaffee		Lt. Kendrick, the type of disciplinary action, or "training'' as you say --
jo		Object.
kaffee		Please the Court, I maintain that nothing could be more relevant than what the defendants learned by the example of, among others, the witness.
jo		Nice.
jo		And what happened after Kendrick came into your room?
downey		 He ordered me and Corporal Dawson to give Willy a Code Red.
sam		 His answers still have to come faster, Jo. The Iowa farmboy thing'll play for a while, but in the end it looks like he's searching for the truth.
kaffee		 He's right, and from now on, "Willy" is Private Santiago. You start calling him Willy and all of a sudden he's a person who's got a mother who's gonna miss him.
kaffee		Poker faces. Don't flinch in front of the jury. Something doesn't go our way, don't hang your head, don't shift in your seat, don't scribble furiously. Whatever happens, you have to look like it's exactly what you knew was gonna happen. When you pass me documents --
kaffee		 And don't wear that perfume in Court, it wrecks my concentration.
jo		Really!
kaffee		I was talking to Sam.
sam		What time is it?
kaffee		Time to go home. Try to get some sleep tonight.
jo		 I'll give you a ride.
kaffee		 You're a good man, Charlie Brown.
sam		See you in court.
jo		Danny --
kaffee		I know what you're gonna say. You don't have to. We've had our differences. I've said some things I didn't mean, you've said some things you didn't means but you're happy that I stuck with the case. And if you've gained a certain respect for me over the last three weeks that you didn't have before, well, of course I'm happy about that, but we don't have to make a whole big deal out of it. You like me. I won't make you say it.
jo		I was just gonna tell you to wear matching socks tomorrow.
kaffee		 Okay. Good tip.
jo		We're ready.
kaffee		Bet your ass.
kaffee		 We're gonna get creamed.
man		You're gonna save our son, aren't you?
kaffee		 I'll do my best.
jo		Danny, I want you to meet Ginny Miller, Louden's aunt.
kaffee		You're Aunt Ginny?
ginny		Uh-huh.
kaffee		I'm sorry, I was expecting someone older.
ginny		So was I.
kaffee		Last chance. I'll flip you for it.
ross		Too late.
ross		No objection, your honor.
kaffee		No objection.
randolph		Is the Government prepared to make an opening statement?
ross		 Yes sir.
ross		 And they are undisputed.
randolph		Lt. Kaffee?
kaffee		There was no poison on the rag and there was no intent to kill and any attempt to prove otherwise is futile because it just ain't true.  Make no mistake about it, Harold Dawson and Louden Downey are sitting before you in judgement today because they did their job.
randolph		Is the Government ready to call its first witness?
ross		Please the Court, the Government calls Mr. R.C McGuire.
kaffee		How you doin'?
kaffee		 Good.
ross		Mr. McGuire, would you state your full name and occupation for the record, please?
mcguire		Robert C. McGuire, Special Agent, Naval Investigative Service.
ross		Mr. McGuire, did your office receive a letter from PFC William Santiago on 3 August of this year?
mcguire		We did.
ross		What did the letter say?
mcguire		That a member of Private Santiago's unit had illegally fired his weapon over the fenceline.
ross		Was that marine identified in the letter?
mcguire		No sir. I notified the barracks C.O., Colonel Jessep, that I would be coming down to investigate.
ross		And what did you find?
mcguire		For the shift reported, only one sentry returned his weapon to the switch with a round of ammunition missing.
ross		And who was that?
mcguire		Lance Corporal Harold Dawson.
ross		 Your witness.
kaffee		Mr. McGuire, have you questioned Corporal Dawson about the fenceline shooting?
mcguire		Yes. He claims to have been engaged in some manner by the enemy.
kaffee		But you don't believe him.
mcguire		It's not my place --
kaffee		Corporal Dawson's been charged with a number of crimes, why wasn't he charged with firing at the enemy without cause?
mcguire		There wasn't enough evidence to support such a charge.
kaffee		Thank you.
ross		Mr. McGuire, I don't understand what you mean when you say there wasn't enough evidence to support such a charge. You had Willy Santiago's letter.
mcguire		Santiago was the only witness, but I never had a chance to interview him. So I don't know what he saw.
ross		And now we won't ever know, will we, Mr. McGuire?
mcguire		No.
ross		No more questions.
hammaker		Corporal Carl Edward Hammaker, Marine Barracks, Rifle Security Company Windward, Second Platoon Charlie.
ross		Corporal, were you present at a meeting that Lt. Kendrick held on the afternoon of August 6th with the members of second platoon.
hammaker		Yes sir.
ross		Would you tell the Court the substance of that meeting?
hammaker		Lt. Kendrick told us that we had an informer in our group.  That Private Santiago had gone outside the chain of command and reported to the NIS on a member of our platoon.
ross		Did that make you mad?  You can tell the truth, corporal, it's alright. Did it make you mad?
hammaker		Yes sir.
ross		How mad?
hammaker		Private Santiago betrayed a code that we believe in very deeply, sir.
ross		Were the other members of the squad angry?
kaffee		Object --
ross		Were Dawson and Downey?
kaffee		Please the Court, is the judge advocate honestly asking this witness to testify as to how the defendant felt on August 6th?
randolph		Sustained.
ross		Corporal, did Lt. Kendrick leave a standing order at that meeting?
randolph		Yes sir.
ross		What was it?
hammaker		Well it was clear that he didn't want us to take matters into our own hands, sir.
ross		What was the order?
hammaker		Sir, he said that Santiago wasn't to be touched.
ross		 Your witness.
kaffee		Corporal Hammaker, were you in Dawson and Downey's barracks room ten minutes after this meeting?
hammaker		No sir.
kaffee		Thanks, I have no more questions.
ross		The Government calls Corporal Raymond Thomas --
kaffee		Please the Court, I understand Lt. Ross is planning on calling all the other members of Rifle Security Company Windward to testify.
ross		In light of the defense that Lt. Kaffee is planning to mount, the explicit instructions of the platoon leader seems particularly relevant testimony.
kaffee		The defense is willing to concede that all 23 witnesses will testify substantially as Corporal Hammaker did, if the Government is willing to concede that none of them were in Dawson and Downey's room at 16:20 on August 6th.
randolph		 Lieutenant?
ross		The Government'll agree to the stipulation, sir.
randolph		Then we'll adjourn for the day. You can call your next witness in the morning.
stone		...And he was pronounced dead at zero-zero-thirty-seven.
ross		Dr. Stone, what's lactic acidosis?
stone		If the muscles and other cells of the body burn sugar instead of oxygen, lactic acid is produced. That lactic acid is what caused Santiago's lungs to bleed.
ross		How long does it take for the muscles and other cells to begin burning oxygen instead of sugar?
stone		Twenty to thirty minutes.
ross		And what caused Santiago's muscles and other cells to start burning sugar?
stone		An ingested poison of some kind.
kaffee		Your Honor, we object at this point. The witness is speculating.
ross		Commander Stone is an expert medical witness, in this courtroom his opinion isn't considered speculation.
kaffee		Commander Stone is an internist, not a criminologist, and the medical facts here are ultimately inconclusive.
randolph		A point which I'm confident you'll illustrate to the jury under cross- examination, so I'm sure you won't mind if his opinion is admitted now.
kaffee		Not at all, sir. Objection withdrawn.
ross		Doctor Stone, did Willy Santiago die of poisoning?
stone		Absolutely.
ross		Are you aware that the lab report and the coroners report showed no traces of poison?
stone		Yes I am.
ross		Then how do you justify --
stone		There are literally dozens of toxins which are virtually undetectable, both in the human body and on a fabric. The nature of the acidosis is the compelling factor in this issue.
ross		Thank you, sir.
kaffee		Commander, you testified that it takes lactic acidosis 20 to 30 minutes before it becomes lethal.
stone		Yes.
kaffee		Let me ask you, is it possible for a person to have an affliction, some sort of condition, which might, in the case of this person, actually speed up the process of acidosis dramatically?
kaffee		 Commander, is it possible?
stone		Certainly.
kaffee		What might some of those conditions be?
stone		 If a person had a coronary disorder... or a cerebral disorder, the process would be more rapid.
kaffee		Commander, if I had a coronary condition, and a perfectly clean rag was placed in my mouth, and the rag was accidentally pushed too far down, is it possible that my cells would continue burning sugar after the rag was taken out?
stone		It would have to be a very serious condition.
kaffee		Is it possible to have a serious coronary condition, where the initial warning signals were so mild as to escape a physician during a routine medical exam?
stone		Possibly. There would still be symptoms though.
kaffee		What kind of symptoms?
stone		There are hundreds of symptoms of a --
kaffee		Chest pains?
stone		 Yes.
kaffee		Shortness of breath?
stone		Yes.
kaffee		Fatigue?
stone		Of course.
kaffee		Doctor, is this your signature?
stone		Yes it is.
kaffee		This in an order for Private Santiago to be put on restricted duty. Would you read your hand written remarks at the bottom of the page, please, sir.
stone		 "Initial testing negative. Patient complains of chest pains, shortness of breath, and fatigue. Restricted from running distances over five miles for one week."
kaffee		Commander, isn't it possible that Santiago had a serious coronary condition, and it was that condition, and not some mysterious poison, that caused the accelerated chemical reaction?
stone		No. I personally give the men a physical examination every three months. And every three months Private Santiago got a clean bill of health.
kaffee		And that's why it had to be, poison, right, Commander? 'Cause Lord knows, if you put a man with a serious coronary condition back on duty with a clean bill of health, and that man died from a heart related incident, you'd have a lot to answer for, wouldn't you, doctor?
ross		Object. Move to strike.
randolph		Sustained. Strike it.
kaffee		No more questions, judge.
ross		Dr. Stone, you've held a license to practice medicine for 21 years, you are Board Certified in Internal Medicine, you are the Chief of Internal Medicine at a hospital which serves over 8000 men. In your professional opinion, was Willy Santiago poisoned?
jo		Your Honor, we re-new our objection to Commander Stone's testimony, and ask that it be stricken from the record. And we further ask that the Court instruct the jury to lend no weight to this witness's testimony.
randolph		The objection's overruled, counsel.
jo		Sir, the defense strenuously objects and requests a meeting in chambers so that his honor might have an opportunity to hear discussion before ruling on the objection.
randolph		The objection of the defense has been heard and overruled.
jo		Exception.
randolph		Noted. The witness is an expert and the court will hear his opinion.
ross		Doctor, in your expert, professional opinion, was Willy Santiago poisoned?
stone		Yes.
ross		Thank you, sir, I have no more questions.
randolph		Commander, you may step down.
ross		Please the Court, while we reserve the right to call rebuttal witnesses if the need arises, the Government rests.
randolph		We'll stand in recess until ten- hundred hours this Monday, the l9th at which time the defense will call it's first witness.
sam		I strenuously object? Is that how it works? Objection. Overruled. No, no, no, no, I strenuously object. Oh, well if you strenuously object, let me take a moment to reconsider.
jo		I got it on the record.
sam		You also got it in the jury's head that we're afraid of the doctor. You object once so they can hear you say he's not a criminologist. You keep after it and it looks like this great cross we did was just a bunch of fancy lawyer tricks. It's the difference between paper law and trial --
kaffee		Sam --
sam		Christ, you even had the Judge saying Stone was an expert!
kaffee		Sam, she made a mistake. Let's not relive it.
sam		I'm gonna go call my wife. I'll meet you tonight.
jo		Why do you hate them so much?
sam		They beat up on a weakling, and that's all they did. The rest is just smokefilled coffee-house crap. They tortured and tormented a weaker kid. They didn't like him. And they killed him. And why? Because he couldn't run very fast.
kaffee		Alright. Everybody take the night off.
sam		 I apologize, I, --
kaffee		It's alright. We've been working 20 hour days for three and a half weeks straight. Take the night off. Go see your wife, see your daughter. Jo, do whatever it is you do when you're not here. What day is tomorrow?
sam		Saturday.
kaffee		We'll start at ten.
sam		Why do you like them so much?
jo		 And they say "Nothing's gonna hurt you tonight. Not on my watch."
sam		Don't worry about the doctor. This trial starts Monday.
jo		I'm sorry to bother you, I should've called first.
kaffee		No, I was just watching a baseball game.
jo		I was wondering if -- how you'd feel about my taking you to dinner tonight.
kaffee		Jo, are you asking me out on a date?
jo		No.
kaffee		It sounded like you were asking me out on a date.
jo		I wasn't.
