****Dialogues from script :TRON.txt****

fourth draft screenplay by		Charlie Haas April 6, 1981 BLACKNESS
athos		Keep your mind on the mission, d'Artagnan.
athos		First, always find your enemy's weakness. Second, take advantage of it. Watch me.
sailor		That's our ship... The two Sailors pull out daggers, and bound up the gangplank.
cut to:		121   EXT. DECK OF PERSEPHONE - NIGHT                               121
both sailors		Porthos the Pirate!!
porthos		I told you I was famous. D'ARTAGNAN Porthos the Pirate?
porthos		Privateer.   There's a difference. Every Musketeer is running from something or someone. D'Artagnan deadpans: D'ARTAGNAN I love a good sea story.     Do tell me sometime. Porthos reacts to d'Artagnan's jest. But before he can reply, the youth has bolted back to the fray.
athos		Did you find the Cardinal's spy?
athos		No.
athos		How did you do it, Sabine? How did you come back from the dead?
athos		I did not.
milady		No, Count. You were too proud to listen to the truth. I learned the value of lies soon after.
milady		No. ATHOS Then I will shoot. Athos cocks the trigger.     Milady whispers: MILADY Be kind.   And aim for my heart. Athos' face is a mask of contradiction. He tries to pull the trigger, but it is not in him. Milady recognizes his pain with a nod. She feels it, too. Then, briefly, before she leaves him, Milady speaks softly. The past, their love, and where it led them.
milady		I remember... everything.
armand		Countess de Winter... As d'Artagnan, Porthos, and Aramis arrive on the scene...
aramis		He is not mentioned directly. But the agreement is contingent on a 'demonstration' of the Cardinal's power. D'ARTAGNAN A demonstration? What does that mean? ARAMIS I don't know. Athos' face grows dark. He has been silent throughout. Now he rises to his feet.
athos		I know someone who does. D'Artagnan, Aramis, and Porthos watch in grim silence as Athos crosses the room to an imposing door. CUT TO:
armand		 She dies at dawn.
athos		Do you know the Cardinal's plans? MILADY Yes.
athos		Tell me.
milady		Will you spare my life? ATHOS I can't. 
athos		Sabine. You'll die for your crimes. Nothing can stop that. But how you leave this world is up to you. Milady offers a half-smile, takes his hand in hers.
milady		What did the world ever do for me? HOLD ON Athos.       Milady's hand in his.   All that he is feeling. CUT TO:
executioner		I forgive you for your crimes. Die in peace.
athos		Die in peace.
executioner		On your knees. Milady kneels, the Executioner steps closer. The tableau silhouetted against a reddish glow on the horizon. The Executioner brushes Milady's braid from her neck, exposing the soft white skin beneath. He raises the scimitar overhead, and just as he is about to bring it down... a cry is heard, torn from the heart:
athos		No.
porthos		Athos -- But Athos breaks free.       Milady rises to her feet.   Athos rushes to her.
athos		Forgive me, Sabine.       Please forgive.
milady		The Cardinal intends to assassinate the King at his birthday celebration on Friday. And with that, Milady reaches forward, offers a gentle kiss. Then, as Athos and the others look on, stunned, uncertain... she takes a backward step, finds the cliff's edge... and steps over it. The Executioner rushes to look after. The others follow. Except for Athos, who remains rooted in place, eyes on the distant horizon. A long silence. THUNDER RUMBLES. EXECUTIONER God's justice be done.
athos		The King's life in danger.   We have work to do.
rochefort		He can do it every time. Rochefort signals approval to a solitary marksman positioned far away on one of the roof parapets. The marksman rises from a shooter's crouch, bows curtly, and begins to reload his musket.
richelieu		And he has no qualms about... ROCHEFORT None. He believes that man should honor no Kings before God. RICHELIEU A man of faith. How delightful.  Whatever you're paying him, double it. I want the King's birthday to be a memorable event. And rehang this painting in my chamber. Just as it is. HOLD ON Richelieu for a beat.   Framed by a sky filled with stars. His evil intent. CUT TO:
louis		They look... happy.
anne		Hungry, more likely. LOUIS Still, you were right about the celebration. And when the Cardinal told me how much it meant to you... ANNE I said nothing. LOUIS But... ? ANNE The Cardinal expressed in confidence how much the celebration would mean to you... Both pause to consider the manipulation.
richelieu		France will not go wanting. A new King will sit on the throne. The true King after all...
rochefort		Yes, Your Eminence.
richelieu		Are you sure? ROCHEFORT I'd stake my life on it, Your Eminence. RICHELIEU  Rest assured, Captain. You have.
athos		 Look through the surrounding area. We'll try to reach the King...
louis		Leave us... alone. That's when a loud BOOM rocks the room.
richelieu		 Kill him. Kill her, too.
rochefort		Not for long.
rochefort		I might... have been... mistaken.
richelieu		Your Majesty, that document is an obvious forgery. I am clearly the victim of a conspiracy designed and perpetuated by these three Musketeers.
richelieu		You can't do this to me.   I'm the Cardinal of France. 
louis		And as King... I hereby reinstate the Musketeers. A tremendous cheer is heard from all. Richelieu is led from the room. He pauses in front of d'Artagnan. RICHELIEU Congratulations, Monsieur d'Artagnan. I'll be keeping an eye on you. D'ARTAGNAN  Thank you, Your Eminence.    I'll be watching you, too. Richelieu smiles his crocodile smile. Followed by guards, he turns and strides away, hands clasped behind his back, scarlet robes billowing behind him. Louis turns to the Musketeers.       He indicates d'Artagnan.
louis		Is this the young man who saved my life? Porthos puts a hand on d'Artagnan's shoulder. PORTHOS His name's d'Artagnan, Sire.
louis		Approach, d'Artagnan.
louis		Rise, d'Artagnan. And join them. Musketeer.
porthos		His lips, unused as they are to such a contortion, twisted and stretched... into a smile.
aramis		It was spectacular. And what teeth.
****Dialogues from script :Thunderbirds.txt****

narrator		From a secret island in the South Pacific, the courageous Tracy family run an organization called International Rescue. When disaster strikes, anywhere in the world, they are always first on the scene. They go by the name they gave their incredible machines, the Thunderbirds.   Five, four, three, two, one. Thunderbirds are go!
teacher		So, gentlemen, we all know that A2 plus B2 equals... C2, that's right. But what happens when we bring in Leonardo Da Vinci's E, F and...  Mr. Tracy!
fermat		Alan. Alan!
teacher		How kind of you to come back from outer space, Alan. I trust re-entry wasn't too rough?
alan tracy		I was just...
teacher		Apparently not  "Thunderbirds are go."  Well, I hope you aren't going anywhere special over spring break, Alan. Because I expect a 10,000 word paper on my desk the day you get back. That should keep you busy.
alan		 "That should keep you busy. Yeah, well you can take your 10,000 words and stick them right up your..."
fermat		Alan!
alan		Headmaster.
headmaster		Mr. Tracy!
alan		Miss Garrett.
fermat		You gotta be more careful Alan.
alan		Why can't I tell 'em I'm a Thunderbird Fermat?
fermat		Because technically you're not a Thunderbirds yet. And if your identity was discovered, it would a d-d-di- it could be very bad.
alan		I know, I know.
excited kid		It's the Thunderbirds. They're gonna be on TV. Let's go! They're gonna be on TV.
alan		Whoa! Whoa! Whoa! Where are they?
excited kid		In Russia, at an oil rig fire.
alan		Great! I'm stuck at school and my brothers are on another cool mission.
fermat		Wanna watch?
alan		Yeah!
lisa lowe		We are told this super-rig is now in danger of total collapse.  And there is real concern for the lives of six men who remain trapped on board.  An emergency call went out to the Thunderbirds just a few minutes ago. They should be here any moment now.   And here they are!
scott tracy		Thunderbird 2 this is Thunderbird 1. I have visual, south
jeff tracy		FAB. We'll take it from here.
mullion		Come on! Come on!
jeff		Scott, get out. That tower's coming down.
scott		Got it.
jeff		Thunderbird 1 any damage?
scott		Negative, Dad.
alan		Come on, come on! Swing around. You can't get close enough, taking that approach angle.
jeff		This approach angle's no good. Gonna have to swing her around.
jeff		Scotty, I was watching for wind shear when you were still wearing diapers.
alan		Come on, Dad.
jeff		Whoa! Hold on!
scott		Who needs the diapers now, Dad?
fermat		What do they do now?
alan		Probably drop the rescue platform from
virgil tracy		Open 'em up. Here we go. Rescue platform's on its way.
jeff		Virgil, how's it going?
virgil		It's looking good, Dad.
crew member		Come on! Jump!
virgil		Okay, I've got a visual. Hold it there. Targets locked. Firing rescue lines. (Directed toward the
crew member		READY
jeff		Alright, let's haul them out.
fermat		Commencing reverse thrust.
jeff		Okay, let's bring 'em home.
crew member		Look out! 
alan		Man they gotta get 'em out fast. That rig's gonna blow.
crew member		Hang on!  Boys watching the TV gasp as the crew goes down back toward the water a little bit
jeff		Whoa sorry, boys. Hold on tight. Here we go.
alan		Come on, Virgil.
virgil		Hold on guys
jeff		How you doing, son?
virgil		Never better
jeff		Thunderbird 1, commence knockdown procedure.
scott		FAB, Thunderbird 2.  Lining up target.
jeff		Bull's-eye! Outstanding shot. All right boys, let's take these babies home.
lisa lowe		As you can see the fire has been extinguished. The rocket fired from Thunderbird 1 has
chuck		That was great work, Lisa. Thanks a lot.
alan		That's another good one, diaper boy.
headmaster		Tracy!  There's someone here for you.
fermat		Sure beats the bus!
alan		Definitely!
lady penelope		Fantastic. Now, will any of these gorgeous young things be joining you?
alan		Just Fermat.
lady penelope		Quite right.
alan		Lady Penelope, why are you in America? Are you on a mission for my father?
lady penelope		Alan, shh! I am an undercover agent, so please try to be discreet. (camera pans over to
fermat		Hi, Parker.
parker		Good afternoon, Master Hackenbacker.
alan		Hi, Nosey.
parker		Less of that attitude, or I shall be obliged to deliver the Parker Haymaker.
alan		Okay, bring it on, big guy.
lady penelope		Try not to run over any children, Parker.
parker		Very good, milady.
lady penelope		Come on, Parker, chop chop!
alan		All right!
fermat		Whoa!
alan		YES!
fermat		Yeah! the boys high five
lady penelope		 Oh, look, Parker. Pink is the new black this season.
parker		I'm very glad to hear it, milady.
lady penelope		And hemlines are going up.
parker		That is good news, milady.
lady penelope		Oh and apparently England won the football last night.
parker		Yes! Eng-er-land! 
lady penelope		Calm down, Parker.
parker		Yes, milady. Sorry, milady.
panhead's mother		Come on, baby. Out you jump. (Turns to her teenage son who has a pan stuck on
panhead		Even better! It's the Thunderbirds!
virgil		OK, lock it up. Let's go. Let's move it. Hey, we need some help over here.
jeff		Mission complete. Thunderbird 1 we are good to go.
scott		FAB.
the hood		Ah, the chariot of the gods. Having dallied with the mortals,
parker		Pardon me, milady. Approaching Tracy Island. And radar indicates we have some company.
lady penelope		Now, that's showing off.
alan		I wish that was me.
brains		I'm about to run post flight checks, Mr Tracy. Anything I sh-sh-sh-
jeff		Brains, I noticed a build-up of vibration on Thunderbird 2, followed by illumination of the number 5
brains		Okay, Mr. Tracy, I'll ch-ch-ch-study the flight data and guidance processor.
alan		Dad!
jeff		Alan! Let me look at you. He hold Alan at arm's length and then looks him over. He then looks
virgil		Hey Sprout! ruffles his hair
scott		ruffles his hair Hey Buddy!
onaha		Dinner's ready. Come and get it.
jeff		Onaha, it smells delicious. I am starved.
alan		So Dad, I saw the mission on TV. It looked dangerous.
jeff		Saving lives is a dangerous business. But it's what we do.
alan		Do you think the fire was caused by thermal up draughts? I mean that would explain the-- (Jeff
jeff		Whoa, whoa, whoa, enough shop talk. I want to hear about school.
alan		School's boring. Plus I've been thinking, maybe I could be home-educated now. That way, I could
jeff		No short cuts, Alan. No school, no rockets. Say, why aren't you wearing your retainer?
scott		So I'm getting the reading telling me that the wind is blowing 60 knots, right up my keister.
virgil		No kidding.
alan		Did you try readjust the flaps?
scott		Well that's the first thing I did, Sprout! It's not my first day in a Thunderbird you know.
gordon		Try and keep up!
virgil		Yeah and don't you have homework to do or something?
gordon		Unless he's blown up this school, like the last one!
scott		Yeah, keep Alan away from the ships, he's a hazard.
jeff		Okay, that's enough. Pass the salad.
virgil		Man, I haven't seen that much fire since that volcano in Fiji.
scott		That wasn't Fiji that was Istanbul.
virgil		No, no, Istanbul was the earthquake.
scott		Yeah well, nothing compares to Argentina.
alan		Dad, I'm not really hungry. Come on, Fermat. Let's go.
fermat		But! I'm not done!  Okay.
jeff		Kyrano, have you seen Lady P?
kyrano		By the pool.
jeff		Of course.
lady penelope		 Parker.
fermat		We're not supposed to go in there. We could get in trouble.
alan		Ah, you worry too much.
fermat		Where'd you get the access code for Thunderbird 1 anyway?
alan		Fermat, my friend, what you don't know, can't hurt you.
lady penelope		I'll be right there. It seems the fire at the oil rig was no accident.
jeff		Any suspects?
lady penelope		Not yet, but I'll keep you posted.
alan		Thanks for bringing Alan home.
lady penelope		My pleasure. Any excuse to visit paradise.
jeff		Tintin!
tintin		Hey, Mr. Tracy.
lady penelope		Hello, Tintin.
tintin		Good evening, Lady Penelope.
jeff		Did you know Alan's home?
tintin		 I mean, oh,
jeff		When are those two going to get along?
lady penelope		When Tintin decides the time is right. Girls always fire ahead of boys with that sort of
jeff		What sort of thing?
lady penelope		 Romance.
jeff		Alan and Tintin? I didn't see that one coming.
lady penelope		No, you wouldn't.
jeff		Have a safe flight home, Penny.
lady penelope		Thanks, Jeff.
alan		Okay, Fermat. Run pre-flight checks.
fermat		Right. Hydraulic systems are green.
alan		Commence main engine sequence.
fermat		FAB, Alan.
alan		Couldn't hurt to just fire up the instruments.
fermat		No wait, Alan! That's the Wrong switch!
alan		Oh God. (There is loud beeping coming from the control panel and the boys can't shut down
jeff		 Alan, my office. Now. (Thunderbird 1 shuts
fermat		It just did.  The boys walk out of Thunderbird 1 and are walking toward the silo door. Fermat is running his hand
alan		I can't believe it.
fermat		We're so b-b-busted.
fermat		Look at this.
alan		What is it?
fermat		Looks like some sort of, gallium-electrolyte compound.
alan		We gotta get out of here.
alan		Dad, I know you're mad. I shouldn't have been in the ship, but if you just give me a minute to
jeff		You're damn right you shouldn't have been in there!
alan		But, nothing happened Dad. I had it under control.
jeff		Under control? Do you have any idea of the importance of secrecy in our operation? You fired up
alan		Yeah, I understand. I understand you don't want me to be a Thunderbird. You don't want me to
jeff		I've heard enough. You're grounded for the rest of spring break.
alan		But, Dad!
jeff		Bottom line, Alan. You need to grow up.
alan		Then let me.  Please!
jeff		Hey, John. I was just about to turn in. What can I do for you?
john tracy		I could sure use a pizza. You know a place that delivers?
jeff		30 minutes or it's free, right? Anything else on your mind?
john		Well, got a forest fire in Vladivostok, a typhoon heading for Singapore. What's happening on
jeff		Alan's home for spring break.
john		Yeah, I thought I could see a storm brewing in your region.
jeff		Teenagers.
john		Well, we've all been there. And Dad, you've done a great job since Mom died.
jeff		Thanks, John. Keep an eye on that typhoon for us. And, uh, I'll call Vladivostok, see if they need
john		FAB, Dad. Sleep tight.
fermat		Morning, Dad.
brains		Hey, son. There's something I'd like to sh-sh-sh- Here, take a look.
fermat		The neural-net control system?
brains		It's great to have you back. I bet you didn't think spring break was going to be this w- w-fun.
brains		And that tiny phone lifts up, perfect.
fermat		Dad?
brains		N-n-n- Almost perfect.
fermat		There's something I want to talk to you about.
brains		Oh. Right. Oh. OK, right. You're having problems with a g-g-g-chi-chi-chi-wo-wo-female?
fermat		N-no! No. Alan and I found some sort of gallium compound on the nosecone of Thunderbird
brains		We should check that out st-st-st-immediately.
fermat		That'd be g-g-g-swell!  Scene skips to Alan skipping rocks at the beach. The camera follows one rock and it leads to a
mullion		The island is in sight.
the hood		Transom, I need you.
transom		Yes, sir. Sir, our cloaking device has evaded their detection
the hood		Mullion.
mullion		Sir? Sir, armed and ready. Shall I target the main structure?
the hood		Why would I want to destroy what will soon be mine? One of the principle tenets of Eastern
mullion		 This is ridiculous.
the hood		It will be almost impossible to force the Thunderbirds to leave their island. On the other
the hood		The Thunderbirds' purpose is to rescue. All we need do is give them the victim. (The Hood
transom		Straightaway, sir. Target acquisition of Thunderbird 5 is locked.
the hood		Fire.
john		What the?
john		Thunderbird 5 to Tracy Island. Mayday! Mayday!
brains		Switching to Command and Control Center. (Brains uses a palm scanner to activate Command
jeff		How bad, Brains?
brains		Thunderbird 5 major damage sustained. Possible m-m-m-Possible strike by m-
jeff		Meteor?
brains		Yep.
jeff		Thunderbirds are go.
gordon		Check retros. Go.
jeff		Go to maximum thrust.
the hood		There goes the cavalry. But who will rescue the rescuers?
fermat		Alan! Tintin! Thunderbird 5 has been hit! Thunderbird 5 has been hit! Thunderbird 5 has been
alan		Okay, Okay, Okay, Okay, Okay don't panic. Don't panic.
alan		On the other hand.  ALAN, FERMAT, TINTIN Run!
mullion		We made land.
the hood		 Cut them off.
transom		Activating communications blackout.
brains		What the he-he-devil is going on?
brains		Mr. Tracy, do you copy?
brains		Thunderbird 3 please respond.
alan		How'd they find the island? Do you think it was what I did in Thunderbird 1? Do you think I ruined
fermat		No! That compound we found could have some sort of transmitting capability.
tintin		We have to do something.
fermat		My dad's in the control room, but how do we get there now?
alan		The vents. Let's go! We have to get a message to my dad.
john		I'm losing all power. Repeat, I'm losing all power.
jeff		Hold on, John. We're coming in. Gordon, prepare for immediate docking.
gordon		You got it, Dad. Reverse main thrusters on my mark. Three, two, one.
jeff		Easy. Watch the roll.
virgil		Roll index angle minus two degrees.
gordon		We're locked on.
jeff		Nice work
scott		Tunnel hatch secured.
jeff		Emergency packs boys. Let's move!
jeff		We're in. Let's go!
jeff		John! Scott, tackle that fire.
john		Am I glad to see you guys!
jeff		Easy, you're hurt. Virgil, take care of your brother. Gordon, give me a damage assessment.
alan		Come on, hurry!
transom		One-inch steel plate, with sequential titanium locking mechanism.
fermat		Watch out for the guards.
alan		Get in, get in.
brains		 Who-o-o-o- What's going on?
the hood		So, this is Mount Olympus. And these are the Thunderbirds. I should have guessed. Jeff
alan		 Just keep going straight ahead.
tintin		 Okay.
transom		Professor Hackenbacker? We met at last year's international conference on
the hood		Transom, concentrate!
transom		Sorry, sir. The command control switch, is here. Fingerprint recognition system.
the hood		Professor. Please. Activate the control switch.
brains		N-n-n-n-n- You must be kidding.
the hood		Professor, you and I share an interest in the science of the mind. The difference is, I was
brains		Fu-Fu-Fu- No way!
the hood		Activate the control switch, Prof!  Like a puppet on
transom		We have control.
mullion		 Get up.
transom		Sorry, Professor. Nothing personal.
scott		We got a warning light on our EPS system.
jeff		Attempt manual override.
scott		No, that's negative!
alan		That's it.
fermat		Okay, this one.
jeff		Back to Thunderbird 3 now.  John, we gotta move.
gordon		The locking mechanism's jammed!
the hood		Attention, Thunderbird 5. As you can see I have taken over your facilities. You no longer
alan		They've taken over.
the hood		Warm them up, Transom.
transom		Increasing temperature to maximum.
alan		Who's the bald freak?
kyrano		You? The Hood uses his powers on him and he falls down clutching his head.
tintin		Dad!
fermat		They've got m-my dad.
jeff		Okay, you have our attention. Who are you? What do you want?
the hood		Oh how rude of me. You can call me The Hood. Now, listen, Mr. Tracy. We won't be
scott		You'll never get away with it.
jeff		Why the Thunderbirds?
the hood		An eye for an eye, Mr. Tracy.
jeff		An eye for an eye?
the hood		Perhaps you've forgotten me, but surely you remember saving the life of my brother,
kyrano		Turns to the video phone that the Hood has been using to communicate with Thunderbird
the hood		Take them away.
mullion		Yes, sir.
alan		Whoa.
tintin		That makes The Hood my uncle?
fermat		Every family has a black sh-sh- a black sh- (Sneezes and everyone in the Command and
fermat		 This room's murder with my allergies.
the hood		You left me to die that day. You may have broken my body but you've no idea how
jeff		Wait!  Scott, status report.
scott		CO2 levels are rising.
jeff		Alright, wire the oxygen scrubber to the emergency batteries. Clean the air.
virgil		How long will that give us?
john		About four hours.
mullion		Someone's there. (Mullion walks over to the ceiling, he is standing directly below where
tintin		Run! Run!
alan		No, jump! We can get through to the silos.
the hood		Apparently, the island is not as secure as you thought. (he looks at the old photos that were
transom		 Here they are. Thunderbird 2 silo, in the
the hood		 Seal them in.
alan		Hold on!
tintin		The doors! You guys, let's go! C'mon
fermat		Go! Go!
alan		This way. 
fermat		 No!
tintin		They've got us trapped. What now?
fermat		If we can get to the Thunderbird 1's silo, we can escape through the service tunnel. But we
alan		I'll use the Thunderizer on the door.
alan		You guys get the goons with the Firefly!
fermat		Alan! This equipment is only to be used in an emergency.  I
alan		Yeah.
tintin		Here they come. Fermat, can you drive this thing?
fermat		Uh, no.
tintin		Hey, watch it!
fermat		I took microbiology, not driver's ed. Set the pressure to maximum.
tintin		Got it.
mullion		 Retreat!
tintin		Let's move it.
alan		That's it. Time to thunderize.  Yes!
alan		Come on, let's go!
mullion		Get 'em!
alan		Where's Fermat?
tintin		Fermat!
alan		Fermat!
fermat		Coming!
alan		Hurry up.  What were you doing back there,
fermat		I had an-n-n idea.
alan		Just try and keep up, okay? I'll open the tunnel. We gotta keep moving. (Alan types in a pass
the hood		Alan. You can run if you want. Were you surprised to hear what your father did to me? It is
alan		 We can't go this way. He's there.
fermat		No!  Ow. What are we gonna do, Alan?
alan		I don't know. I'm thinking, okay? (Alan looks at the control panel behind the Hood and sees a
tintin		That's your idea?
the hood		It's not me you're angry at, Alan.
alan		It's not you I'm aiming at. (Alan fires another rock and this time hits the button and the floor
the hood		Get them!
mullion		Transom, fire up Thunderbird 1. And set it on broil!
transom		No sign of them.
mullion		Of course not, the little brats went up like firecrackers. Pop, pop, pop! (laughs at Brains and
the hood		Don't, give him the satisfaction, Professor. This is taking too long. Pick out the equipment
mullion		Yes, sir.  Scene switches to the children trying to get onto the beach, they are getting knocked over by a couple
fermat		How about a little warning next time you pull a stunt like that?
alan		Relax, Fermat. It's just a little water.
fermat		I could have drowned.
alan		You mean you can't swim?!
fermat		I repeat, I could have drowned.
alan		I said I was sorry, Fermat. Just put this behind us, Okay? We gotta watch each other's backs.
fermat		Thank you.
tintin		Boo!
alan		No, c'mon Tintin, stay there.
tintin		You're worse than a couple of girls. Hurry up and get dressed.  Those are nice
fermat		Data from Tracy Island is sent to Thunderbird 5 via satellite, right?
alan		Right.
fermat		So, there's a miniscule possibility that if we reach the satellite station, we could
alan		Blow it up!
fermat		No, we could hack in to it and give
alan		Good thinking, Fermat. Alright, let's do it.  Here's the
tintin		Good. Except that we're here, not there, and the transmitter is there, not here. We have to go
fermat		But that's f-f- off limits.
tintin		It's gonna be dangerous.
alan		I'm in.  We gotta get up there fast! All our folks are
fermat		Actually, he's not going anywhere for now.
alan		The guidance processor for Thunderbird 2. You can't take off without it. Fermat you're a genius.
fermat		Alan, my friend, what you don't know, can't hurt you.
lady penelope		Parker?
parker		Milady?
lady penelope		We have an emergency.
lady penelope		What a charming fellow.
lady penelope		Come in.
lady penelope		Have a look at this, Parker.  He, and this
parker		Sounds like an alias, milady.
lady penelope		Quite right, Parker. Real name: Trangh Belagant. Assumed dead when
parker		Milady, that's Mr. Tracy's loyal manservant, Kyrano.
lady penelope		How's my schedule, Parker?
parker		You have clay pigeon shooting with Lord Marlborough, a benefit gala for the Institute of the
lady penelope		I suppose that's urgent.
parker		Yes, milady. There was also a bridge collapsed in Buenos Aires and a volcanic eruption in
lady penelope		The Thunderbirds haven't responded?
parker		No, milady. And the media is awash in speculation vis--vis their whereabouts. Parker turns on
chuck		Over to Lisa Lowe.
lisa lowe		Chuck, disaster after disaster around the world today and still no sight of the Thunderbirds.
lady penelope		I think it's time to send the emergency signal, Parker.
parker		I fear you're not wrong, milady.
lisa lowe		Lisa Lowe. Back to you, Chuck.
alan		I'm telling you, Fermat, it was like The Hood was inside my head back there.
fermat		What do you mean, Alan?
alan		Maybe he can read minds or control minds or something.
fermat		Don't be silly, Alan. Everything can be explained by science.
alan		I'm just trying to figure out his weakness. Everybody has an Achilles heel, right?
fermat		My Achilles heel is actually my Achilles heel. It's got a blister the size of a basketball. Tintin!
tintin		Stop?
fermat		Yes!
tintin		No!
fermat		 Okay.
alan		 No more cheeseburgers for you, Fermat.
lady penelope		Any word?
parker		Nothing, milady.
lady penelope		Right. You will have to tell Lord Marlborough that I've broken my shooting arm. We
parker		Yes, milady.
lady penelope		The Thunderbirds appear to be in a spot of trouble. And I don't like that. Let's go,
mullion		Ready for launch. We'll use this to get into the vaults.
the hood		Subtle, as usual, Mullion.
mullion		I didn't realize we'd be getting points for style. We're robbing banks, remember.
the hood		Don't worry. You'll get your money.
mullion		 Transom, initiate pre-flight
mullion		What's going on?
transom		It's the guidance processor.
mullion		What's wrong with it?
transom		There isn't one.
mullion		Aaargh!
the hood		Clever Alan. It's the children. They have it.
mullion		No way. They're dead. No one could live through something like that.
the hood		I did. Get them, Mullion. Take whatever you need. And make sure you get the guidance
fermat		Alan, don't you think Tintin is blossoming?
alan		Blossoming?! What's that supposed to mean?
fermat		Come on, Alan. You've a c-crush on her.
alan		You've got to be kidding. I mean, she's. She's not that bad, I guess.
tintin		 Okay, guys, take five.
fermat		Five isn't going to do it!
tintin		Guys?
tintin		Don't move.
fermat		 Whoa
alan		What is it?
tintin		Hexdrotilous scorpion.
alan		Is that dangerous?
fermat		.025 milligrams of its venom is fatal.
alan		So, dangerous is in fact an understatement.
fermat		Watch out!
alan		Tintin, what was that?
tintin		Let's get going.
alan		Hey! She has the same powers as her uncle, The Hood.
fermat		You think?
alan		Must run in the family. Did you do that?
tintin		Just drop it, okay?
alan		Still think everything can be explained by science?
fermat		Not girls!
jeff		Scott? Gordon? You all right?
gordon		We're okay.
scott		The heat exchanger has blown.
jeff		You don't say.
mullion		Come on! Those brats are in here somewhere.
alan		How we doing Fermat?
fermat		Don't rush me Alan. This is very d-delicate equipment.  Which is
alan		Can you fix it?
fermat		Yea- Maybe, but I'll need something to solder with.
alan		We're in the middle of nowhere Fermat, where are you going to find something like that. (Tintin
alan		Ow!
fermat		Perfect.
tintin		Gee Alan, I never figured you for a crybaby.
alan		I'm gonna kill you.
fermat		What'd he say?
tintin		I think it was some sort of apology.
fermat		I got it, yes! Y-y-you the man, Fermat! Okay, first step is to establish contact with Thunderbird
alan		Dad?
john		It's Alan!
jeff		Alan, where are you? Are you safe?
alan		I'm at the satellite relay station with Fermat and Tintin. Fermat's gonna hack into the main
jeff		We're standing by.
fermat		Okay, we're almost there.
transom		Goodness me, Professor. You're so good-looking without your glasses on. I think you may
transom		Oh now that's not fair. Just when things were starting to sizzle.
transom		 A burst of transmission from the island's satellite station.
the hood		And give Mullion the coordinates.
transom		Take the main track southeast, then head up Satellite Hill.
fermat		They're onto us! We're being jammed!
alan		Can you finish?
fermat		I'll try.
jeff		 Alan, what's happening?
alan		Hang in there Dad, one more minute, okay?
fermat		It's not going to work Alan. The signal's too weak for data transmission.
alan		Dad, can you hear me? They're jamming the signal. We're going to lose you. Don't worry, I'll
jeff		That's a negative! It's too dangerous. Follow emergency procedure. Wait for Lady Penelope at the
alan		Dad!
jeff		Alan we're losing you! Alan!
alan		Dad!
fermat		No!
alan		Useless!
fermat		It is now.
tintin		I'm sorry, Alan. This is hard on all of us.
alan		No, it's okay. I'm fine.
fermat		You don't have to be such a tough guy Alan. I'm worried about my dad too.
tintin		I'd do anything to be with my parents right now.
alan		But The Hood knows we're alive now. We have to go.
fermat		Even worse, they know exactly
fermat		Where we are!  Mullion and the other guards watch the kids running down the hillside for a second.
mullion		Come on!
fermat		Great, more water.
alan		Tintin, can you slow 'em down?
tintin		I'd be delighted.
alan		Then do it. And meet us at the junk yard. Come on, Fermat.
alan		This'll get us out of here.
mullion		There! Come on!
mullion		Straight ahead.
fermat		It's gonna make this thing hard to control you know.
alan		No problem.
fermat		You really must be careful not to exceed four bars of boost or else
alan		I said no problem.
tintin		Guys, let's go we've got to get out of here. What is this?
fermat		It's a hoversled.
alan		It's our ticket out, unless you've got a better idea.
tintin		Yeah, let's wait for Lady Penelope, like your dad said.
fermat		 Here.
alan		Great plan. Let's sit and wait to get caught. I say we do something. Now! Right, Fermat?
fermat		Actually, I agree with Tintin. I don't think this is s-s-safe.
alan		You don't think anything is s s-safe.
fermat		Just because I s-s-stutter doesn't mean that I'm wrong. If we're a team, we should make
alan		Do you guys want to sit here and take a vote? Or do you want to get out of here? Cuz I'm going.
tintin		You can be a real jerk sometimes.
mullion		 Go! Go!
tintin		(After looking behind her and seeing Mullion and the other guards in the car getting closer to
mullion		Come on! Faster!
fermat		Alan! You're going too fast!
alan		I need more speed to get above the trees. Hang on!
alan		What'd I tell you guys?  Oh, no.
tintin		What are you doing?
fermat		Oh, no! Not the fridge!
onaha		Tintin!
brains		Hey son.
kyrano		Sweetheart, are you okay?
tintin		I'm fine, Dad.
mullion		 Cool off, kid! (he
parker		Tracy Island approaching, milady. Switching to aqua mode.
lady penelope		Isn't life fun, sometimes?
parker		Rib-tickling, milady.
the hood		What is it?
transom		We have an unidentified craft approaching the island at high speed.
alan		Lady P!
jeff		Phew! Somebody roll down a window. It's getting a little hot in here.
virgil		Re-entry into Earth's atmosphere in 37 minutes.
scott		Oxygen's out in 30 so we won't feel it.
jeff		Stop it!
gordon		Come on, Dad. The situation's hopeless.
jeff		No, it's not. There's still time. We've got people on the ground working for us.
gordon		Alan? He's just a kid!
jeff		He's a Tracy.
lady penelope		This doesn't look good, Parker.
parker		No, milady.
lady penelope		That bougainvillea is absolutely parched, and someone should do something about
the hood		 Whom do we have here? Mullion.
mullion		I must warn you that I know judo, krai magna, and tae kwon do.
lady penelope		And I know Parker.
parker		Milady.
mullion		 You've broken my nose.
parker		Yes, that was very much the intention of the maneuver.
transom		 Whoa!
