****Dialogues from script :White_Squall.txt****

minister		I didn't know Richard Sheldrake personally, but his many friends who knew and worked with him, wanted to make sure that he was returned home, here, to be remembered with his beloved wife...
president grant		Where'd those come from...?
coleman		 Captain West.
rita		She's... no...!
west		 'Ha, ha, ha... Hang... Town... Girls!!!'
west		 Wait a minute. What the hell is this?
rita		Serves you right for staring at them.
loveless		Kill him!  Him! Him! The girl!
gordon		Was that the eight ball?
west		Mmm-hmm.
gordon		That one's an incendiary bomb.
rita		 Meet me after the show!
coleman		Special Marshal... President thought you needed some lookin' after.
french minister		Monsieur, we are your partners! You can't let us die in this fire!!
loveless		It's not the first time y'all have been burned in America.
coleman		This is diabolical! They've got the President and I've still got that silly song in my head!
gordon		 C'mon we gotta go! We gotta ride horse! Something!
west		No, Arte.   Right now, we need a plan.
west		That flyin' machine idea of yours... were you just acting like you knew what you were talking about... or could you build it?
west		You're not makin' me feel any better.
coleman		Here's a coupla bon voyage presents.
gordon		Coleman! Must you smoke when handling explosives!
west		He's just a little nervous 'cause no one's ever flown before.
west		Avant...! Avant!!!
gordon		We're not getting enough lift! We need more speed!
west		Hey, uh... that's the cliff over there, you know?
gordon		Yes, I do know.
gordon		 It worked...? It worked!!
west		 If you had to get one right, I'm real glad it was this one.
gordon		 Yeee-haaa!
loveless		Mr. President, I'll ask you once again. Sign the surrender or I decimate this town!
president grant		You've had my answer.
loveless		 I find the sound of people screaming while they get blown to smithereens, ruins the ear for music. Don't you?
loveless		Commence firing!
gordon		I think I'll call it...
west		Lemme guess... an Elevation Enhancer?
gordon		 No, Air... Gordon.
west		Go down, down there!
gordon		 You can't just 'go down there.' Flight depends on lift, which must be calibrated to the angle of descent...
west		Shut up and go down there, will ya?
loveless		Well, Mr. President. Have you had enough yet? Would you like to sign the surrender or shall we set a course for Denver? Wichita? Washington, perhaps?
president grant		Well, I'll be damned... it's West and Gordon... flying!
president grant		Keep that surrender handy. I think you're going to need it!
loveless		Don't be too sure...
loveless		I'm through with diplomacy... Take him away and kill him!
west		What does your boy da Vinci say about puttin' this bird down?
gordon		I don't think he thought it would ever work, so he didn't get that far. I'm open to suggestions.
west		Take out as many bad guys out as you can.
loveless		Munitia!   Munitia!!!
gordon		Sorry about that, sir. Nose up, flaps down. Have to remember that next time.
president grant		Son, never apologize for saving a President's life.
loveless		Gentlemen, I am truly impressed by your effort and ingenuity. Why not swear an oath of loyalty to me... and forego your executions.
west		Why not? Well, I guess maybe I'd rather see what happens when I stuff your ass into that cannon up there and fertilize the landscape.
gordon		Uh, Jim, I think a polite 'no' would suffice...
loveless		Lippenreider, take over the controls.  We may not have a woodshed on board, but that boy is gonna get a whoopin' anyway!
west		So, I guess you're the one who's gonna give me my whoopin'.
west		Pfft.   I got one a' those.
west		But you've got two of those.  Okay, lemme talk to Gordon, I'll see if he can...
west		Damn.
west		No more Mister Knife guy!
shovel guy		I learned that from a Chinaman.
west		I just made that up.
west		Don't forget your shovel!
west		 Is that all you got for me, Loveless?!
west		Uh, I just threw my shovel out. So this really isn't fair. If you don't mind, I'd like to...
west		 Noooo.
west		Sorry.
metal head		Urrrrrrrrrrggggghhh!!!
west		 You guys just don't get out enough.
west		When you get right down to it, Loveless, you just can't beat a good pair of legs.
loveless		 You're obviously not a poker player, Mr. West...
loveless		Two pair always beats a pair.
loveless		Now... Was it someone particularly close to you who perished in that military action?
loveless		 Hmmm.   Well, that hit a nerve.
loveless		A mother, perhaps? A father?
loveless		It feels so good to stretch my legs.
loveless		I likes to beat my feet on the Mississippi mud!
gordon		Stop this violence!
president grant		Drop 'em.
loveless		You expect to kill me with that little pea shooter?
gordon		If I have to.    Yes.
loveless		Why is it, that I'm unafraid?  I believe you gentlemen are the polar opposites of a moral dilemma and I'm stuck in the middle. On one end, we have Mr. West, a man of primitive vigours uncomplicated by intellect. And on the other, there's Mr. Gordon. A man of ideas, but unlike myself, lacks the passion to kill for them. He'd like to be able to act his way out of it. And for some reason when he's actin', someone always seems to get killed.
west		 Shoot him, Gordon...!
loveless		I'm right about you, aren't I, Gordon? And that's why I'm gonna kill your friend here. Then I'm going to kill you.
loveless		After all that, you missed.
gordon		Not exactly.
west		Better than a fountain pen, don't you think.  By the way, your chivalry's about to be tested.
president grant		 We'll be joining them in a moment if you can't stop that thing!
president grant		Let's see how clever you really are...
west		For almost four long years I've been trackin' the animal responsible for the Massacre at New Liberty. And I hear that's you...
loveless		Please, West... show a little mercy to a poor defenseless cripple...
west		 Now, now, Doctor... let's not cloud this otherwise sunny day with that poor-ol'-me-cripple-talk. Just buck up and say to yourself, 'I am indefatigably hard-pumpin' and steely!'
loveless		After I kill ya, I swear I'm gonna boil you down to axle grease!
west		Now that's the ol' doctor I know!
loveless		Well, I'll be a monkey's uncle. How did we arrive in this dark situation?
west		I don't know.    Guess I'm stumped!
loveless		And I'm so cotton-pickin' afraid of heights. They just give me the spooks!
west		Ah, don't be afraid, Loveless. With this being the last leg of our journey and all, you should soak in the view, you're really missing something.
loveless		Mister West, I'm gonna cut this conversation short...
west		Good one, Loveless.   I didn't think of that one.
loveless		 Mister West!!! I am faced with a difficult decision here. On one hand, there is the overwhelming love that I have for myself, and on the other, the raw, seething hatred I have for you! Now, I could kill you very easily, just by pulling this lever...
loveless		But, of course, I would die along with you. I guess the only thing that I can take comfort in is the hope that you would hit those rocks a second before me and I could enjoy immeasurable bliss before I vanish.  What to do, what to do...
west		Allow me to make that decision easy on you, Loveless. Because I want to see you dead a hell of a lot more than I want to live.
loveless		Why is it that I have a sneaking suspicion, that although you are as black as the night on the outside... inside, you are yellow?!
loveless		You don't have it in you, do you... boy?!
west		You were right. Let's cut this conversation short!
loveless		Weeeeeeeeeest!!!!
west		 Now that looked like it hurt.
president grant		Gentlemen, I now strongly believe the United States is going to be truly united. Not because of this railroad... but because of you.
president grant		I've signed into law the creation of an agency whose sole duty is to protect the President and the country from lunatics like Loveless.  Welcome to the Secret Service,
gordon		Uh, just out of curiosity, sir... who's Agent No. 1?
president grant		I don't think that matters very much, do you? Gordon? Besides, you'll have plenty of time to discuss it on your new assignment.  See you back in Washington.
gordon		But, sir... what about our train?
president grant		 Well, I'm taking it of course. Hell, you let Loveless blow up mine.
west		Rita!   You look great.
gordon		Ravishing, a vision.
rita		I just wanted to thank you for everything you've done for me... before I went back home to Texas.
west		Texas? Why're you going back there? Why don't you come with me back to Washington?
gordon		Or better still, come with me to Washington. I could introduce you to people I still know in the theater...
west		She's not really an entertainer, remember?
rita		 I can't go with either of you.
rita		It's not that you both don't have your attributes.  And you're both so brave. But... I'm afraid I haven't been completely honest with you.
rita		Professor Escobar's not my father. He's my husband.
west		Rita... why didn't you just tell us that in the first place?
rita		Well, I was going to... but would you have really brought me along if I said I was married? Honestly.
rita		I didn't think so.
rita		At least you still have each other.
west		Besides... there's a lot of other women in the world.
gordon		That's easy for you to say. She didn't walk off with your best dress.
****Dialogues from script :Willow.txt****

willow		 "WILLOW"
druid		Is it a girl?
ethna		It is a girl.
druid		Show me its arm.
druid		It's true then.  I must tell Queen Bavmorda.
mother		Ethna, please.  Help me.  They're going to kill my baby.
ethna		They'll kill you.
mother		Please save my baby.
ethna		Pretend this is the child.
mother		Thank you, Ethna.  Thank you.
bavmorda		We will start the ritual at dusk. You're certain this is the one?
druid		It bears the markings.
bavmorda		I must see for myself!  Just as the omen foretold!
bavmorda		So.  You *were* the one.
mother		Yes.  But nothing you can do will stop the prophecy.
bavmorda		This child will have no power over me....
bavmorda		 Where's the baby!
guard		The midwife!
bavmorda		Find that baby!  Use the dogs! Sorsha!
bavmorda		Kill her.
death dog		Bordak!
midwife		I don't have her!  No!  No!
ranon		Dada!  We found something in the river!
willow		I can't run off and play with you now.  I've got work to do.
willow		Back!  Don't go near it.  We don't know where it's been.  It could be diseased.
mims		It's a baby!
ranon		It's not a Nelwyn baby.
willow		No, it's too big to be a Nelwyn baby.  It looks like a daikini...
mims		Ooh, it's so cute...
willow		Mims!  Get back here!  It might bite you.
ranon		Can't we keep it, Dada?
willow		Absolutely not.
burglekutt		Ufgood!  Willow Ufgood!
willow		Shhh, shhh!  It's the Prefect -- that's all I need.  Mims, Ranon, keep this thing hidden...
kiaya		Mr. Burglekutt!  He hasn't done anything wrong!
burglekutt		Ufgood!  What do you think you're doing!  I tell the planting seeds in this village.
kiaya		I told him we didn't steal it, Wil- low.
burglekutt		You haven't paid your debts.  Where did you get these seeds?
willow		In the forest.  My family's been gathering them since last fall. There's no law against that, Bur- glekutt.
kiaya		Willow!  You left the children alone by the river??
burglekutt		Too late, Ufgood.  You'll never get your planting done before the rains start.  You're gonna lose this land.
willow		Absolutely, under no condition, is anyone in this family going to fall in love with that baby.
willow		Kiaya!  We can't keep that baby. Mims, Ranon.  Hey!  I will not be ignored!
willow		This is bad.  If we're caught with that little daikini it'll be the end of us.  Careful, Ranon, I need that for the festival.  Kiaya, what are we going to do?
kiaya		We're gonna give this baby a bath.
willow		Burglekutt's right.  There's not enough time to finish plowing. We'll lose everything and I'll end up working in the mines.
kiaya		Willow, do you think we should take her to the Village Council?
willow		No, no!  They'll think it's a bad omen.  There'll be a flood or a drought or a plague and everybody'll blame me for it!
ranon		Look.  What's that?
willow		I don't know.  This is trouble. I'll talk to the High Aldwin about it tomorrow at the Festival.
willow		And now!  For our final amazing bit of magic, I will make an entire pig completely disappear!
crowd		Aaww!  Booo!  Sssss!
willow		Meegosh, I'm in trouble.
meegosh		Hey, it wasn't that bad.  You need a better pig, that's all.
meegosh		Now Burglekutt's got you in the squeeze.  Soon you'll be down in the mines like me.
willow		Mining.  I hate closed-in spaces. That's the last thing I'd ever do.  I gotta get my crop planted.
meegosh		You know I'll help you as much as I can, Willow.
mims		Dada, can we get treacle candy? Can we, can we?  Please?
willow		 Meegosh, can you watch the chil- dren?  I gotta talk to the High Aldwin.
meegosh		 The High Aldwin??  Why?
willow		Sir!  I have to talk to you.
high aldwin		Not today, Willow.
willow		It's a matter of great importance to me!
high aldwin		Intuition, Willow -- remember?  I know you're eager to be my appren- tice, Willow.  But today is the spring festival.
burglekutt		Apprentice?  To the High Aldwin!! Willow Ufgood???
death dog		Bordak!  Bordak!
meegosh		What was it looking for?
a villager		It said "bordak"!  What does it mean?
councilman		 Baby!  It means baby!  It was look- ing for somebody's baby!
mims		Mommy?
willow		Kiaya!  Kiaya!
willow		We can't keep this baby, Kiaya.  We must take her to the Council.
burglekutt		An evil beast from the outer world has invaded our peaceful village, looking for a baby!
a villager		It's a sign!  An omen!
another villager		Our crops will die!
burglekutt		Silence!  One beast we can kill. But there may be more!  And they won't give up their search till they've found what they're looking for!
meegosh		Whose baby is it!
other villagers		Who's to blame for this!
high aldwin		Willow Ufgood!  Come before me!
high aldwin		Earlier today you tried to tell me something, Willow.
willow		 My family found this baby in the river, High Aldwin.
high aldwin		A daikini child...  ...of some importance, I feel...
burglekutt		That's what the beasts want!  Give it back!
willow		They'll kill her!  We can't let this baby die!
burglekutt		What do we care!
high aldwin		...importance...yes...this child is special...
councilman		What should we do?
high aldwin		This child must be taken beyond the boundaries of our village.  All the way to the daikini crossroads.
a villager		Who will do that?
several villagers		Vohnkar!  Vohnkar!
high aldwin		The outer world is dangerous and corrupt, Vohnkar.  And this baby is hunted by blood-hungry beasts.  Are you willing to sacrifice your life?
vohnkar		If I go, who'll defend you if other beasts attack?
burglekutt		He's right!  It seems only fair that the man to take this baby to the crossroads...  ...out of the river!
willow		I can't do it!  I haven't put my crop in!
a councilman		You caused this trouble.  You found the baby...you get rid of it!
burglekutt		I nominate Willow Ufgood!
high aldwin		I will consult the bones!
high aldwin		The bones tell me nothing.  But I must make a decision.  Is there love in your heart for this child?
willow		Yes.
high aldwin		The bones have spoken!  Willow? The security of this village depends on you!
mims		Dada?
mims		Watch out for brownies, Dada.
willow		I will, Mims.  Goodnight.
ranon		Dada, what's a daikini?
willow		Daikinis are giant people who live far far away.
ranon		Are you scared?
ranon		I could be you rguard!  I could carry your spear!
willow		 What a great son you are, Ranon.  I wish I could take you with me.  Now go to sleep...
high aldwin		Now, you know where you're going?  Down there, through those trees, follow the river.  You'll know the crossroads by a big daikini struc- ture.  Willow, this is serious business.  Don't waste any time, the outer world is no place for a Nelwyn.  Give the baby to the first daikini you see, then hurry home as fast as you can.
willow		If I'm not strong enough to be your apprentice, how can I do this?
high aldwin		You're strong enough.  But you're going to need courage, Willow.
willow		I don't want courage.  I don't want to be a warrior.  All I've ever wanted was to do magic, real magic, like you!
high aldwin		Real magic, Willow, is simply the art of controlling the reality of others.  You lack faith in your- self.  You must learn to trust your intuition.
high aldwin		Go in the direction the bird is flying.
willow		 Oh, if I could do that I'd--I'd turn Burglekutt into a toad!
high aldwin		Waste magic on revenge?  You have much to learn, Willow...
kiaya		Willow, we've never been apart.  I miss you already.  Take this.  It will bring you luck.
willow		You cut your hair, Kiaya?
kiaya		Willow!!
lieutenant		We've patrolled the hills.  This is where they killed the nursemaid.
sorsha		She must have done something with the child.  Widen the search!
lieutenant		Get away from there!
willow		I hate this.  Where am I?  I should stick you in a tree and go back home.  I'm sorry.  I didn't mean that.
willow		That's it.  The crossroads...
willow		I hate this.
willow		I hate this.
willow		I really hate this.
madmartigan		Hey, Peck...get me some water...or you'll diiiiie...!
willow		I will--I'll getcha water--getcha lotsa water--anything you say--!
madmartigan		Peck!
madmartigan		You're a weasely little Peck! Gimme some water!
willow		I'm not coming near you!
madmartigan		Please?  I'm dyin' of thirst in here.
willow		Good.  How long will it take?
madmartigan		Don't make me angry, Peck.
willow		You be careful.  I'm a powerful sorcerer.  I could turn you into a toad just like that.
madmartigan		Miserable Pecks.
madmartigan		That's more like it.
willow		Do any other daikinis ever come by here?
madmartigan		Why.
willow		I have to give this baby to some- body.
madmartigan		I'm somebody.  Lemme out and I'll take care of your baby.
willow		No.  Somebdoy put you in there for a reason.  I'll wait for somebody else.
willow		Hey!  Somebody's coming!
madmartigan		Peck!  Quick!  Douse the fire!
madmartigan		No, you fool!  Put it out I say! Out!
madmartigan		No!!
pict		Whose fire!
madmartigan		No!  Help!  Stop!
pict		Where are they?  Where did they go?
madmartigan		 Thanks for your help, Peck.
willow		Are you okay?
madmartigan		As if you care.  I saved your life, Peck.  Those guys woulda killed us!  You wanna give your baby to them?? They eat babies!
willow		I don't know.
madmartigan		The world's gone insane.  Good men locked in cages, criminals running free.  It doesn't pay to be honest, Peck.
willow		Don't call me a Peck.  My name is Willow.
madmartigan		Hello, Willow.  I'm Madmartigan.
madmartigan		You a woodcutter?
willow		Farmer.
madmartigan		Farmer!  I knew it!  You're a vic- tim, Willow.  Yep, you and me: victims of a rotten, corrupt, cor- rupt, rotten world.
madmartigan		Listen, Willow my friend.  I'm really a good man.  Give me my freedom, and I'll look after that baby for you.  Trust me.
madmartigan		That's it--good--good--like that, yes, good, good, the chain--that's it, come on--come on--!
willow		Nooo, I don't think I should.
madmartigan		Peck!!  Stupid Peck!  I'll kill ya! Let me out!
madmartigan		Morning, Willow.
madmartigan		Sorry I yelled at you.  I've been in this cage toooo long.  Can't think straight anymore.  Owww...!
willow		You all right?
madmartigan		These burns.  My arms.  Ouch...
willow		See if this helps.
madmartigan		Aaaaaahhhh.  Better.  Here, I made something for the baby.
willow		What's inside?
madmartigan		A tooth.  I'm strving.  I got no used for it.
willow		Stop!  Wait!
madmartigan		 Smells like a battle.
willow		Are you a warrior?
madmartigan		The greatest swordsman that ever lived.
willow		What's that?  I hear something!
madmartigan		You hear trouble.
willow		What is it?
madmartigan		A hundred horses...five or six wagons...  and about six thousand fools.
willow		Sir?  Sir!
officer		Out of the way!
airk		Push 'em harder!  No rest at mid- day!  We need to make ten more leagues by dark!
willow		Sir!  Sir!  I have this baby.  We found her in our village.  Will you take her...?
airk		We're going into battle, little one.  Find a woman to take care of it.
madmartigan		He thought you were a woman, Airk!
airk		Madmartigan!  What did you do this time?
madmartigan		Nothing you wouldn't have done it my place!
airk		I always knew you'd end up in a crow's cage.
madmartigan		Least I'm not down there herding sheep!
airk		You're lucky somebody got to you first, Madmartigan!  I'd've killed you myself after that stunt at Land's End!
madmartigan		Airk!  Come on, Airk.  Lemme outa here.
airk		 Hey, remember?  You don't need my help, Madmartigan.  Little rabbit trap like this?  Come on!  I could open it for you, but I wouldn't wanna insult you!
madmartigan		Gimme a sword, Airk.  I'll win your war for you.
airk		You're nothing but trouble, Madmar- tigan.  And I got plenty of that. Stay in your coffin and rot!
madmartigan		I'll be around long after you're dead, Airk!  You slime!  When I get outa here I'll cut your head off and stick it on a pig-pole!
willow		Friend of yours?
madmartigan		Hello, little baby...
madmartigan		Whatcha thinkin' about, Willow?
willow		I hate this.
madmartigan		Nobody's gonna take your baby. Know why?  Nobody cares...  You wanna go back to your farm. You wanna go back to your family. I could take care of that baby. I'll look after her like she was me own.
willow		You don't know anything about ba- bies.
madmartigan		Ahhh!  But I know a lot of women who do.  Why, if I had somebody in my life--a little daughter for instance--I'd have a reason to live...
madmartigan		Willow.  You can't let me die here. Not when I wanna help you.
willow		You gotta promise to feed her.
madmartigan		I will.
willow		Fresh goat's milk.
madmartigan		Absolutely!
willow		And give her a bath everyday, and don't let her get cold.  And keep her diaper changed.
madmartigan		Of course!  I promise!
madmartigan		Come to Daddy, little darlin'.  I think she likes me!
willow		Here are her diaper rags.  And this is her milk bladder.  And when she cries--she's either hungry or she's tired--rock her on your left shoulder.  She likes that.
madmartigan		Don't worry, Willow.  She's in good hands.  You haven't made a mistake.
willow		Bye.
willow		 Please take good care of her.
madmartigan		You've done a great job.  Now you go back to your family and get your crop in.
willow		Look, it's Willow Ufgood!  He's come home!  Welcome back, Willow! He deserves a medal:  he's quite mystical.  For honor, for bravery, for his intuitive powers...  ...let's make him Apprentice Aldwin.  Better still:  High Aldwin!  Make way!  It's Willow Uf- good, High Aldwin of---
willow		Come back here, you!  That's my baby!!
willow		Oh no, it's a trap!
willow		Oh noooooo!!
willow		 Where am I?  Where's the baby?
franjean		I am Franjean, king of the world.
willow		That baby's my responsibility!
franjean		I don't care.  We paid for her.  Go back to sleep, monsieur...
willow		Yeow!  Madmartigan...I never should've trusted you...
teemo		Tongue.
willow		Who are you?
rool		Quiet, you fool!
teemo		 We are emissaries of her majesty, Queen Cherlindrea, of the land of Coshairm.
willow		Queen Cherlindrea?
teemo		She requests the presence of your- self and the young princess.
willow		Who??
teemo		You're the guardian, aren't you?
rool		Quit yakking, Teemo.  We gotta get outa here!
teemo		Elves!  They're always tormenting babies.  They make them cry and take their tears.
rool		Somebody has to do it.
willow		Why??
rool		How else they gonna make dew drops?
willow		I'm getting her out of there!
teemo		No!  You let us handle this.  Come along, Rool!
teemo		Watch this.  Right between the eyes.
rool		 He never misses.
teemo		Ooops.  Was that right?  That wasn't right.
willow		I can't go out there with the baby!
willow		Ohhh, I hate this.
teemo		Take your time.  Don't worry about the elves.  They won't come out here.
willow		Why not?
rool		Because of the trolls.
willow		Trolls?
teemo		Relax.  They only come out at night.
willow		This is not going well.
teemo		Hurry!  Queen Cherlindrea will know what to do.
teemo		Come on.  This is a privilege.  No- body ever gets called before Her Majesty.
rool		Stand up!  It's the queen!
cherlindrea		Willow Ufgood.
willow		 Yes...?
cherlindrea		I hope you are comfortable here, inside my kingdom...
teemo		Talk!  Say something!
willow		I can't see anything--she's too bright!
cherlindrea		I'm sorry...
cherlindrea		Broke-heart of nightingale for our honored guest.
cherlindrea		It is Elora Danan!  The prophecy has come true.
willow		You mean, you know who this baby belongs to?
cherlindrea		She belongs to all of us.  She is the future queen and ruler of all kingdoms on earth.
willow		What a relief.  Now I can go home.
cherlindrea		No, Willow.  Your journey has just begun.  It has been foretold that this child shall bring about the downfall of Queen Bavmorda, whose evil powers have darkened our world.  Upon you depends this princess's life.
willow		Me?
cherlindrea		You are the guardian, Willow.  You must take her to Tir Asleen.
willow		What is Tir Asleen?
cherlindrea		It is a distant castle, where a great king and queen will look after Elora Danan and keep her safe until she is old enough to rule.
willow		Where is Tir Asleen?  How far is it?
cherlindrea		The way has been lost in time. But there is one person, a druid sor- ceress, who might guide you there. She was exiled by Queen Bavmorda many years ago.  Her name is Fin Raziel.
willow		You need a warrior for this job. I'm nobody.
cherlindrea		You are very important, Willow.
willow		No I'm not.  Have you really looked at me?  I'm short!  Even for a Nelwyn!
willow		 Why can't you do it?  You have mag- ical powers.
cherlindrea		My prsence cannot extend beyond this forest.  But I can give you these...
cherlindrea		They will protect you.  Use them wisely.
willow		They look like acorns.
cherlindrea		Anything you hurl them at will turn to stone.
willow		They're magic?  Are you serious?
cherlindrea		 I am very serious, Willow.  There is no time to lose.
willow		But I've got a family to think about!  They need me!
willow		Hello...?
cherlindrea		Bavmord'a powers are growing like an evil plague.  Soon she will con- trol the lives of you children, your wife, your village...everyone.
cherlindrea		The choice is yours.
willow		I'll do it.  Yes, I will, I'll do it!
willow		But I only have one shoe.
willow		Wait till I tell my children. Stuff like this never happens in my village.
teemo		Hey, careful there!
willow		How do these work I wonder?  I got- ta save one to show the High Aldwin.
rool		Look!  Death below!
willow		Daikinis...
horsemen		Hyaaaaahh!!
willow		Let's get out of here.  Shhh, don't cry, Elora.  Things can't get any worse than this...
teemo		I'm not going in there.
rool		Me neither!
willow		Don't worry--I'm a sorcerer.  What could possibly happen?
willow		Could you spare some milk for this poor hungry baby?
barmaid		Get outa here, Peck!
patrons		A Peck!  Get him out!  Beat it, Peck!
willow		I could use your help, boys.
teemo's voice		Willow?
willow		This is not fun.
willow		Woah!
wench		Hurry!  Hurry!
willow		You!!
madmartigan		Where the hell did you come from?
willow		I trusted you...
rool		Who's he?
madmartigan		You're crawling with rodents.
llug		Where is he!!
wench		There's nobody here except me and my, um, cousin.
madmartigan		How do you do.
willow		Hey!  Give me that baby!
madmartigan		 These Pecks make terrible nurse- maids.
willow		Nursemaid?!
madmartigan		 They get too excited.
llug		Wanna breeeeeeed?
willow		 Time to change her diaper.
madmartigan		Time to leave.
sorsha		You!  Are you the mother of that child?
madmartigan		No.  I mean yes.
sorsha		Let me see it.
madmartigan		 I can't.
sorsha		Let me see it.
willow		No!  You can't!
madmartigan		 I can't.
sorsha		Why not?
madmartigan		 Why not?
willow		Because she's sick.
madmartigan		 Because she's sick.
sorsha		Give it to me!
madmartigan		 Gawd...you're...beautiful...
sorsha		You're not a woman.
llug		Not a woman??!!
sorsha		After them!!
willow		Madmartigan!  Wait!
willow		We could've been killed, Madmarti- gan!
willow		Heeyah!  Heeyah!
willow		Oh no!
death		Bordak!!
death		Bordak!!
willow		Woah...woah...!
madmartigan		That girl is a vision.
willow		Where's the baby??
madmartigan		I thought you had her!
madmartigan		Now Willow, I know you're gonna blame me for this but it wasn't my fault...!
willow		Elora Danan!
madmartigan		When I left the crossroads, I got ambushed by an elf!
willow		Madmartigan!  You saved her life!
madmartigan		I did?
madmartigan		I mean, of course I saved her life. She's almost my daughter, isn't she?
willow		Let's get out of here before they come back.
teemo		Northeast is that way.  We've come west and south.  I think.
rool		Watch it!  You're gonna set us on fire.
madmartigan		Not a bad idea.
madmartigan		So you're on your way to Tir Asleen, huh?  I hate to tell you this, Willow, but Tir Asleen dosn't exist.
willow		Yes it does.  The Fairy Queen told me.
madmartigan		The Fairy Queen?  And the baby here's a princess?  And these two rodents are your guides?
madmartigan		Yeah well...in the morning I think I'll be on my way.
willow		Madmartigan, I need your help.
madmartigan		My help?  A great magician like you?  You don't need any help.
willow		But you're a great swordsman!
willow		 You're not a warrior, Madmartigan! A warrior wouldn't lie there and do nothing!
willow		We're in trouble!  You've seen the big army that's after us!  You're a fake!  You're a bum!  You're a-- you're a coward!!
madmartigan		What's with you, Peck?
willow		I miss my wife!  I miss my chil- dren!  My boy Ranon!  He's growing up so fast, he even helps me on the farm now!  And little Mims!  If you ever saw her sweet little face you'd *melt* Madmartigan, you'd *melt*!  Or maybe you wouldn't.  You don't know anything about love.  You don't know anything about any- thing...
madmartigan		I was in love once, Willow.  She had a hold on my heart.  I could barely function.  I *was* a great swordsman!  I was knighted!  I could have been king!
willow		You?
madmartigan		Yeah me.  King!  But she betrayed me.  She robbed me of my dream.
madmartigan		I'll never fall in love again...
willow		Madmartigan!  Madmartigan!
madmartigan		Relax, Willow.  We're having fun.
rool		That's it!  The sorceress lives there!
teemo		Are you sure?
rool		 Yes!  Raziel!  She lives out on that island!
teemo		That tree dosn't look like gold to me.
madmartigan		Gold!!
teemo		Its branches are supposed to be made of gold, solid gold.
willow		How are we going to get out there?
madmartigan		We'll find a way, Willow.  Look over there--that looks like a village--maybe they've got a boat. Come on, what are you waiting for?
madmartigan		Give me a hand here, Peck!
boy		What are you doing?
madmartigan		It's nothing to do with you.
willow		We need to get out to that island.
boy		The island is cursed.
willow		We've traveled a long way.  We're looking for Fin Raziel.
teemo		The sorceress.
boy		She's there.  But you can't go there.  The island is cursed.
madmartigan		 Yeah?  Who cursed it?
boy		Queen Bavmorda.  Her powers govern the elements.
madmartigan		Ahh, he's trying to protect the gold.  Come on, Willow.  Jump in.
willow		What would the Fairy Queen say?
rool		She's not here.
teemo		 Obviously.
willow		Without Raziel we'll never find Tir Asleen.  We'd better go.
willow		Raziel?  Hello?  Fin Raziel?
raziel		Get away!  Get away!
raziel		You'll die!  You'll die!
raziel		Who are you!  Who are you!
willow		I'm Willow Ufgood.  I'm here to find Fin Raziel.
raziel		That's me!  Raziel!  Raziel!
willow		This can't be right.  This isn't a sorceress.  This is some kind of animal.
teemo		Queen Bavmorda transformed her.
raziel		What do you want!
willow		We need your help.  To take this baby to Tir Asleen.  She's a prin- cess.
raziel		Elora Danan!
madmartigan		Rool!  Teemo!  You were right! This whole tree is made of gold!!
raziel		Fools!  You should never have come to this place!  We're all going to die!
raziel		We've got to get off this island right now.  Hurry!  The boat!  It's our only chance!
willow		Madmartigan!
madmartigan		Wait!  Gold!  Gold!
willow		Help, Madmartigan!  The oar!
madmartigan		My gold!
raziel		Kill him!
willow		No!
raziel		Kill him!
madmartigan		No!!  Help!!  Willow!!!
madmartigan		Willow...you...you got...magic...! Wait...we could team up...!
raziel		Flee!  Flee!
sorsha		Raziel.  Did you think my mother would allow you to escape?
sorsha		This is what we're looking for.  It bears the markings.
madmartigan		Don't worry, Willow.  If there's one thing I'm good at, it's charm- ing a woman...
madmartigan		So.  Couldn't live without me, huh?
sorsha		Lose your skirt?  How embarassing.
madmartigan		Still got what counts.
sorsha		Not for long.
sorsha		We'll join the column.  Bring them with us.
teemo		We gotta follow them.
rool		Us??  We'll never catch them.  Any- way, we're all done, Teemo.  Let's go home.
teemo		Get back here, Rool!
rool		Ouch!  Let go of me!
willow		I can't go on...
madmartigan		Willow, why don't you use your mag- ic to get us out of here?
raziel		He's no magician.
madmartigan		He turned that monster into stone!
raziel		Did *you* give that acorn its power?
willow		No.
raziel		A magician *makes* magic.  Any fool can use it.
madmartigan		Then you get us out of here.
raziel		I will!  But I need help!
willow		I'll help you...!
madmartigan		I won't.
raziel		You must learn magic.
willow		That's all I ever wanted!
raziel		Then I will teach you.
madmartigan		Nice horse...nice hair...real nice hair...I'd say you've got the most beautiful hair I've ever--
sorsha		Wolff wants to boil you in oil.
sorsha		Don't tempt me.
willow		If you rest the baby on your shoulder, she'll stop crying.
sorsha		Shut up.
madmartigan		Mmmm, I love the smell of a woman.
sorsha		 My step-father's going to tear you apart.
madmartigan		I'm torn apart already.  I mean it! Under all that armor is a beautiful--
madmartigan		Who is that girl, anyway?
raziel		Sorsha, Queen Bavmorda's daughter.
madmartigan		Forget that one, Madmartigan.
raziel		Willow.  To learn magic, first you must make your own philosopher's stone!
willow		What do I need for that?
raziel		We must start with feathers, dung, and a lock of your hair.
madmartigan		Now that's a woman...!
raziel		Keep working at it.  Forget all you know, or think you know.  A magician's power depends on disord- er of the mind.
madmartigan		You got that one covered.
