****Dialogues from script :Kung_Fu_Panda.txt****

final draft		June 3, 2008
lucy		Iamnotarobot is one of the Black Falcon's robot henchmen. Ever notice how metallic he looks?
emmet		Come on. He's just very fair skinned. It says "Iamnotarobot" in his very name! Besides, he's way better than Councilman Strawman. That guy is the pits.
lucy		Don't be nave.
emmet		What's nave?
lucy		That.
lucy		Look, just give me the MasterPiece and I'll take it from here.
emmet		My mom gave it to me and I'm not giving it to anyone unless their name is My Mom.
lucy		Well then I guess you're going to have to cross that line.
emmet		Well then I guess I am.
lucy		Well then go ahead and do it.
emmet		Well then go ahead and do it I shall.
lucy		Dude!
emmet		Okay, okay.
lucy		Not everything is what it seems...
emmet		Who are those guys?
lucy		Annoying short whiners. Plus they reproduce like crazy. It's a real problem.
emmet		Where are we? Where are all the buildings? And coffee shops?
lucy		Legopolis is only one realm in the Black Falcon's dominion. He built walls around all of them so he can keep them separate. If the walls came down, he'd have a hard time controlling the results. The MasterBuilders built secret passages through the walls so we could travel between lands.
emmet		Who are they?
lucy		The Black Falcon's sentries. They're looking for us.
emmet		So he controls all these worlds?
lucy		Shh!
assistant		The Black Falcon will see you now.
black falcon		Doris! Did someone get you a water?
doris		You'll never get away with this.
black falcon		"You'll never get away with this!" What a clich! You don't even know what it is I'm trying to get away with. Maybe you should listen more.
doris		I'm all ears.
black falcon		Truly? Because listening and hearing are not the same thing.
doris		I'm listening.
black falcon		Excellent.  Behold, the Kragle!
doris		The car in the city. That's why it didn't break...
black falcon		Very good. But there's a lot more to my plan than that. Check it:
black falcon		Here is your typical family. You there. Move your arm a little higher. A little higher... NO NO NO that's too high!!! Ugh you are all PATHETIC LOSERS!
black falcon		Perfect! Wonderful. Don't move an inch. You see how hard it is for me? I have to make all these plans and rules and enforce them on people. It's whack-a-mole. I get one thing perfect, and then another thing gets messed up. Ay ay ay I get so tired!
doris		You never did understand the way of the Maker.
black falcon		Sure I do. There's one right way to do everything, and I know it, and everyone else is wrong and is trying to screw me up! Until now.
black falcon		You. Introduce yourselves to me.
black falcon		Like, you say to me "Hello Black Falcon, I'm Dale, and this is my wife Mary and our children Mark and Lisa."
black falcon		Well, just-- you say it now.
black falcon		My wife Mary.
black falcon		And our children...
black falcon		Children.
black falcon		All together now.
black falcon		Well, hello, Dale, Mary, Mark and Lisa. I'm Black Falcon, and I'm very FREEZE TO MEET YOU!
black falcon		Exactly how I planned! BAHAHAHA! And it's totally permanent!
doris		You want to do this to the whole world?
black falcon		So the whole world will be exactly how I want.
doris		But-- I'll never see my son again. No mother will ever see her son.
black falcon		Unless they're frozen when they happen to be looking at each other, exactly. Oh Doris, I'm so glad we could finally meet again, after all these years.
doris		What do you want from me?
black falcon		Isn't it obvious? I want you to make me a better Kragle-Thingy!
doris		That's really dumb.
black falcon		I mean this works okay, but it doesn't have a wide enough spray. I need to make like a big cloud of sticky mist. And it's not scary enough. And I hate the color.
doris		You'll never get aw-- You'll not achieve that which you have just described!
black falcon		What, do you think your pathetic son is going to save you or something? He can't even put two bricks together.
doris		 I've trained him. Secretly.
black falcon		Did you? I think you protected him. Because you were afraid to have him live under the spectre of being found out. Of being hunted. You wanted him to fit in. To feel normal, isn't that right?
black falcon		Big mistake, Doris. Thanks to that call, he's going to get his butt kicked. He'll fit in, alright. Into a coffin!
doris		Leave him out of this!
black falcon		I would, but I'm pretty sure he has the MasterPiece. It wasn't in your apartment, and it's not on you. But your son seems to have interesting taste in handbags.
black falcon		So, just to tie up all the loose ends, I'll have to kill him and take the MasterPiece so the prophecy will never come true.
doris		No! Don't, please! I'll do what you want, please don't hurt him.
black falcon		Oh, don't worry, dear. You'll do what I want regardless. I'll simply use my very special electromagnetic machine to extract your thoughts and steal your ideas like I've done for all the other imprisoned MasterBuilders.
doris		No!
black falcon		Yes. Send her to the THINK TANK!!!
emmet		Is it much farther?
lucy		Do you ever say something that isn't a stupid question?
emmet		What's that supposed to mean?
lucy		I guess not.
lucy		That's Dragon.
emmet		Who could live here?
lucy		A blind man.
vitruvius		Hello! What? Hi!
emmet		I see.
emmet		Lovely place.
vitruvius		Thank you. I am deprived of my sight, but my hearing is so acute that I can still perceive the physical world using echolocation.
emmet		Like an old bat...
vitruvius		Precisely. I see with my ears. Now, how can I help you, extremely tall and fat stranger?
emmet		My mother has been kidnapped and it's all my fault.
vitruvius		Mmm...Hard pass. Not interested.
lucy		His mother is the Chosen One. I was sent to summon her. The Black Falcon got to her first. He has the Kragle.
vitruvius		Oh my. That is grave news indeed. But I'm afraid I'm retired. I'm sure the active MasterBuilders are more than adequate.
lucy		The other MasterBuilders are gone.
vitruvius		I guess I'm not redundant anymore.
emmet		Why is he being so weird?
vitruvius		The Black Falcon was my student.
teen doris		Hey Rod. What's that?
vitruvius		They were probably right.
emmet		You taught my parents...
vitruvius		Your mother went into hiding to protect you. Your father never had a chance...
lucy		Vitruvius, you can still help us.
vitruvius		That's flattery, my dear. We both know you're only here because you have no other place to go.
emmet		We're here because we don't know what to do and you might. Sir, all I've ever wanted was to get along with everyone and be a part of the world and now I don't know if there's going to be a world to be a part of. That is, unless you help me fix it. And I bet if you do, they'll forget all about what they used to think of you.
vitruvius		I wish I could, young man, but he has the Kragle, and he has the Chosen One, and if he has the Chosen One, he has the MasterPiece. And without that, there is no--
lucy		Hope?
vitruvius		The Kragle is the most powerful relic of the Maker.
emmet		Who is this Maker you guys keep talking about?
vitruvius		The Maker. The being who put us all together and watches over us. Only by following the inspiration of the Maker can one become a true MasterBuilder.
emmet		Okay that sounds super weird.
vitruvius		It is, but then all the best things are.
emmet		And what's the Kragle again?
vitruvius		Every so often, the Maker drops a piece down to us that is unique, unlike any other. This crystal table is but one example. Some of them, in the wrong hands, can be weaponized. The Kragle, if harnessed, could--
emmet		--destroy the world?
vitruvius		Yes. The Black Falcon has taken your mother, the one person who can stop him, and imprisoned her.
vitruvius		If we can travel across sea and land, penetrate his heavily- guarded fortress, unkidnap Master Doris, and bring the MasterPiece safely to her, she can use it to destroy the Kragle, and set the world right.
emmet		Oh is that all we have to do? That doesn't sound too hard. Oh wait, I forgot to mention, I am saying this with a sarcastic inflection.
lucy		That's super constructive, thank you.
vitruvius		We need to assemble a team of all remaining MasterBuilders hiding throughout the lands. We'll scour the countryside high and low, overturning rocks, hiding from sentries, avoiding the major roads and air..
lucy		We don't have that kind of time!
vitruvius		Or we could send out a mass email to the MasterBuilders list, and have whichever ones are remaining meet us at the midpoint.
emmet		Better.
vitruvius		And then, we sail for the Land of Unused Parts!  Anybody got a ship?
emmet		How long has your boyfriend had his own ship?
lucy		Why do you care?
emmet		I just think it's interesting that you're attracted to someone with his own vessel. Fairly superficial to date a guy with his own yacht.
lucy		It's not exactly a yacht.
neckbeard		Ahoy! Welcome to the Sea Cow!
emmet		Huh. Not what I expected.
emmet		Really not what I expected.
neckbeard		Arr! Come give your weary boyfriend a kiss!
emmet		Wow.
emmet		Okay. That's-- okay.
lucy		Gosh, where are my manners? Emmet, this is Neckbeard, my boyfriend. Neckbeard, this is Emmet. We used to date a million zillion years ago. It meant nothing to me. You have heard of Vitruvius, of course.
neckbeard		You're the teacher that made the Black Falcon who he is, then?
vitruvius		That was a long time ago.
neckbeard		Farrr be it for a pirate to judge a man with an unsavory reputation.
emmet		That's surprisingly gracious--
neckbeard		Stay away from me lady.
emmet		Alright. Sure.
neckbeard		Say that to my face.
emmet		Alright. Sure.
neckbeard		I was once the most feared MasterBuilder in all the lands. I lost the rest of me body fighting off a hundred of the Black Falcon's men. You cross me, and I'll make it an even fight, if you follow.
emmet		Thank you for your clarity.
lucy		He has an incredible mind.
neckbeard		Everyone hop aboard. Meet me crew. This be Orangebeard, Brownbeard and Nobeard, and me First Mate, Chewbacca. You can call him Allbeard.
neckbeard		The route be stuffed to the gills with Empura shipping activity. It's heavily patrolled. We'll have to be keeping an eye open, and when the time be right, make ourrrr move.
emmet		What's our move?
neckbeard		I'm sorry, did the Captain say you could finish swabbing the deck?
vitruvius		Lucy. Welcome.
emmet		It's Emmet.
vitruvius		Ah. You got your sea legs, yet?
emmet		Yes. What are you doing?
vitruvius		Making.
emmet		What's it for?
vitruvius		What is anything for? It's what we were all meant to do. What the Maker has fated us to do.
emmet		Okay, here's what I don't get. If our lives really are predetermined by some all-controlling dude, what is the point of doing anything?
emmet		OW! Why did you do that?!
vitruvius		The Maker fated me to.
emmet		Or you did it yourself because you're a crazy person.
vitruvius		Ah. Now, you're learning.
emmet		I could just never make something like that. How did you even get the idea?
vitruvius		I didn't. I just opened a window for it to fly through.
vitruvius		Birds are, incidentally, one of the most creative of all the animals. They build nests. Create elaborate courtship rituals, make gifts for one another. And of course, their beautiful songs.
emmet		Teach me.
vitruvius		Open your throat and make a sound.
emmet		No. Teach me to do what you do.
vitruvius		How can I teach you something you already know? It's already inside you. You've walled it up, but it still shines through. That terrific disaster you caused at the instruction site? That was no accident.
emmet		I'm not sure I follow...
vitruvius		They say every night the Maker puts a blanket over the world, a blanket with tiny holes. Some call them stars, but I call them MakerPeepers.
emmet		MakerPeepers?
vitruvius		MakerPeepers. Emmet, there was a time, before you were born, when making new things came as naturally to everyone as breathing. The world was messy and wild, and that made it beautiful. But then, everything became rigid and prefabricated, so everyone just stopped thinking of new things. Making has been outsourced to Empura. The Black Falcon has paved over the world that was.
vitruvius		And yet, somehow, light still shines through the cracks.
emmet		Oh no! Wait!  It got out...
vitruvius		Isn't that marvelous? You have an idea, and then off it goes!
bad cop		That's them. Man your weapons. Full steam ahead.
roboviking		We don't use steam. We row.
bad cop		Fine. Full row ahead.
neckbeard		They're a-comin'! Dive!
emmet		What are they doing?
vitruvius		Collaborating.
lucy		Vitruvius, follow my lead.
neckbeard		Mateys! Be me hands and legs! Start taking the ship apart!
emmet		But we'll sink!
lucy		That's the idea.
neckbeard		Put the four-piece over there. No! The skinny one. Come on!
emmet		I don't get it-- What do I do?
lucy		Build a hatch.
emmet		Like for an attic?
lucy		Like for a submarine.
lucy		That's as far as you got?!
emmet		Well...
neckbeard		Heading?
chewbacca		Arrrrrrrr.
neckbeard		Get deeper. If we're too high their sensorrrs will detect us.
bad cop		Nothing? But they were right here.
roboviking		Wait. There's something on the scanner.
neckbeard		Dive! Dive! Dive!
roboviking		Nothing. There's nothing.
bad cop		Let me see that... DAMMIT!
roboviking		Hey, watch it man, I built that.
emmet		Hey Lucy, you gotta see--
grown up		Where are my dang keys? Finn, have you been playing in here?
kid		No.
grown up		You sound like you are lying. Are you lying?
kid		No.
grown up		Okay, this is my very special area, where I play with something VERY NOT-ABLE-TO-BE-TOUCHED-BY- anyone, because it is the most awesome thing I have ever made.
kid		Uncle Ted, why don't you have a girlfriend?
grown up		Because you need money for girlfriends. Although they refuse to admit that. Although they admit it implicitly when they leave you for a banker.
kid		Why don't you have a job?
grown up		Look, you can do anything you want with this big bin of parts, okay? Just promise me you aren't going to play in my special areas anymore.
kid		Okay.
grown up		Is that a real okay or a fake one?
kid		Real.
grown up		Okay. That's my man.
vitruvius		Legotopia. The last free kingdom in the universe.
vitruvius		Thank you.
emmet		Does the Black Falcon know about this place?
vitruvius		It's been hidden for ages by the fog and its remote location. Plus they have elaborate security measures.
door face		Who goes there?
emmet		Oh, uh, I'm Emmet. This is my ex- girlfriend Lucy, also a blind man, a pirate head, and a loud dog. We're here to save the world.
door face		Well, I've never heard of you, but come on in!
lucy		That's the security?
king karl		Hi! I'm Karl, and Welcome to my Krazy Kastle. Krazy with a K!
emmet		For Kreativity...
king karl		Exaktly!
emmet		Why did you build all this stuff?
king karl		Well...Why not?
king karl		If you can conceive it, we will achieve it. Build anything whenever you feel it.
emmet		You know we really don't have time--
king karl		Invent a game, like Roller Cricket. Or buy Bullfighting Tennis tickets...
king karl		Just wide!
neckbeard		This is me favorite sport.
king karl		We only teach art and music in school so kids feel unencumbered. No spelling, reading, science or math, we just make up all the numbers!
king karl		Make any idea thought or spoken. Rules were meant to be broken!
emmet		No, rules were meant to be followed.
chorus		We have everything and nothing and something's all we've got. Why, you ask? What you should ask is... Why not?!!!!
emmet		You guys are really weird.
king karl		Cool, man, thank you.
emmet		This is crazy. You can't have a society without rules. I mean, your castle doesn't look very structurally sound at all!
king karl		Who is this guy?
lucy		Emmet. He doesn't get out much.
vitruvius		Emmet, these people are not MasterBuilders. They do not create with purpose, they create just to create. But they can also be very inspiring, because the only way to accomplish the impossible is to break the rules of what is possible.
emmet		I wish that made sense to me.
vitruvius		It will if you let it.  King Karl, I wish we came to you with better news.
king karl		As do I. The others arrived just before you, which gave us a chance to rehearse the song. Follow me.
neckbeard		Ar! What a bounty! I be starrrving!
king karl		Meet your team.
batman		Hey, I'm Batman. Got the email. On my Batphone. Which I invented. Gets emails. On a phone.
emmet		Hello.
duplo		DUPLO!
lucy		And where do you come from?
duplo		DUPLO!
lucy		Okay. Um, he's a MasterBuilder?
king karl		No. But he wants to help.
duplo		DUPLO HELP!
batman		I'm a MasterBuilder. I built a lot of gadgets. Want to see my gadgets?
lucy		No thank you.
benny		I'm also a MasterBuilder.
emmet		Cool!
benny		I'm Benny. Benny "Blue" Chu. Where are you from? I'm from space. There's not a lot of oxygen up there. One time I was fixing my ship in space and there was a crack in my helmet. They say I should've died or gotten Space Madness but I didn't die. I'm here, right? Ha ha! Have you seen my spaceship? I rebuilt it but it doesn't fly for some reason.
emmet		Um, maybe if it didn't have two fronts and no back, and it didn't have five wings.
benny		I love wings. Wings are great, right?
neckbeard		He seems a little distracted.
benny		What? Where?
lucy		Is this everyone?
benny		Oh, no. There's one more. My co- pilot Moppy. He's really organized.
benny		Hi Moppy.  It's true. He was all alone in space. He tried to look for his space friends but couldn't find them. No one is left but me. Him.
emmet		What did you say you do again?
benny		Oh, I'm a Space Cadet. First Class.
emmet		Ah.
vitruvius		We are all that remain of the once proud society of MasterBuilders. Except for Duplo. And Emmet. He's not a MasterBuilder, he's just the son of one. And Lucy, who is still an intern.
batman		 Hello.
vitruvius		Along with a blind man, a pirate head, a crazy spaceman, and Batman...
vitruvius		Together, we form a fellowship of the MasterPiece. A shining beacon of possibility, and the only thing that can counteract the power of the Kragle. If we can get this into the hands of the Chosen One--
bad cop		Or didn't you know that as a former student of MasterBuilder academy, the Black Falcon was cc'd on your mass email?
king karl		I'm sorry, I had to let them in.
lucy		King Karl! You betrayed us! You betrayed everything you stand for!
king karl		Tsk, I know. Turns out Legotopia had run up like a bunch of debt. Something about lots of spending and no revenue. Empura promised to fund the whole place. Honestly, I'm super sorry.
emmet		This guy is supposed to be inspiring? More like conspiring... with a bunch of mean jerks who have my mom! You're just as bad as them, you big mean jerk!
king karl		Come on. Guys.
king karl		Where are you taking them? Not to the dungeon, right? You said--
bad cop		Do I look like a medieval constable? No, they're going someplace much worse. Take them to... the conference room!
bad cop		Okay we're good to teleconference.
bad cop		Just, point the camera at you.
bad cop		No, the other way. There. That's close enough.
bad cop		Sir.
vitruvius		Black Falcon! Prepare to meet the Maker!
lucy		No no he's just on teleconference.
vitruvius		What?
lucy		It's like a phone. A telegram. He's not actually in the room.
vitruvius		Like a crystal ball?
lucy		Sure.
doris		Emmet!
emmet		Mom! I'm coming! I won't let you down. Any more than I already have!
emmet		Mom! No!
black falcon		These are all the lands I control! They are perfect! And they are going to be that way forever! Now that you can't mess any of them up! Ha ha ha ha ha ha ha ha!
lucy		So wait. What was the purpose of this call then?
emmet		You're a MasterBuilder, too?
king karl		I dabble. You were right. I'd rather be poor and free than comfortable and stuck.
bad cop		 Back up! Repeat. I need back up.
king karl		Bring it on.
king karl		Prepare for battle!
king karl		On my mark.
bad cop		 Charge.
king karl		Charge!
king karl		Retreat!
king karl		You have to go.
emmet		We can't leave you here.
king karl		It's my place to be here. Go!
benny		Everyone get in my spaceship!
emmet		Over there!
lucy		We have to go now!
duplo		DUPLO HELP!
emmet		I built that chair! Check it out. That's my chair. Pretty good.
lucy		That's far more impressive than this entire Rocket-Copter.
emmet		Well, it was my idea to get in the catapult.
lucy		A credit hog. Great.
batman		Where'd this thing come from?
emmet		No idea.
neckbeard		Bogey on our six!
benny		Hey look at that over there--
lucy		Benny! Focus!
neckbeard		There!
emmet		My chair!!!!
batman		I say we camp here for the night in this creepy Old West Ghost Town.
lucy		What's up?
emmet		Can't sleep. Kind of still upset about everything, you know?
lucy		Upset about what?
emmet		Well, I got in a fight with my mom that caused her to get kidnapped and the whole world is about to get frozen, if you must know, unless you were asking that sarcastically, which I now realize you were.
lucy		Sorry.
lucy		We'll find her.
emmet		I hope so.
lucy		I know it. I know you.
emmet		I thought you said I didn't have a creative bone in my body.
lucy		You don't.
emmet		That's nice, thank you.
lucy		I'm just trying to help.
emmet		You know what you are, Lucy?
lucy		What?
emmet		A real pain in the elbow.
emmet		What?
lucy		You may not have a creative bone in your body, but you have a lot of really really earnest bones. You always did.
emmet		Thank you?
lucy		I mean, that day when we were kids, and you drew the face in art class, you inspired me. I thought maybe there was more out there in the world, and maybe you felt the same. That's why I asked you out. But then you ended up like everyone else and broke my heart, you know? That I was going one way and you didn't go with me.
emmet		Think of how I felt. My mom trained me to follow the herd. To lay low. All I ever wanted was to fit in, to have friends. And the funny thing is, maybe I was trying too hard, but, my whole life, I never did have any real friends.
lucy		We're being so dramatic. It was eighth grade!
emmet		That's the most dramatic time in anyone's life, right? It's what made The Black Falcon such a world class dingaling.
lucy		It made a lot of us dingalings.
emmet		Yeah.
lucy		You know, whenever I doubt myself, I look into this prism I found long ago...
emmet		It's... beautiful.
lucy		I know. It's a relic of the Maker. When I'm feeling low, I look at it, and it always makes me feel like there still is beauty in the world, and we all have a purpose. You know what I mean?
emmet		Yeah. I do.
lucy		Well, good night.
emmet		Yeah. Okay.
ted		Finn? What did you do to the spaceship? It's in pieces! I told you not to play with this and you broke it! It took me years to build all this! 
finn		I'm sorry, Uncle Ted. I just wanted to play.
ted		Well, life isn't all play. Sometimes it's serious and it gets screwed up and you don't feel like playing. You just wish for once everything was in the right place.
finn		 Okay.
vitruvius		I don't suppose this is the restroom?
emmet		No. Definitely not.  Hey, Can I ask you something? I keep having these strange dreams about a squishy bumpy giant--
vitruvius		Visions of the Maker. Quite unusual.
emmet		What does it mean? Do I have a fate?
vitruvius		We all have a fate. But MasterBuilding is about channeling the power of the Maker, and taking that fate into our own hands. I guess it could mean what you choose to make it mean.
emmet		Why do you always talk in weird riddles? I just want answers.
vitruvius		Then why don't you try building something for yourself?
emmet		I'm sorry, that's lame.
vitruvius		Not bad. You're learning now.
emmet		No I'm not. I'm just copying what you did.
vitruvius		A dilettante borrows. A true artist steals.
emmet		That makes no sense!
vitruvius		And all this does?
lucy		How the heck are we going to do this?
emmet		It's okay. I have a plan.
lucy		Really?
emmet		This R2 unit had the plans for Empura Tower stored in its memory bank.
lucy		That's convenient.
emmet		Looking over it last night, I noticed the tower follows the same construction principles as the condos I was building back in Legopolis.
emmet		Wait.
lucy		What about this?
lucy		Darn.
vitruvius		How about this?
vitruvius		What, is it because I'm blind?
batman		Check this out:
neckbeard		AHOY!
lucy		Stop it! Everyone!
vitruvius		Creativity in groups is hard.
lucy		We don't have time for that.
emmet		Or we can just wing it.
service ninja		Well, I don't know, I've lived alone a long time, and sharing space with you is a new thing for me...no it's not like that...  Hey, we didn't order any--
lucy		 I love you please move in with me.
emmet		The Black Falcon's office!
batman		My office is bigger.
lucy		Emmet.
neckbeard		Arr, his appointment book be saying he be scheduled for a massage at four.
batman		He'll get a flipping massage alright.
dad		Language! There are kids here.
batman		Who are these nerds?
son		We, uh, can't move.
lucy		They won't budge.
daughter		The bad guy is going to freeze everyone.
mom		Kids? Are you okay?
dad		They're alright, baby.
son		I miss you, mom.
emmet		Me too.  This is really sad. How can you keep living like this?
dad		Well, yeah, we can't be together. We can't touch or see each other. But in here-- and if I could, I'd be pointing to my head-- I'm not stuck. In my brain we're sharing a delicious meal together.
mom		Thank you sweetie.
daughter		Pass the mustard.
lucy		That's pretty elaborate.
dad		They can freeze you. They can tell you what to do. But they can't stop our secret weapon. Ideas.  Now go give `em hell.
emmet		Wait. Batman, give me your Batperiscope.
emmet		Now at least you can see each other.
ninja		You have grown a beard.
ninja		It's very nice.
ninja		Is there something in your throat, sir?
ninja		Very much.
ninja		At your service, commander.
ninja		Sir?
ninja		Yes, sir.
ninja		Yes, sir-- ow!
roboskeleton		Black Falcon? You're supposed to be at your massage.
emmet		Mom...
doris		What? Emmet?
emmet		It's me, Mom. I've here to save you, so you can save the world.
vitruvius		Rodrigo Falcone. My old student. It's time you went back to SCHOOL!  RUN!
black falcon		The old dog still has a few tricks. But I guess your friends didn't tell you that I was flanked by like a hundred soldiers. Now!
black falcon		Get the rest of them!
lucy		Why won't anything in this hallway break off?!
batman		It's Kragle-frozen! Batcrap!
neckbeard		Lucy.
lucy		Yes?
neckbeard		I want you to know, I love you.
lucy		Me too...
neckbeard		And even if the world be ending, and we all get frozen, I'd feel better about the whole situation if I could get frozen with you as my bride.
lucy		Are you really doing this?
neckbeard		Lucy. Will you take me hand in marriage? Metaphorically.
lucy		Um...
neckbeard		Lucy!
emmet		Mom! Hurry!
emmet		No!
doris		No!
batman		We can't win this. We've got to hide and make a new plan.
neckbeard		 Arrr!
bad cop		 Take these perps to the Black Falcon's office. The rest of you, follow me. Looks like we'll be playing a little game of hide and seek.
emmet		Mom, I'm so sorry.
doris		I know sweetie.
emmet		Just- tell me everything's going to be okay.
doris		I wish I could, son.
emmet		Mom... Why didn't you -- why didn't you teach me what you knew?
doris		I wanted you to be safe. I thought you would be happier. When I saw you with that funny drawing, it was so marvelous. And then I thought of what your life would be, how everyone would treat you. I just couldn't let that happen.
emmet		I know you're the Chosen One, but-- I just wish you had let me choose for myself.
doris		I...I don't know what to say.
emmet		They got promoted...
emmet		But you didn't do anything.
batman		That does not look good.
neckbeard		When do we get to the part about coming up with a plan?
benny		I've got a plan.
neckbeard		Uh-oh.
neckbeard		What about Lucy and the others?
benny		We'll come back for them. After we stop that Kragle.
benny		Can we go in the blue one?
bad cop		There they are!
neckbeard		What does it matter?
benny		I fly better in blue.
bad cop		No! Re-open the door! Everyone in ships! Go!
roboninja		Dude, you don't have to yell.
hobbit		Every time!--
black falcon		Bahahahahahahaha!!
doris		It's too horrible to bear.
vitruvius		What is? Describe it to me. I feel really really left out!
emmet		The world is ending.
batman		Go down to the city! What are you doing?
benny		Calling for help from my space friends!
neckbeard		What, a bunch of mops? There be no space friends! Just go!
benny		Alright, you don't have to be mean about it.
larry		< SIGH > Of course.
larry		I think a big dinobot is freezing everything with mucusy sneezes.
larry		I don't know. Complain?
larry		I mean, it's not like we can do anything.
mechabird		 ...We can do anything! ...We can do anything!
larry		Wait a minute...
larry		I don't know exactly. I'm just going with it.
lucy		That guy?!
black falcon		Do I smell something burning? It smells like a tire fire in here.
lucy		 Excuse me.
emmet		 Ow!
emmet		 Mom. Go. Do whatever you're supposed to do!
doris		I... don't know what to do. So tired...
lucy		She's too weak. You have to do it.
emmet		Do what? What can I do?
lucy		I believe in you, Emmet. I was mad because you disappointed me for a while, but since it wasn't your fault, I'm willing to give you a mulligan on it.
emmet		A what?
lucy		A mulligan. It's from golf.
emmet		You play golf?
lucy		The point is, you've spent your whole life wanting to fit in and have friends, by pretending to be something you're not. But now that you've let the real you shine through, you've made some friends who like you for who you are. And even if they're just a crazy spaceman and a pirate head and a blind man and an intern--
emmet		You like me?
lucy		I do.
emmet		Neckbeard likes me?
lucy		...Sure.
emmet		But... I'm not the Chosen One.
lucy		You wanted to make your own choices, right? So choose yourself.
emmet		Nuh uh.
emmet		This.
doris		What is it, Emmet?
emmet		I don't know. It just came to me.
vitruvius		You have channeled the Maker and chosen your fate. You have chosen to be the Chosen One.
black falcon		Whoa. That was weird.
larry		What the heck is that?!
benny		Wow, that thing is really big.
neckbeard		Uh, Benny...
lucy		What do we do?
doris		Go after him.
larry		Quick, everyone! Run behind it! Get away from the mist!
doctor		It's a b--
emmet		So...not square.
emmet		The Maker. It's all real...
ted		What the heck are you?!
emmet		What the heck are you?!
ted		I'm a person.
emmet		I'm a person. You on the other hand are a giant squishy beast.
ted		You're a talking toy. This is considerably less cute than I have been led to believe.
emmet		So ugly...
emmet		What are these?!
emmet		AHHHHHH!!!
ted		Calm down! Where did you come from?
emmet		Did you build that?
ted		Yeah, but it's seriously messed up.
emmet		Are you the Maker?
ted		The what?  FINN!!!
finn		What?
ted		Are you seeing this?
finn		Yeah.
emmet		Two Makers?
ted		How did this-- what is-- my sets, THEY'RE ALL--
finn		The guys. They needed my help.
ted		Against what?
finn		Against the Kragle.
ted		The what?
emmet		The Kragle. The thing that is freezing everything together.
ted		Oh. Krazy Glue?
emmet		Good Lord.
ted		What? I'm using this to glue my set together. So it won't get messed up by the kid.
emmet		But then-- it can never change.
ted		Exactly. It's the only thing in my life that's perfect. 
emmet		But... nothing is perfect unless it can change. You can make something, you know, and it can be great, for a while, but then... then someone maybe adds to it, makes something new out of it. And that keeps happening until it becomes something that a single person could never envision. Truth is, creating alone is never as good as creating with others.
ted		See. No. That's not true- because with others, they don't see things the same way, so--
emmet		I know. You want to control everything. I get it. But if you succeed, in the end, all you'll ever have is what you've got.
ted		What else could I have?
emmet		Who knows? That's the best part.
ted		Use this.
emmet		What is it?
ted		What is it? It's the ca--
finn		Cone of Power. It's called the Cone of Power.
ted		Okay. The Cone of Power.
finn		Put it on the Kragle to stop it.
ted		Yeah. Try that.
emmet		Thank you. It was nice to meet you both, disgusting squishy giant Maker creature and smaller, messier giant Maker creature.
finn		Nice to meet you.
emmet		I should go save the world now.
ted		Let's play.
benny		Hello!
emmet		Thanks for dropping in.
batman		I hope we're not imposing.
batman		There's too many of them!
neckbeard		They're coming at us from all sides!
benny		Guy! Look up! My space friends! They got my message!
han solo		Anything for you, Benny!
indy		 Hey, you look familiar.
neckbeard		Lucy!
lucy		Neckbeard! We need to talk...
larry		I could build such a better ship than that.
doris		Emmet!
lucy		Doris, are you okay back there?
lucy		Doris?! Why did she do that?
vitruvius		The connection between a mother and son is a powerful thing.
lucy		But it's certain death.
vitruvius		On the contrary. It's connections like those that give the best chance to survive...
doris		Get your hands off my flipping son.
emmet		Mom... Wow. Just... wow.
doris		I'm the Chosen One, remember?
emmet		I guess that makes two of us.
doris		I was wrong, Emmet. 
emmet		Lucy? How did you do that?
lucy		I used a few connections.
doris		Emmet, now's your chance!
emmet		You're right. I don't belong here...
emmet		I belong here!
emmet		Rest in pieces.
doctor		--oy!
father		Thank God!
lucy		What the heck just happened?
emmet		Something totally foofy.
neckbeard		 Ahoy there.
****Dialogues from script :La_La_Land.txt****

mia		...and I swear to God, she was wrecked. It was pure insanity.
mia		Don't worry, it is. I know sometimes it --
woman		Cappuccino, please.
manager		On us.
woman		No, I insist.
mia		Shit.
manager		Where do you think you're going?
mia		It's -- five past...
manager		You'd better be here early tomorrow.
mia		Ok.
casting director		One second.
tracy		Holy Mother of God.
mia		I wanted to give you an entrance.
alexis		 Mia! How'd it go?
mia		Eh...
alexis		Same here. Was Jen there? Or Rachel?
mia		I don't know who Jen and Rachel are.
alexis		They're the worst.
mia		I don't know if they were there.
alexis		I bet they were.
caitlin		 Why is there a convention in the bathroom?
tracy		Two minutes, people! Mia you're coming, right?
mia		Can't. Working.
mia		 Yes?
tracy		Look, I know things didn't go well today. There are four things in my inbox that you're perfect for and I will submit you. But right now -- you're coming.
mia		It'll be a bunch of social climbers packed into one of those glass houses.
tracy		Exactly. Fun.
alexis		Come on, Mia. When else do you get to see every Hollywood clich crammed into a single home?
tracy		 Lex! I'm disappointed in you. There's nothing to make fun of. This party will be humanity at its finest.
sebastian		You gotta stop breaking into my home.
laura		You think Mom or Dad would call this a home?
sebastian		Please don't sit on that.
laura		Are you serious?
sebastian		Yes. Hoagy Carmichael sat on that stool. The Baked Potato was gonna throw it away.
